fpr,tpr,threshold
0.0,0.0,inf
0.0025,0.0,0.5894
0.005,0.0,0.5739
0.005,0.003,0.5734
0.0075,0.003,0.572
0.0075,0.009,0.5632
0.01,0.009,0.5613
0.01,0.012,0.5612
0.02,0.012,0.5539
0.02,0.015,0.5533
0.03,0.015,0.5517
0.03,0.018,0.5512
0.0325,0.018,0.5512
0.0325,0.021,0.5506
0.035,0.021,0.55
0.035,0.0269,0.5473
0.04,0.0269,0.546
0.04,0.0299,0.546
0.0425,0.0299,0.5451
0.0425,0.0329,0.5445
0.0525,0.0329,0.5424
0.0525,0.0419,0.541
0.055,0.0419,0.5409
0.055,0.0479,0.5402
0.0575,0.0479,0.54
0.0575,0.0539,0.538
0.06,0.0539,0.5367
0.06,0.0569,0.5363
0.0625,0.0569,0.5363
0.0625,0.0599,0.536
0.065,0.0599,0.5354
0.065,0.0838,0.5326
0.0675,0.0838,0.5323
0.0675,0.0898,0.5315
0.07,0.0898,0.53
0.07,0.0988,0.529
0.0725,0.0988,0.5289
0.0725,0.1018,0.5287
0.075,0.1018,0.5285
0.075,0.1078,0.5274
0.08,0.1078,0.5266
0.08,0.1108,0.5263
0.085,0.1108,0.5252
0.085,0.1138,0.5247
0.0875,0.1138,0.5245
0.0875,0.1168,0.5244
0.0975,0.1168,0.5223
0.0975,0.1228,0.5215
0.105,0.1228,0.5205
0.105,0.1257,0.5205
0.1075,0.1257,0.52
0.1075,0.1317,0.519
0.11,0.1317,0.5188
0.11,0.1347,0.5185
0.115,0.1347,0.5182
0.115,0.1377,0.5182
0.1175,0.1377,0.5177
0.1175,0.1407,0.5177
0.1225,0.1407,0.5174
0.1225,0.1437,0.5166
0.13,0.1437,0.5163
0.13,0.1467,0.5162
0.1325,0.1467,0.5161
0.1325,0.1527,0.5149
0.135,0.1527,0.5148
0.135,0.1587,0.5146
0.1425,0.1587,0.5132
0.1425,0.1647,0.513
0.145,0.1647,0.5125
0.145,0.1737,0.5121
0.1475,0.1737,0.512
0.1475,0.1766,0.5119
0.165,0.1766,0.5094
0.165,0.1796,0.5089
0.1675,0.1796,0.5087
0.1675,0.1826,0.5086
0.17,0.1826,0.5083
0.17,0.1856,0.5081
0.1725,0.1856,0.5073
0.1725,0.1916,0.5071
0.175,0.1916,0.5066
0.175,0.1946,0.5065
0.185,0.1946,0.505
0.185,0.1976,0.5048
0.1875,0.1976,0.5048
0.1875,0.2066,0.504
0.19,0.2066,0.5038
0.19,0.2156,0.5028
0.1925,0.2156,0.5027
0.1925,0.2216,0.5017
0.1975,0.2216,0.5015
0.1975,0.2246,0.5014
0.205,0.2246,0.5011
0.205,0.2275,0.5011
0.21,0.2275,0.5004
0.21,0.2305,0.5001
0.215,0.2305,0.4997
0.215,0.2335,0.4994
0.22,0.2335,0.4987
0.22,0.2365,0.4986
0.2225,0.2365,0.4985
0.2225,0.2395,0.4979
0.2275,0.2395,0.4976
0.2275,0.2425,0.4974
0.2325,0.2425,0.4969
0.2325,0.2455,0.4969
0.2375,0.2455,0.4947
0.2375,0.2515,0.4929
0.24,0.2515,0.4928
0.24,0.2605,0.4916
0.2525,0.2605,0.4908
0.2525,0.2665,0.4904
0.255,0.2665,0.4899
0.255,0.2725,0.4894
0.26,0.2725,0.4882
0.26,0.2784,0.4876
0.2625,0.2784,0.4873
0.2625,0.2904,0.486
0.265,0.2904,0.4859
0.265,0.2934,0.4849
0.275,0.2934,0.4841
0.275,0.2964,0.4841
0.2775,0.2964,0.484
0.2775,0.2994,0.4838
0.28,0.2994,0.4837
0.28,0.3084,0.4818
0.2825,0.3084,0.4817
0.2825,0.3114,0.4808
0.2875,0.3114,0.4804
0.2875,0.3144,0.4803
0.29,0.3144,0.4798
0.29,0.3204,0.4791
0.295,0.3204,0.4783
0.295,0.3234,0.4783
0.2975,0.3234,0.4781
0.2975,0.3413,0.4769
0.3,0.3413,0.4767
0.3,0.3443,0.4764
0.3025,0.3443,0.4755
0.3025,0.3473,0.4751
0.315,0.3473,0.4746
0.315,0.3503,0.4744
0.32,0.3503,0.474
0.32,0.3593,0.4733
0.325,0.3593,0.473
0.325,0.3623,0.4728
0.33,0.3623,0.4724
0.33,0.3653,0.4717
0.335,0.3653,0.4712
0.335,0.3683,0.4709
0.3375,0.3683,0.4703
0.3375,0.3713,0.4701
0.34,0.3713,0.4701
0.34,0.3743,0.4697
0.3575,0.3743,0.4678
0.3575,0.3862,0.4669
0.36,0.3862,0.4669
0.36,0.3922,0.4664
0.3625,0.3922,0.4663
0.3625,0.3982,0.4654
0.37,0.3982,0.4646
0.37,0.4012,0.4645
0.38,0.4012,0.4637
0.38,0.4042,0.4635
0.39,0.4042,0.4614
0.39,0.4222,0.4606
0.3975,0.4222,0.4598
0.3975,0.4281,0.4595
0.4025,0.4281,0.4584
0.4025,0.4341,0.4568
0.405,0.4341,0.4568
0.405,0.4371,0.4566
0.4075,0.4371,0.4565
0.4075,0.4401,0.4563
0.4125,0.4401,0.4558
0.4125,0.4431,0.455
0.415,0.4431,0.4547
0.415,0.4461,0.4546
0.42,0.4461,0.4545
0.42,0.4491,0.4544
0.4275,0.4491,0.4537
0.4275,0.4551,0.4527
0.43,0.4551,0.4524
0.43,0.4641,0.4518
0.4425,0.4641,0.4508
0.4425,0.4671,0.4505
0.445,0.4671,0.4505
0.445,0.476,0.449
0.4475,0.476,0.4485
0.4475,0.479,0.4484
0.4525,0.479,0.448
0.4525,0.482,0.4479
0.4575,0.482,0.4477
0.4575,0.485,0.4473
0.46,0.485,0.4471
0.46,0.488,0.4469
0.4625,0.488,0.4469
0.4625,0.5,0.4465
0.47,0.5,0.4462
0.47,0.503,0.4458
0.4725,0.503,0.4456
0.4725,0.506,0.4452
0.485,0.506,0.444
0.485,0.518,0.4437
0.4875,0.518,0.4432
0.4875,0.5269,0.4426
0.495,0.5269,0.4421
0.495,0.5359,0.4415
0.5,0.5359,0.441
0.5,0.5389,0.4409
0.5025,0.5389,0.4409
0.5025,0.5449,0.4406
0.505,0.5449,0.4405
0.505,0.5479,0.4404
0.51,0.5479,0.4401
0.51,0.5509,0.4396
0.515,0.5509,0.4393
0.515,0.5629,0.4388
0.525,0.5629,0.4383
0.525,0.5778,0.4374
0.5275,0.5778,0.4366
0.5275,0.5868,0.4361
0.53,0.5868,0.436
0.53,0.5898,0.436
0.535,0.5898,0.4359
0.535,0.5988,0.4357
0.5375,0.5988,0.4356
0.5375,0.6078,0.4353
0.54,0.6078,0.4352
0.54,0.6108,0.4352
0.5425,0.6108,0.435
0.5425,0.6138,0.4349
0.55,0.6138,0.4348
0.55,0.6168,0.4346
0.5525,0.6168,0.4344
0.5525,0.6198,0.4343
0.555,0.6198,0.4341
0.555,0.6347,0.4328
0.56,0.6347,0.4323
0.56,0.6407,0.4318
0.5625,0.6407,0.4315
0.5625,0.6437,0.4314
0.565,0.6437,0.4313
0.565,0.6467,0.431
0.5725,0.6467,0.4308
0.5725,0.6497,0.4306
0.575,0.6497,0.4304
0.575,0.6557,0.4302
0.5775,0.6557,0.4301
0.5775,0.6707,0.4293
0.58,0.6707,0.4292
