bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.30-0.40,0.3,0.4,147,55,55.274985,0.376,0.3741,0.3001,0.4546,0.1546,True
0.40-0.50,0.4,0.5,426,202,189.798723,0.4455,0.4742,0.4272,0.5216,0.0944,True
0.50-0.60,0.5,0.6,161,77,84.605061,0.5255,0.4783,0.4025,0.555,0.1525,True
