feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.691949,0.694043,0.002094,0.517583,0.49956,-0.018024
wind_out_factor,0.691949,0.69319,0.001242,0.517583,0.515184,-0.0024
away_xwoba_against,0.691949,0.692941,0.000992,0.517583,0.50196,-0.015623
away_L10_ra,0.691949,0.692688,0.000739,0.517583,0.516101,-0.001482
home_bat_hard_hit_pct,0.691949,0.692536,0.000587,0.517583,0.516357,-0.001226
away_L10_wr,0.691949,0.692229,0.00028,0.517583,0.517308,-0.000276
away_L10_rs,0.691949,0.692229,0.00028,0.517583,0.517308,-0.000276
home_L10_wr,0.691949,0.692214,0.000265,0.517583,0.515569,-0.002015
is_dome,0.691949,0.69214,0.000191,0.517583,0.518278,0.000695
away_bat_iso,0.691949,0.692086,0.000137,0.517583,0.518116,0.000533
home_L10_rs,0.691949,0.691954,5e-06,0.517583,0.517957,0.000373
is_coors,0.691949,0.691949,0.0,0.517583,0.517583,0.0
home_fip,0.691949,0.691943,-5e-06,0.517583,0.518791,0.001208
away_bat_woba,0.691949,0.691887,-6.2e-05,0.517583,0.516711,-0.000872
home_bat_k_rate,0.691949,0.691862,-8.7e-05,0.517583,0.517793,0.00021
away_k_rate,0.691949,0.69179,-0.000158,0.517583,0.523444,0.005861
away_bat_hard_hit_pct,0.691949,0.691746,-0.000203,0.517583,0.521591,0.004007
home_xwoba_against,0.691949,0.69173,-0.000219,0.517583,0.518331,0.000748
home_is_lefty,0.691949,0.691705,-0.000244,0.517583,0.52031,0.002727
home_days_rest,0.691949,0.691705,-0.000244,0.517583,0.52031,0.002727
away_is_lefty,0.691949,0.691703,-0.000245,0.517583,0.521008,0.003425
away_days_rest,0.691949,0.691695,-0.000254,0.517583,0.520782,0.003198
home_hr_rate,0.691949,0.691662,-0.000287,0.517583,0.518537,0.000953
home_k_rate,0.691949,0.691659,-0.000289,0.517583,0.520949,0.003366
away_bat_k_rate,0.691949,0.691653,-0.000296,0.517583,0.519166,0.001583
home_hard_hit_pct,0.691949,0.691624,-0.000324,0.517583,0.51831,0.000727
home_bat_woba,0.691949,0.691548,-0.000401,0.517583,0.519715,0.002131
away_bb_rate,0.691949,0.69152,-0.000429,0.517583,0.520581,0.002997
wind_mph,0.691949,0.691466,-0.000483,0.517583,0.518887,0.001304
away_fip,0.691949,0.691447,-0.000502,0.517583,0.524166,0.006583
temp_f,0.691949,0.691396,-0.000553,0.517583,0.515282,-0.002301
away_hr_rate,0.691949,0.691336,-0.000613,0.517583,0.520824,0.00324
away_hard_hit_pct,0.691949,0.691336,-0.000613,0.517583,0.520824,0.00324
park_factor,0.691949,0.691251,-0.000698,0.517583,0.524357,0.006774
away_fb_velo,0.691949,0.691208,-0.000741,0.517583,0.522767,0.005184
home_bb_rate,0.691949,0.691017,-0.000931,0.517583,0.524973,0.007389
home_fb_velo,0.691949,0.690314,-0.001635,0.517583,0.520604,0.00302
home_L10_ra,0.691949,0.687921,-0.004028,0.517583,0.534699,0.017116
