feature,mean_abs_shap,mean_shap,value_shap_corr,shap_method
away_k_rate,0.07685939797634388,-0.00042398717457411354,-0.8061,tree
away_bat_woba,0.05047816563483053,-0.004878960589436166,-0.8186,tree
home_bat_k_rate,0.04325248518373596,0.00181383626214881,-0.8071,tree
home_fb_velo,0.02498685165914013,0.00616645746080581,0.6264,tree
away_bat_k_rate,0.02458977825542079,0.003751778353977038,0.7528,tree
home_k_rate,0.023246384745713226,-1.7839814632187977e-05,0.7826,tree
away_fb_velo,0.023101191510278375,-0.004431594670755421,-0.7752,tree
away_hard_hit_pct,0.018665347195522347,0.004144970806922077,0.6655,tree
away_bat_iso,0.01681773496928763,-0.002900490743844006,-0.7007,tree
home_L10_ra,0.012729980123340498,-0.0010320855435871608,-0.7618,tree
park_factor,0.010731502679662785,0.001670827880080002,-0.6999,tree
home_bat_iso,0.007601054191564337,0.0022400641791339277,0.6475,tree
home_xwoba_against,0.00738149364925904,0.0004335315500469364,-0.6756,tree
wind_mph,0.007006504447789275,-0.004831789091524139,0.5469,tree
away_hr_rate,0.006692728644260938,0.00011645775558697568,0.5028,tree
home_fip,0.006562405614456674,-0.0004033831452363342,-0.6511,tree
home_L10_rs,0.0053738322965954715,0.0013333293271920916,0.6506,tree
wind_out_factor,0.004218997759234077,0.00022342774848067374,0.556,tree
home_bb_rate,0.0038036844909004964,-0.00018114821595987274,-0.5807,tree
away_L10_wr,0.0036966620966253187,-0.0003317151224036696,-0.679,tree
away_L10_ra,0.0032455538359516343,0.0007645310139177564,0.7633,tree
temp_f,0.0030714376871338717,-0.0016825510358826317,-0.2011,tree
home_hr_rate,0.0023316314595742227,0.00023785485783883828,0.6477,tree
away_fip,0.0023237992930619966,0.00022741736695735675,0.7809,tree
away_bat_hard_hit_pct,0.002210885557582527,-0.0005824864817568269,-0.5284,tree
away_L10_rs,0.0021360502379801664,-0.00025536050330286265,-0.8037,tree
home_bat_woba,0.0018023335312482218,0.00036373257229630737,0.3113,tree
home_days_rest,0.0017171894701148204,0.0001696427612775806,-0.8707,tree
away_bb_rate,0.0015755355649506462,2.554974132695987e-06,-0.3794,tree
away_xwoba_against,0.0014438949937728963,0.00013932111642895852,-0.5611,tree
home_bat_hard_hit_pct,0.0014212797354366546,0.0005941262831755579,0.657,tree
home_hard_hit_pct,0.0,0.0,0.0,tree
home_is_lefty,0.0,0.0,0.0,tree
away_is_lefty,0.0,0.0,0.0,tree
away_days_rest,0.0,0.0,0.0,tree
home_L10_wr,0.0,0.0,0.0,tree
is_dome,0.0,0.0,0.0,tree
is_coors,0.0,0.0,0.0,tree
