precision,recall,threshold
0.455,1.0,0.316
0.4557,1.0,0.3197
0.4563,1.0,0.3211
0.4555,0.997,0.3213
0.4548,0.994,0.3244
0.4554,0.994,0.33
0.456,0.994,0.3304
0.4553,0.991,0.3339
0.4559,0.991,0.3347
0.4566,0.991,0.3351
0.4558,0.988,0.3371
0.4564,0.988,0.34
0.4571,0.988,0.3418
0.4563,0.985,0.345
0.4556,0.982,0.3459
0.4562,0.982,0.3463
0.4554,0.979,0.3465
0.4561,0.979,0.347
0.4553,0.976,0.3476
0.4559,0.976,0.348
0.4552,0.9731,0.3483
0.4558,0.9731,0.3501
0.4551,0.9701,0.3504
0.4543,0.9671,0.351
0.4535,0.9641,0.3519
0.4542,0.9641,0.3554
0.4534,0.9611,0.3565
0.454,0.9611,0.3582
0.4533,0.9581,0.3584
0.4525,0.9551,0.3599
0.4517,0.9521,0.3605
0.4523,0.9521,0.3614
0.453,0.9521,0.3618
0.4536,0.9521,0.3621
0.4543,0.9521,0.3642
0.4549,0.9521,0.3643
0.4556,0.9521,0.3644
0.4562,0.9521,0.365
0.4569,0.9521,0.3668
0.4576,0.9521,0.3673
0.4568,0.9491,0.3676
0.4574,0.9491,0.3678
0.4581,0.9491,0.3686
0.4588,0.9491,0.3698
0.4594,0.9491,0.3711
0.4586,0.9461,0.3731
0.4578,0.9431,0.3733
0.4585,0.9431,0.3735
0.4592,0.9431,0.3736
0.4584,0.9401,0.374
0.4591,0.9401,0.3748
0.4597,0.9401,0.3751
0.4604,0.9401,0.3751
0.4611,0.9401,0.3753
0.4618,0.9401,0.3757
0.4624,0.9401,0.3761
0.4617,0.9371,0.3761
0.4623,0.9371,0.3762
0.4615,0.9341,0.3765
0.4622,0.9341,0.3771
0.4629,0.9341,0.3774
0.4636,0.9341,0.3775
0.4628,0.9311,0.3776
0.462,0.9281,0.3778
0.4612,0.9251,0.3793
0.4619,0.9251,0.3798
0.4626,0.9251,0.3798
0.4633,0.9251,0.3812
0.4625,0.9222,0.3813
0.4632,0.9222,0.3817
0.4639,0.9222,0.382
0.4646,0.9222,0.3823
0.4653,0.9222,0.3823
0.466,0.9222,0.3824
0.4652,0.9192,0.3829
0.4643,0.9162,0.3829
0.465,0.9162,0.3831
0.4658,0.9162,0.3831
0.4649,0.9132,0.3835
0.4641,0.9102,0.3835
0.4633,0.9072,0.3836
0.464,0.9072,0.3841
0.4632,0.9042,0.3847
0.4639,0.9042,0.385
0.4631,0.9012,0.385
0.4638,0.9012,0.3851
0.463,0.8982,0.3853
0.4637,0.8982,0.3858
0.4644,0.8982,0.386
0.4651,0.8982,0.3863
0.4658,0.8982,0.3863
0.465,0.8952,0.3874
0.4642,0.8922,0.3876
0.4649,0.8922,0.388
0.4656,0.8922,0.3884
0.4648,0.8892,0.3885
0.4655,0.8892,0.3889
0.4647,0.8862,0.3891
0.4654,0.8862,0.3893
0.4661,0.8862,0.3894
0.4669,0.8862,0.3899
0.466,0.8832,0.3901
0.4668,0.8832,0.3906
0.4659,0.8802,0.3911
0.4651,0.8772,0.3912
0.4658,0.8772,0.3913
0.4666,0.8772,0.3915
0.4673,0.8772,0.3916
0.4665,0.8743,0.3917
0.4672,0.8743,0.3919
0.4679,0.8743,0.392
0.4687,0.8743,0.392
0.4695,0.8743,0.3922
0.4702,0.8743,0.3927
0.4694,0.8713,0.3931
0.4701,0.8713,0.3937
0.4709,0.8713,0.394
0.4716,0.8713,0.3942
0.4708,0.8683,0.3943
0.4715,0.8683,0.3943
0.4723,0.8683,0.3944
0.4731,0.8683,0.3944
0.4739,0.8683,0.3945
0.4746,0.8683,0.3946
0.4754,0.8683,0.3946
0.4745,0.8653,0.3949
0.4737,0.8623,0.395
0.4728,0.8593,0.3953
0.4719,0.8563,0.3956
0.4727,0.8563,0.3958
0.4719,0.8533,0.396
0.4726,0.8533,0.396
0.4734,0.8533,0.3962
0.4742,0.8533,0.3963
0.475,0.8533,0.3966
0.4758,0.8533,0.3969
0.4749,0.8503,0.3975
0.4757,0.8503,0.3981
0.4748,0.8473,0.3986
0.4756,0.8473,0.3987
0.4747,0.8443,0.3992
0.4739,0.8413,0.3993
0.4747,0.8413,0.3993
0.4738,0.8383,0.3994
0.4746,0.8383,0.3996
0.4754,0.8383,0.3997
0.4762,0.8383,0.3997
0.4753,0.8353,0.4001
0.4761,0.8353,0.4003
0.4769,0.8353,0.4004
0.476,0.8323,0.4007
0.4768,0.8323,0.4008
0.4777,0.8323,0.4009
0.4785,0.8323,0.401
0.4793,0.8323,0.4015
0.4784,0.8293,0.4015
0.4775,0.8263,0.4015
0.4783,0.8263,0.4022
0.4774,0.8234,0.4022
0.4783,0.8234,0.4023
0.4791,0.8234,0.4024
0.4799,0.8234,0.4032
0.4808,0.8234,0.4032
0.4816,0.8234,0.4035
0.4807,0.8204,0.4037
0.4798,0.8174,0.4041
0.4789,0.8144,0.4041
0.4797,0.8144,0.4046
0.4806,0.8144,0.4051
0.4796,0.8114,0.4053
0.4805,0.8114,0.4056
0.4796,0.8084,0.4057
0.4786,0.8054,0.4059
0.4795,0.8054,0.4062
0.4804,0.8054,0.4065
0.4812,0.8054,0.4067
0.4821,0.8054,0.4068
0.4811,0.8024,0.4072
0.4802,0.7994,0.4073
0.4793,0.7964,0.4074
0.4801,0.7964,0.4075
0.4792,0.7934,0.4084
0.4801,0.7934,0.4085
0.4809,0.7934,0.4086
0.4818,0.7934,0.409
0.4809,0.7904,0.4092
0.4818,0.7904,0.4092
0.4826,0.7904,0.4095
0.4817,0.7874,0.4095
0.4826,0.7874,0.4099
0.4835,0.7874,0.4106
0.4843,0.7874,0.4107
0.4852,0.7874,0.4109
0.4861,0.7874,0.4111
0.487,0.7874,0.4111
0.4879,0.7874,0.4111
0.487,0.7844,0.4118
0.4879,0.7844,0.4119
0.4888,0.7844,0.412
0.4879,0.7814,0.4121
0.4888,0.7814,0.4123
0.4878,0.7784,0.4123
0.4868,0.7754,0.4124
0.4878,0.7754,0.4124
0.4868,0.7725,0.4126
0.4858,0.7695,0.4127
0.4867,0.7695,0.4127
0.4877,0.7695,0.4128
0.4867,0.7665,0.4134
0.4876,0.7665,0.4135
0.4866,0.7635,0.4136
0.4876,0.7635,0.4138
0.4885,0.7635,0.4142
0.4875,0.7605,0.4143
0.4885,0.7605,0.4143
0.4894,0.7605,0.4143
0.4884,0.7575,0.4147
0.4894,0.7575,0.415
0.4903,0.7575,0.4152
0.4913,0.7575,0.416
0.4903,0.7545,0.4161
0.4912,0.7545,0.4161
0.4922,0.7545,0.4163
0.4912,0.7515,0.4166
0.4902,0.7485,0.4171
0.4892,0.7455,0.4176
0.4882,0.7425,0.4177
0.4872,0.7395,0.4185
0.4862,0.7365,0.4187
