feature,mean_abs_shap
home_L10_ra,0.05369153592260815
park_factor,0.03172482340867031
away_fb_velo,0.020940325332958573
home_bat_k_rate,0.020886038195912587
away_bat_woba,0.01765730470111677
away_bb_rate,0.016967020870262667
away_bat_iso,0.016551337368712487
home_k_rate,0.01513670790131354
temp_f,0.013926895000606537
home_hr_rate,0.012788484326444381
away_xwoba_against,0.01266512139529089
home_bat_iso,0.00988231901704757
away_L10_rs,0.008691585255304637
home_days_rest,0.008355049319843306
wind_out_factor,0.007434093079479582
home_hard_hit_pct,0.007011939653106329
away_k_rate,0.006987680721598275
home_fb_velo,0.006533967768127472
home_bat_woba,0.006131095194704532
away_bat_k_rate,0.005914852569973436
home_bb_rate,0.005777404293505229
wind_mph,0.00526997516018714
home_bat_hard_hit_pct,0.005130586757399917
home_fip,0.005025447755445039
home_xwoba_against,0.0045559163623848185
away_fip,0.004264100929200255
away_hr_rate,0.0033979871413040356
away_bat_hard_hit_pct,0.00296261280529501
home_L10_rs,0.0029131243073140228
away_hard_hit_pct,0.002469311459974962
away_L10_ra,0.002410616364193713
is_coors,0.0015285343534469586
away_days_rest,0.0007132112780702245
is_dome,0.00030512928791005096
