bin,n,avg_predicted,actual_rate
0.2-0.3,49,0.2489,0.3469
0.3-0.4,45,0.36,0.4
0.4-0.5,613,0.4907,0.4812
0.5-0.6,105,0.561,0.5048
0.7-0.8,1,0.7039,1.0
0.9-1.0,1,1.0,0.0
