bin,count
0.0-0.1,0
0.1-0.2,0
0.2-0.3,49
0.3-0.4,45
0.4-0.5,613
0.5-0.6,105
0.6-0.7,0
0.7-0.8,1
0.8-0.9,0
0.9-1.0,1
