precision,recall,threshold
0.4509,1.0,0.2917
0.4502,0.9973,0.2937
0.4495,0.9946,0.2992
0.4501,0.9946,0.3003
0.4494,0.9918,0.3017
0.4499,0.9918,0.307
0.4505,0.9918,0.3109
0.4498,0.9891,0.3126
0.4504,0.9891,0.313
0.4509,0.9891,0.3151
0.4502,0.9864,0.3163
0.4496,0.9837,0.3192
0.4501,0.9837,0.3218
0.4507,0.9837,0.3222
0.4512,0.9837,0.3224
0.4518,0.9837,0.3234
0.4524,0.9837,0.3247
0.4517,0.9809,0.3253
0.451,0.9782,0.3255
0.4503,0.9755,0.3261
0.4509,0.9755,0.3265
0.4515,0.9755,0.3291
0.4508,0.9728,0.33
0.4501,0.97,0.3301
0.4494,0.9673,0.3305
0.4499,0.9673,0.3316
0.4492,0.9646,0.3326
0.4498,0.9646,0.3326
0.4504,0.9646,0.3334
0.451,0.9646,0.3335
0.4515,0.9646,0.3339
0.4508,0.9619,0.334
0.4501,0.9591,0.3354
0.4507,0.9591,0.3361
0.4513,0.9591,0.3371
0.4519,0.9591,0.3382
0.4524,0.9591,0.3383
0.453,0.9591,0.3384
0.4536,0.9591,0.3397
0.4529,0.9564,0.3418
0.4535,0.9564,0.3423
0.4541,0.9564,0.3424
0.4547,0.9564,0.3438
0.4553,0.9564,0.3439
0.4558,0.9564,0.3446
0.4564,0.9564,0.3448
0.457,0.9564,0.3459
0.4563,0.9537,0.346
0.4556,0.951,0.3488
0.4562,0.951,0.3496
0.4568,0.951,0.3508
0.4561,0.9482,0.351
0.4567,0.9482,0.3511
0.4573,0.9482,0.3513
0.4579,0.9482,0.3516
0.4572,0.9455,0.3528
0.4578,0.9455,0.353
0.4571,0.9428,0.3546
0.4577,0.9428,0.3549
0.457,0.9401,0.3549
0.4562,0.9373,0.3554
0.4555,0.9346,0.3561
0.4548,0.9319,0.3562
0.4554,0.9319,0.3573
0.456,0.9319,0.3577
0.4553,0.9292,0.3593
0.4559,0.9292,0.3596
0.4552,0.9264,0.3596
0.4544,0.9237,0.3597
0.4537,0.921,0.3598
0.4543,0.921,0.3598
0.4536,0.9183,0.36
0.4528,0.9155,0.3601
0.4534,0.9155,0.3605
0.4541,0.9155,0.3609
0.4533,0.9128,0.3614
0.4539,0.9128,0.3618
0.4532,0.9101,0.3618
0.4524,0.9074,0.3626
0.4531,0.9074,0.3628
0.4523,0.9046,0.363
0.4529,0.9046,0.363
0.4522,0.9019,0.3632
0.4514,0.8992,0.3639
0.4507,0.8965,0.3644
0.4513,0.8965,0.3646
0.4519,0.8965,0.3647
0.4525,0.8965,0.3647
0.4518,0.8937,0.3649
0.451,0.891,0.365
0.4517,0.891,0.3653
0.4523,0.891,0.3653
0.4529,0.891,0.3659
0.4535,0.891,0.3659
0.4528,0.8883,0.3666
0.4534,0.8883,0.3671
0.4526,0.8856,0.3675
0.4533,0.8856,0.3681
0.4525,0.8828,0.3681
0.4531,0.8828,0.3683
0.4538,0.8828,0.3685
0.453,0.8801,0.3686
0.4537,0.8801,0.3693
0.4529,0.8774,0.3694
0.4521,0.8747,0.3694
0.4513,0.8719,0.3695
0.4506,0.8692,0.3698
0.4498,0.8665,0.3698
0.4504,0.8665,0.3698
0.4496,0.8638,0.3718
0.4489,0.861,0.3718
0.4495,0.861,0.3722
0.4487,0.8583,0.3725
0.4494,0.8583,0.3727
0.45,0.8583,0.3733
0.4506,0.8583,0.3736
0.4499,0.8556,0.3737
0.4505,0.8556,0.3737
0.4511,0.8556,0.3743
0.4504,0.8529,0.3749
0.451,0.8529,0.3754
0.4517,0.8529,0.3754
0.4523,0.8529,0.3756
0.453,0.8529,0.3763
0.4536,0.8529,0.3769
0.4543,0.8529,0.3772
0.4549,0.8529,0.3773
0.4556,0.8529,0.3774
0.4548,0.8501,0.378
0.4555,0.8501,0.3781
0.4561,0.8501,0.3781
0.4568,0.8501,0.3782
0.4575,0.8501,0.3783
0.4567,0.8474,0.3784
0.4559,0.8447,0.3784
0.4551,0.842,0.379
0.4543,0.8392,0.3793
0.4535,0.8365,0.3795
0.4541,0.8365,0.3797
0.4548,0.8365,0.3797
0.4555,0.8365,0.3799
0.4547,0.8338,0.3802
0.4554,0.8338,0.3803
0.4545,0.8311,0.3809
0.4552,0.8311,0.381
0.4544,0.8283,0.3813
0.4551,0.8283,0.3813
0.4543,0.8256,0.3814
0.4535,0.8229,0.3814
0.4541,0.8229,0.3824
0.4548,0.8229,0.3824
0.4555,0.8229,0.3824
0.4562,0.8229,0.3825
0.4569,0.8229,0.383
0.4576,0.8229,0.3832
0.4568,0.8202,0.3832
0.4559,0.8174,0.3832
0.4566,0.8174,0.3841
0.4558,0.8147,0.3845
0.4565,0.8147,0.3845
0.4572,0.8147,0.3848
0.4579,0.8147,0.3854
0.4571,0.812,0.3855
0.4578,0.812,0.3856
0.4585,0.812,0.387
0.4576,0.8093,0.3876
0.4568,0.8065,0.3882
0.4575,0.8065,0.3884
0.4582,0.8065,0.3885
0.4589,0.8065,0.3889
0.4596,0.8065,0.3895
0.4588,0.8038,0.3904
0.4579,0.8011,0.3908
0.4587,0.8011,0.3909
0.4594,0.8011,0.3912
0.4601,0.8011,0.3921
0.4608,0.8011,0.3922
0.4615,0.8011,0.3922
0.4623,0.8011,0.3931
0.4614,0.7984,0.3934
0.4606,0.7956,0.3942
0.4613,0.7956,0.3947
0.4604,0.7929,0.395
0.4596,0.7902,0.3951
0.4603,0.7902,0.3952
0.461,0.7902,0.3953
0.4618,0.7902,0.3954
0.4625,0.7902,0.3959
0.4633,0.7902,0.3962
0.4624,0.7875,0.3965
0.4631,0.7875,0.3965
0.4623,0.7847,0.3967
0.4614,0.782,0.3967
0.4605,0.7793,0.3968
0.4613,0.7793,0.3972
0.4604,0.7766,0.3972
0.4612,0.7766,0.3973
0.4603,0.7738,0.3975
0.461,0.7738,0.3975
0.4602,0.7711,0.3977
0.4609,0.7711,0.3979
0.4617,0.7711,0.3984
0.4608,0.7684,0.3984
0.4615,0.7684,0.3986
0.4607,0.7657,0.399
0.4598,0.7629,0.399
0.4605,0.7629,0.3991
0.4613,0.7629,0.3993
0.4604,0.7602,0.3995
0.4612,0.7602,0.3997
0.4619,0.7602,0.4004
0.4627,0.7602,0.4008
0.4635,0.7602,0.401
0.4626,0.7575,0.4011
0.4633,0.7575,0.4016
0.4641,0.7575,0.4019
0.4632,0.7548,0.4019
0.464,0.7548,0.402
0.4648,0.7548,0.4025
0.4655,0.7548,0.4029
0.4663,0.7548,0.403
0.4671,0.7548,0.4037
0.4679,0.7548,0.4037
0.4687,0.7548,0.4045
0.4695,0.7548,0.4046
0.4686,0.752,0.4047
0.4694,0.752,0.4049
0.4702,0.752,0.4051
0.471,0.752,0.4056
0.4718,0.752,0.4059
0.4709,0.7493,0.4067
0.4717,0.7493,0.4067
0.4708,0.7466,0.4069
0.4699,0.7439,0.4076
0.4707,0.7439,0.4077
0.4715,0.7439,0.408
0.4706,0.7411,0.4082
0.4714,0.7411,0.4083
0.4705,0.7384,0.4089
0.4713,0.7384,0.4091
0.4721,0.7384,0.4091
0.4712,0.7357,0.4099
0.4703,0.733,0.4103
0.4711,0.733,0.4106
0.4719,0.733,0.4106
0.471,0.7302,0.4107
0.4718,0.7302,0.411
0.4709,0.7275,0.4111
0.4717,0.7275,0.4112
0.4726,0.7275,0.4113
0.4734,0.7275,0.4114
0.4742,0.7275,0.4116
0.4733,0.7248,0.4117
0.4742,0.7248,0.412
0.475,0.7248,0.4121
0.4758,0.7248,0.4129
0.4767,0.7248,0.4133
0.4776,0.7248,0.4134
0.4784,0.7248,0.4135
0.4793,0.7248,0.4136
0.4783,0.7221,0.4137
0.4792,0.7221,0.4143
0.4783,0.7193,0.4147
0.4773,0.7166,0.4148
0.4764,0.7139,0.4151
0.4754,0.7112,0.4156
0.4763,0.7112,0.4156
0.4771,0.7112,0.4159
0.478,0.7112,0.416
0.4771,0.7084,0.4161
0.4779,0.7084,0.4162
0.4788,0.7084,0.4167
0.4779,0.7057,0.4168
0.4787,0.7057,0.4171
0.4796,0.7057,0.4173
0.4805,0.7057,0.4173
0.4814,0.7057,0.4178
0.4823,0.7057,0.4178
0.4832,0.7057,0.4179
0.4841,0.7057,0.4179
0.485,0.7057,0.4183
0.4859,0.7057,0.4186
0.4868,0.7057,0.4187
0.4859,0.703,0.4191
0.4849,0.7003,0.4193
0.4839,0.6975,0.4194
0.4848,0.6975,0.4201
0.4839,0.6948,0.4207
0.4829,0.6921,0.4207
0.4819,0.6894,0.4212
0.4828,0.6894,0.4216
0.4818,0.6866,0.4219
0.4808,0.6839,0.422
0.4798,0.6812,0.4223
0.4788,0.6785,0.4227
0.4798,0.6785,0.4228
0.4788,0.6757,0.4229
0.4797,0.6757,0.423
0.4787,0.673,0.4232
0.4796,0.673,0.4238
0.4805,0.673,0.4238
0.4815,0.673,0.424
0.4805,0.6703,0.4241
0.4795,0.6676,0.4247
0.4804,0.6676,0.4248
0.4813,0.6676,0.4251
0.4823,0.6676,0.4251
0.4813,0.6649,0.4252
0.4802,0.6621,0.4263
0.4792,0.6594,0.4264
0.4802,0.6594,0.4264
0.4791,0.6567,0.4264
0.4781,0.654,0.4269
0.479,0.654,0.4271
0.478,0.6512,0.4272
0.477,0.6485,0.4279
0.4759,0.6458,0.4279
0.4769,0.6458,0.4279
0.4778,0.6458,0.428
0.4788,0.6458,0.4285
0.4777,0.6431,0.4285
0.4787,0.6431,0.4286
0.4797,0.6431,0.4289
0.4786,0.6403,0.4291
0.4776,0.6376,0.4292
0.4785,0.6376,0.4292
0.4775,0.6349,0.4295
0.4784,0.6349,0.4296
0.4774,0.6322,0.43
0.4763,0.6294,0.43
0.4773,0.6294,0.4302
0.4783,0.6294,0.4307
0.4772,0.6267,0.4307
0.4782,0.6267,0.4308
0.4771,0.624,0.431
0.476,0.6213,0.4311
0.4749,0.6185,0.4312
0.4759,0.6185,0.4313
0.4769,0.6185,0.4314
0.4758,0.6158,0.4315
0.4768,0.6158,0.4317
0.4778,0.6158,0.4319
0.4788,0.6158,0.432
0.4798,0.6158,0.4322
0.4809,0.6158,0.4326
0.4819,0.6158,0.4328
0.4829,0.6158,0.4328
0.4818,0.6131,0.4331
0.4828,0.6131,0.4332
0.4839,0.6131,0.4332
0.4828,0.6104,0.4335
0.4816,0.6076,0.4336
0.4805,0.6049,0.4338
0.4794,0.6022,0.4339
0.4804,0.6022,0.4341
0.4793,0.5995,0.4342
0.4782,0.5967,0.4344
0.4792,0.5967,0.4345
0.4803,0.5967,0.4346
0.4791,0.594,0.4347
0.478,0.5913,0.4347
0.479,0.5913,0.4348
0.4801,0.5913,0.435
0.4812,0.5913,0.4352
0.4822,0.5913,0.4355
0.4811,0.5886,0.4357
0.4821,0.5886,0.4358
0.4832,0.5886,0.436
0.4821,0.5858,0.4363
0.4809,0.5831,0.4364
0.482,0.5831,0.4367
0.4808,0.5804,0.4367
0.4819,0.5804,0.4369
0.4807,0.5777,0.437
0.4795,0.5749,0.4371
0.4806,0.5749,0.4371
0.4817,0.5749,0.4372
0.4805,0.5722,0.4373
0.4794,0.5695,0.4373
0.4782,0.5668,0.4374
0.4793,0.5668,0.4382
0.4804,0.5668,0.4383
0.4792,0.564,0.4384
0.4803,0.564,0.4393
0.4791,0.5613,0.4395
0.4779,0.5586,0.4396
0.479,0.5586,0.4399
0.4801,0.5586,0.4399
0.4789,0.5559,0.4401
0.48,0.5559,0.4402
0.4811,0.5559,0.4403
0.4799,0.5531,0.4403
0.481,0.5531,0.4404
0.4822,0.5531,0.4407
0.4833,0.5531,0.4407
0.4845,0.5531,0.4408
0.4833,0.5504,0.4409
0.482,0.5477,0.4412
0.4832,0.5477,0.4412
0.4819,0.545,0.4413
0.4831,0.545,0.4415
0.4843,0.545,0.4418
0.4854,0.545,0.4422
0.4866,0.545,0.4427
0.4854,0.5422,0.4427
0.4866,0.5422,0.4428
0.4853,0.5395,0.443
0.4865,0.5395,0.4431
0.4877,0.5395,0.4436
