feature,gain,gain_pct
away_k_rate,1314.9735639095306,6.76
away_bat_woba,1096.1473614275455,5.64
temp_f,976.0709176063538,5.02
wind_mph,947.3906319141388,4.87
away_hard_hit_pct,929.1562893390656,4.78
home_bat_hard_hit_pct,917.2707381248474,4.72
park_factor,782.2321586608887,4.02
away_fb_velo,715.9136579036713,3.68
home_bat_woba,698.5506992340088,3.59
home_fb_velo,662.6059762239456,3.41
home_bat_iso,659.6023511886597,3.39
home_L10_ra,659.3053463101387,3.39
away_bat_k_rate,608.0205204486847,3.13
away_L10_rs,579.3336107730865,2.98
away_bat_iso,571.6850485801697,2.94
home_bat_k_rate,565.810022354126,2.91
home_k_rate,548.6404266357422,2.82
wind_out_factor,543.63643014431,2.8
home_bb_rate,485.2338089942932,2.5
away_bat_hard_hit_pct,470.405247092247,2.42
home_xwoba_against,466.5429787635803,2.4
home_hard_hit_pct,457.0064558982849,2.35
away_bb_rate,445.07011818885803,2.29
home_fip,426.0014977455139,2.19
home_hr_rate,423.5093208551407,2.18
away_fip,409.01635217666626,2.1
away_L10_ra,405.02572894096375,2.08
away_xwoba_against,337.8471963405609,1.74
away_L10_wr,335.084951877594,1.72
away_hr_rate,287.6330008506775,1.48
home_days_rest,259.3829483985901,1.33
home_L10_rs,216.30105030536652,1.11
home_L10_wr,176.09691834449768,0.91
is_dome,33.37308979034424,0.17
away_days_rest,28.847310304641724,0.15
away_is_lefty,5.630680084228516,0.03
is_coors,0.0,0.0
