fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0027,0.6279
0.0045,0.0027,0.6026
0.0045,0.0082,0.5948
0.0067,0.0082,0.5875
0.0067,0.0136,0.5859
0.0089,0.0136,0.5832
0.0089,0.0163,0.5813
0.0157,0.0163,0.5743
0.0157,0.0218,0.5657
0.0201,0.0218,0.5607
0.0201,0.0272,0.5578
0.0246,0.0272,0.5571
0.0246,0.0327,0.5529
0.0291,0.0327,0.5496
0.0291,0.0354,0.5494
0.0336,0.0354,0.542
0.0336,0.0463,0.5347
0.0403,0.0463,0.5333
0.0403,0.0545,0.5317
0.0425,0.0545,0.5312
0.0425,0.0572,0.5306
0.0447,0.0572,0.5277
0.0447,0.0627,0.5266
0.047,0.0627,0.526
0.047,0.0708,0.5226
0.0582,0.0708,0.5192
0.0582,0.0763,0.5166
0.0604,0.0763,0.5162
0.0604,0.0845,0.5145
0.0671,0.0845,0.5135
0.0671,0.0872,0.5133
0.0694,0.0872,0.5133
0.0694,0.0981,0.5111
0.0716,0.0981,0.511
0.0716,0.1008,0.511
0.0738,0.1008,0.5109
0.0738,0.1035,0.5106
0.0761,0.1035,0.5102
0.0761,0.1063,0.5095
0.0805,0.1063,0.5085
0.0805,0.109,0.5077
0.0917,0.109,0.5073
0.0917,0.1144,0.5069
0.0962,0.1144,0.5059
0.0962,0.1172,0.5054
0.0984,0.1172,0.5053
0.0984,0.1199,0.5051
0.1096,0.1199,0.504
0.1096,0.1226,0.5034
0.1119,0.1226,0.5032
0.1119,0.1253,0.5031
0.1186,0.1253,0.5004
0.1186,0.1281,0.5001
0.123,0.1281,0.4997
0.123,0.1335,0.4993
0.1298,0.1335,0.498
0.1298,0.1362,0.4975
0.1342,0.1362,0.4969
0.1342,0.1499,0.4964
0.1454,0.1499,0.4939
0.1454,0.158,0.4927
0.1477,0.158,0.4926
0.1477,0.1798,0.491
0.1499,0.1798,0.4906
0.1499,0.1826,0.4902
0.1544,0.1826,0.4896
0.1544,0.1853,0.4896
0.1611,0.1853,0.4893
0.1611,0.188,0.4888
0.1633,0.188,0.4887
0.1633,0.1907,0.4886
0.1834,0.1907,0.487
0.1834,0.1962,0.4867
0.1857,0.1962,0.4866
0.1857,0.1989,0.4866
0.1902,0.1989,0.486
0.1902,0.2044,0.4846
0.1924,0.2044,0.4845
0.1924,0.2071,0.4845
0.1991,0.2071,0.484
0.1991,0.2098,0.4839
0.2081,0.2098,0.4825
0.2081,0.2125,0.4824
0.2103,0.2125,0.482
0.2103,0.2153,0.482
