feature,mean_abs_shap
away_bat_woba,0.0448981848203207
away_k_rate,0.039039698095620703
home_L10_ra,0.023738411208899902
away_hard_hit_pct,0.02357393925503727
home_fb_velo,0.016709067701338367
home_bat_k_rate,0.015250762097113893
wind_mph,0.011150091780997502
away_fb_velo,0.011093099252441263
home_bat_hard_hit_pct,0.010880854658421273
home_bat_iso,0.010248052198310828
temp_f,0.009669646363341196
away_L10_rs,0.009545029310143243
home_fip,0.009233985827215149
away_bb_rate,0.009213321027992398
away_fip,0.009050689126544761
home_k_rate,0.008962999509557534
away_bat_k_rate,0.006654898071316874
wind_out_factor,0.006378315459522679
home_bat_woba,0.006282756255812494
park_factor,0.006231571769246572
home_xwoba_against,0.006104355526372488
home_bb_rate,0.005995520128454316
away_L10_wr,0.005941428754174384
home_days_rest,0.005789648727549669
away_L10_ra,0.005653605681756282
away_xwoba_against,0.005547278736881451
home_hr_rate,0.004876453513398396
away_bat_iso,0.0038310321247429246
away_bat_hard_hit_pct,0.003261427021537812
away_hr_rate,0.0032609266408687586
home_hard_hit_pct,0.0032278730038085074
home_L10_wr,0.0029946711908013764
home_L10_rs,0.002206148750682215
away_days_rest,0.0007153151527230444
is_dome,0.0005229350078604922
away_is_lefty,0.00011549206098268853
is_coors,0.0
