feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_k_rate,174.81577110290527,1,-0.0003876277873628986,4,0.03388378683817853,2,-0.001072,-0.002961,7,3.5
home_L10_ra,101.83694982528687,3,0.0007737936603743334,1,0.018898756486710414,3,-0.000871,-0.003277,15,5.5
away_bat_woba,170.20444297790527,2,-4.132698042745853e-05,22,0.037042347213049935,1,-0.00128,0.002813,5,7.5
home_bat_iso,41.34934997558594,8,6.212016329313342e-05,19,0.004726256845311858,9,0.003921,-0.044521,1,9.25
home_bat_k_rate,46.26859998703003,7,-1.5528694291955248e-05,28,0.010687901691799916,4,-0.002061,0.00933,3,10.5
home_bat_hard_hit_pct,14.114370346069336,19,0.0002838168651073114,7,0.005074831193877606,8,-0.001027,-0.005013,10,11.0
away_hard_hit_pct,32.889169692993164,9,0.0002957586961464531,6,0.0075237759771035525,7,-0.000455,-0.006616,23,11.25
wind_mph,78.33931875228882,4,0.0007515249934583301,2,0.010106176497649735,5,-0.000148,-0.008172,35,11.5
home_fb_velo,63.02612018585205,5,-0.0003652680723588042,5,0.007972514942289066,6,-7.5e-05,-0.004669,36,13.0
wind_out_factor,48.60831022262573,6,-0.00040140642661753436,3,0.004227050107146551,10,-0.000227,0.00743,33,13.0
home_bat_woba,27.106670379638672,12,-0.00019622150934348604,10,0.0026347875474414706,14,-0.000544,-0.004272,17,13.25
away_bat_k_rate,24.075209617614746,13,-0.0002537205736646064,8,0.0029220008527311636,13,-0.00052,-0.007838,19,13.25
away_L10_ra,10.822799682617188,20,0.00011647534933931781,15,0.002459101511774091,15,0.001487,-0.023077,4,13.5
away_bat_iso,7.24153995513916,23,-0.00014099754615192194,11,0.0015304654221340614,18,-0.001032,-0.00136,9,15.25
away_L10_wr,17.745710372924805,14,7.475768696098006e-05,16,0.0013701107398073834,20,0.000887,-0.014397,14,16.0
home_L10_wr,7.2893898487091064,22,0.0001164818143900459,14,0.0008761560706093369,26,-0.001038,-0.002285,8,17.5
away_bb_rate,16.76835060119629,15,4.1435153597102484e-05,21,0.0034098234950311872,11,-0.000442,-0.004918,24,17.75
away_L10_rs,28.559260368347168,11,0.00013920479899393046,12,0.003020507481901211,12,3.5e-05,-0.005738,37,18.0
park_factor,15.091639995574951,17,-0.00021254799503525045,9,0.0015871962381678048,17,-0.000276,0.000924,32,18.75
home_k_rate,8.399589538574219,21,7.05312753023546e-05,17,0.0014371952402089233,19,-0.000458,-0.005679,22,19.75
away_xwoba_against,16.08775043487549,16,-0.00012542091176053204,13,0.0018691690935011159,16,-0.000149,-0.007931,34,19.75
temp_f,31.402390480041504,10,-2.169493667666389e-05,27,0.001302868123091762,21,0.000386,-0.013681,30,22.0
home_bb_rate,5.2353901863098145,27,-3.398911925511783e-05,24,0.0011059812125270194,23,-0.000711,-0.002041,16,22.5
away_fb_velo,5.792210102081299,26,6.627760280220052e-05,18,0.0011620947577472482,22,-0.000395,-0.007499,26,23.0
home_hr_rate,14.790740251541138,18,-3.48261320401666e-05,23,0.0005358524497564039,27,-0.00041,-0.005614,25,23.25
home_hard_hit_pct,6.508260011672974,25,3.1034423672782195e-05,25,0.001040927440975953,25,-0.000517,-0.004782,20,23.75
home_fip,7.0048898458480835,24,-4.6144892246968716e-05,20,0.0010881415265235682,24,-0.000394,-0.004887,27,23.75
away_hr_rate,4.117109775543213,28,-2.9690080555822008e-05,26,0.00022565233681809212,28,-0.000522,-0.003005,18,25.0
away_fip,0.0,32,0.0,32,0.0,32,-0.00112,0.004952,6,25.5
away_bat_hard_hit_pct,0.0,35,0.0,35,0.0,35,0.002362,-0.023515,2,26.75
home_xwoba_against,0.0,29,0.0,29,0.0,29,-0.000512,-0.002911,21,27.0
away_is_lefty,0.0,33,0.0,33,0.0,33,-0.000938,0.000142,12,27.75
away_days_rest,0.0,34,0.0,34,0.0,34,-0.000938,0.000142,13,28.75
home_is_lefty,0.0,30,0.0,30,0.0,30,-0.000394,-0.004887,28,29.5
home_L10_rs,0.0,36,0.0,36,0.0,36,-0.000987,-0.00559,11,29.75
home_days_rest,0.0,31,0.0,31,0.0,31,-0.000394,-0.004887,29,30.5
is_dome,0.0,37,0.0,37,0.0,37,0.000362,-0.009273,31,35.5
is_coors,0.0,38,0.0,38,0.0,38,0.0,0.0,38,38.0
