fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0027,0.5278
0.0089,0.0027,0.5126
0.0112,0.0082,0.5123
0.0157,0.0109,0.5036
0.0201,0.0109,0.5033
0.0246,0.0109,0.4995
0.0268,0.0136,0.4989
0.0268,0.0191,0.4979
0.0268,0.0245,0.4957
0.0313,0.0327,0.4952
0.0336,0.0381,0.4948
0.038,0.0381,0.4933
0.038,0.0409,0.493
0.0447,0.0409,0.4918
0.0447,0.049,0.4907
0.0515,0.0572,0.4891
0.0537,0.0572,0.4889
0.0537,0.0599,0.4886
0.0559,0.0599,0.4884
0.0738,0.0845,0.488
0.0761,0.0845,0.4879
0.0805,0.0926,0.4864
0.0828,0.0926,0.4864
0.0828,0.0981,0.4861
0.0895,0.0981,0.4847
0.0917,0.1035,0.4847
0.0917,0.1117,0.4836
0.1119,0.1281,0.4834
0.1141,0.1281,0.4827
0.1432,0.1417,0.4824
0.1432,0.1471,0.4821
0.1454,0.1499,0.4819
0.1477,0.1499,0.4817
0.1477,0.1526,0.4816
0.1499,0.1526,0.481
0.1499,0.1635,0.4795
0.1544,0.1635,0.4794
0.1588,0.1635,0.479
0.1611,0.1635,0.4788
0.1611,0.1689,0.4785
0.1655,0.1689,0.4781
0.1745,0.1717,0.4777
0.179,0.1717,0.4775
0.179,0.1771,0.4771
0.179,0.1826,0.4765
0.1834,0.1853,0.4761
0.1834,0.188,0.4761
0.1924,0.1989,0.4755
0.1924,0.2016,0.4753
0.1946,0.2044,0.4753
0.2013,0.2071,0.4751
0.2036,0.2071,0.4751
0.2036,0.2098,0.4749
0.2058,0.2125,0.4748
0.2058,0.2153,0.4747
0.2081,0.2207,0.4739
0.2125,0.2207,0.4738
0.2125,0.2289,0.473
0.217,0.2289,0.4724
0.217,0.2316,0.4719
0.2304,0.2425,0.4715
0.2371,0.2452,0.4713
0.2371,0.2507,0.4709
0.2438,0.2534,0.4708
0.2438,0.2561,0.4708
0.2483,0.2643,0.4699
0.255,0.2643,0.4694
0.255,0.267,0.4692
0.2573,0.267,0.4691
0.2617,0.267,0.4691
0.2617,0.2779,0.467
0.264,0.2779,0.4669
0.2662,0.2916,0.4668
0.2685,0.2916,0.4665
0.2729,0.297,0.4663
0.2729,0.2997,0.4663
0.2729,0.3052,0.4662
0.2774,0.3052,0.4661
0.2796,0.3079,0.466
0.2841,0.3079,0.4659
0.2908,0.3243,0.4659
0.2931,0.3243,0.4658
0.2953,0.327,0.4654
0.2953,0.3297,0.4654
0.302,0.3297,0.4652
0.3043,0.3324,0.4652
0.3087,0.3324,0.4648
0.3087,0.3406,0.464
0.311,0.3406,0.464
0.311,0.3433,0.4636
0.3132,0.346,0.4633
0.3154,0.346,0.4626
0.3154,0.3488,0.4626
0.3177,0.3515,0.4625
0.3177,0.3569,0.4623
0.3221,0.3569,0.4613
0.3289,0.3706,0.4612
0.3289,0.3733,0.4609
0.3311,0.3733,0.4601
0.3356,0.3733,0.46
0.3378,0.3733,0.46
0.3378,0.376,0.4599
