feature,importance_mean,importance_std
home_L10_ra,0.0007737936603743334,0.0014093163914522258
wind_mph,0.0007515249934583301,0.0005637105418676608
away_hard_hit_pct,0.0002957586961464531,0.0003153334946060171
home_bat_hard_hit_pct,0.0002838168651073114,0.00017431139653589499
away_L10_rs,0.00013920479899393046,0.00020100182660562363
home_L10_wr,0.0001164818143900459,7.843651626058407e-05
away_L10_ra,0.00011647534933931781,7.844875205546106e-05
away_L10_wr,7.475768696098006e-05,8.535904452457198e-05
home_k_rate,7.05312753023546e-05,0.00012740003003577604
away_fb_velo,6.627760280220052e-05,9.696407716907513e-05
home_bat_iso,6.212016329313342e-05,0.0002105011261489771
away_bb_rate,4.1435153597102484e-05,0.00020446524111730708
home_hard_hit_pct,3.1034423672782195e-05,0.0001414028460498645
home_xwoba_against,0.0,0.0
home_is_lefty,0.0,0.0
home_days_rest,0.0,0.0
away_fip,0.0,0.0
away_is_lefty,0.0,0.0
away_days_rest,0.0,0.0
away_bat_hard_hit_pct,0.0,0.0
home_L10_rs,0.0,0.0
is_dome,0.0,0.0
is_coors,0.0,0.0
home_bat_k_rate,-1.5528694291955248e-05,0.0003125998398804917
temp_f,-2.169493667666389e-05,4.28160395520354e-05
away_hr_rate,-2.9690080555822008e-05,4.299093879247621e-05
home_bb_rate,-3.398911925511783e-05,5.6800733511637834e-05
home_hr_rate,-3.48261320401666e-05,0.00013965558875494985
away_bat_woba,-4.132698042745853e-05,0.0019223463101287269
home_fip,-4.6144892246968716e-05,6.939883425876594e-05
away_xwoba_against,-0.00012542091176053204,0.00014893550060928146
away_bat_iso,-0.00014099754615192194,0.00011114268141790648
home_bat_woba,-0.00019622150934348604,0.00019940483069785166
park_factor,-0.00021254799503525045,0.0001475197649813842
away_bat_k_rate,-0.0002537205736646064,0.00030738039819009987
home_fb_velo,-0.0003652680723588042,0.0003427498669777497
away_k_rate,-0.0003876277873628986,0.0017858446198614983
wind_out_factor,-0.00040140642661753436,0.0003148728725788381
