feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.687854,0.691775,0.003921,0.553718,0.509197,-0.044521
away_bat_hard_hit_pct,0.687854,0.690216,0.002362,0.553718,0.530203,-0.023515
away_L10_ra,0.687854,0.689341,0.001487,0.553718,0.530641,-0.023077
away_L10_wr,0.687854,0.688741,0.000887,0.553718,0.539321,-0.014397
temp_f,0.687854,0.68824,0.000386,0.553718,0.540037,-0.013681
is_dome,0.687854,0.688216,0.000362,0.553718,0.544445,-0.009273
away_L10_rs,0.687854,0.687889,3.5e-05,0.553718,0.54798,-0.005738
is_coors,0.687854,0.687854,0.0,0.553718,0.553718,0.0
home_fb_velo,0.687854,0.68778,-7.5e-05,0.553718,0.549049,-0.004669
wind_mph,0.687854,0.687707,-0.000148,0.553718,0.545546,-0.008172
away_xwoba_against,0.687854,0.687705,-0.000149,0.553718,0.545787,-0.007931
wind_out_factor,0.687854,0.687627,-0.000227,0.553718,0.561148,0.00743
park_factor,0.687854,0.687578,-0.000276,0.553718,0.554642,0.000924
home_fip,0.687854,0.68746,-0.000394,0.553718,0.548831,-0.004887
home_is_lefty,0.687854,0.68746,-0.000394,0.553718,0.548831,-0.004887
home_days_rest,0.687854,0.68746,-0.000394,0.553718,0.548831,-0.004887
away_fb_velo,0.687854,0.687459,-0.000395,0.553718,0.546218,-0.007499
home_hr_rate,0.687854,0.687444,-0.00041,0.553718,0.548104,-0.005614
away_bb_rate,0.687854,0.687412,-0.000442,0.553718,0.5488,-0.004918
away_hard_hit_pct,0.687854,0.687399,-0.000455,0.553718,0.547101,-0.006616
home_k_rate,0.687854,0.687396,-0.000458,0.553718,0.548039,-0.005679
home_xwoba_against,0.687854,0.687343,-0.000512,0.553718,0.550807,-0.002911
home_hard_hit_pct,0.687854,0.687337,-0.000517,0.553718,0.548936,-0.004782
away_bat_k_rate,0.687854,0.687334,-0.00052,0.553718,0.54588,-0.007838
away_hr_rate,0.687854,0.687332,-0.000522,0.553718,0.550713,-0.003005
home_bat_woba,0.687854,0.68731,-0.000544,0.553718,0.549446,-0.004272
home_bb_rate,0.687854,0.687143,-0.000711,0.553718,0.551677,-0.002041
home_L10_ra,0.687854,0.686983,-0.000871,0.553718,0.550441,-0.003277
away_is_lefty,0.687854,0.686916,-0.000938,0.553718,0.553859,0.000142
away_days_rest,0.687854,0.686916,-0.000938,0.553718,0.553859,0.000142
home_L10_rs,0.687854,0.686867,-0.000987,0.553718,0.548128,-0.00559
home_bat_hard_hit_pct,0.687854,0.686827,-0.001027,0.553718,0.548705,-0.005013
away_bat_iso,0.687854,0.686823,-0.001032,0.553718,0.552358,-0.00136
home_L10_wr,0.687854,0.686816,-0.001038,0.553718,0.551433,-0.002285
away_k_rate,0.687854,0.686782,-0.001072,0.553718,0.550756,-0.002961
away_fip,0.687854,0.686735,-0.00112,0.553718,0.55867,0.004952
away_bat_woba,0.687854,0.686574,-0.00128,0.553718,0.556531,0.002813
home_bat_k_rate,0.687854,0.685793,-0.002061,0.553718,0.563048,0.00933
