feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank,stability,rank_std_across_folds,fold_count,outcome_correlation,mean_shap,value_shap_corr,direction,method_agreement,methods_available,confidence,engineering_verdict,verdict_reason
away_k_rate,174.81577110290527,1,-0.0003876277873628,4,0.0338837868381785,2,-0.001072,-0.002961,7,3.5,0.0843,16.941,4,-0.0421,,,UNKNOWN,0.857,4,High,INVESTIGATE,"rank stability 0.0843 < 0.5 across 4 walk-forward folds (fold ranks [31, 6, 4, 37]), mean_rank 3.5/38, agreement High"
home_L10_ra,101.83694982528688,3,0.0007737936603743,1,0.0188987564867104,3,-0.000871,-0.003277,15,5.5,0.0,21.077,4,-0.0963,,,UNKNOWN,0.6539,4,Medium,INVESTIGATE,"rank stability 0.0 < 0.5 across 4 walk-forward folds (fold ranks [38, 1, 2, 38]), mean_rank 5.5/38, agreement Medium"
away_bat_woba,170.20444297790527,2,-4.132698042745853e-05,22,0.0370423472130499,1,-0.00128,0.002813,5,7.5,0.455,10.083,4,-0.0461,,,UNKNOWN,0.4695,4,Low,INVESTIGATE,"rank stability 0.455 < 0.5 across 4 walk-forward folds (fold ranks [21, 32, 25, 8]), mean_rank 7.5/38, agreement Low"
home_bat_iso,41.34934997558594,8,6.212016329313342e-05,19,0.0047262568453118,9,0.003921,-0.044521,1,9.25,0.1516,15.695,4,0.1198,,,UNKNOWN,0.5994,4,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.003921 when this feature was dropped, mean_rank 9.25/38, stability 0.1516, agreement Low"
home_bat_k_rate,46.26859998703003,7,-1.5528694291955248e-05,28,0.0106879016917999,4,-0.002061,0.00933,3,10.5,0.1633,15.478,4,-0.0529,,,UNKNOWN,0.3627,4,Low,INVESTIGATE,"rank stability 0.1633 < 0.5 across 4 walk-forward folds (fold ranks [36, 4, 3, 10]), mean_rank 10.5/38, agreement Low"
home_bat_hard_hit_pct,14.114370346069336,19,0.0002838168651073,7,0.0050748311938776,8,-0.001027,-0.005013,10,11.0,0.0406,17.748,4,0.0268,,,UNKNOWN,0.7039,4,Medium,INVESTIGATE,"rank stability 0.0406 < 0.5 across 4 walk-forward folds (fold ranks [2, 38, 11, 35]), mean_rank 11.0/38, agreement Medium"
away_hard_hit_pct,32.889169692993164,9,0.0002957586961464,6,0.0075237759771035,7,-0.000455,-0.006616,23,11.25,0.7334,4.933,4,0.0083,,,UNKNOWN,0.5712,4,Low,KEEP,"mean_rank 11.25/38, stability 0.7334, agreement Low, walk-forward ablation delta -0.000455"
wind_mph,78.33931875228882,4,0.0007515249934583,2,0.0101061764976497,5,-0.000148,-0.008172,35,11.5,0.0966,16.713,4,0.0259,,,UNKNOWN,0.1505,4,Low,INVESTIGATE,"rank stability 0.0966 < 0.5 across 4 walk-forward folds (fold ranks [5, 3, 38, 6]), mean_rank 11.5/38, agreement Low"
home_fb_velo,63.02612018585205,5,-0.0003652680723588,5,0.007972514942289,6,-7.5e-05,-0.004669,36,13.0,0.194,14.911,4,0.0171,,,UNKNOWN,0.1708,4,Low,INVESTIGATE,"rank stability 0.194 < 0.5 across 4 walk-forward folds (fold ranks [8, 2, 12, 36]), mean_rank 13.0/38, agreement Low"
wind_out_factor,48.60831022262573,6,-0.0004014064266175,3,0.0042270501071465,10,-0.000227,0.00743,33,13.0,0.3551,11.93,4,-0.0696,,,UNKNOWN,0.2628,4,Low,INVESTIGATE,"rank stability 0.3551 < 0.5 across 4 walk-forward folds (fold ranks [37, 35, 31, 11]), mean_rank 13.0/38, agreement Low"
