precision,recall,threshold
0.4509,1.0,0.3245
0.4502,0.9973,0.334
0.4495,0.9946,0.3356
0.4501,0.9946,0.3385
0.4506,0.9946,0.3434
0.4512,0.9946,0.3437
0.4511,0.9918,0.3447
0.4509,0.9891,0.3453
0.4502,0.9864,0.3465
0.4496,0.9837,0.3472
0.4501,0.9837,0.3481
0.4494,0.9809,0.3486
0.45,0.9809,0.3501
0.4506,0.9809,0.3514
0.4499,0.9782,0.3535
0.4492,0.9755,0.3535
0.4485,0.9728,0.354
0.4478,0.97,0.3542
0.4484,0.97,0.3558
0.4477,0.9673,0.3561
0.4488,0.9673,0.3582
0.4494,0.9673,0.3586
0.4499,0.9673,0.3592
0.4505,0.9673,0.3598
0.4504,0.9646,0.3602
0.451,0.9646,0.361
0.4515,0.9646,0.3611
0.4514,0.9619,0.3629
0.452,0.9619,0.3646
0.4526,0.9619,0.3647
0.4519,0.9591,0.3661
0.4512,0.9564,0.3661
0.4505,0.9537,0.3683
0.451,0.9537,0.369
0.4516,0.9537,0.369
0.4509,0.951,0.3701
0.4515,0.951,0.3716
0.4508,0.9482,0.3724
0.4501,0.9455,0.3727
0.4506,0.9455,0.3729
0.4512,0.9455,0.3734
0.4518,0.9455,0.3736
0.4511,0.9428,0.3756
0.4517,0.9428,0.3758
0.451,0.9401,0.3766
0.4516,0.9401,0.3768
0.4522,0.9401,0.377
0.4514,0.9373,0.3773
0.452,0.9373,0.3782
0.4526,0.9373,0.3783
0.4532,0.9373,0.379
0.4525,0.9346,0.3796
0.4518,0.9319,0.3796
0.4524,0.9319,0.3797
0.453,0.9319,0.3821
0.4523,0.9292,0.3824
0.4515,0.9264,0.3826
0.4521,0.9264,0.3828
0.4527,0.9264,0.3831
0.4533,0.9264,0.3847
0.4539,0.9264,0.3859
0.4532,0.9237,0.3861
0.4525,0.921,0.3876
0.4531,0.921,0.3876
0.4537,0.921,0.388
0.4543,0.921,0.388
0.4536,0.9183,0.388
0.4528,0.9155,0.3883
0.4521,0.9128,0.3884
0.4514,0.9101,0.3886
0.4506,0.9074,0.3892
0.4512,0.9074,0.3894
0.4505,0.9046,0.3894
0.4511,0.9046,0.39
0.4503,0.9019,0.3912
0.4496,0.8992,0.3913
0.4502,0.8992,0.3918
0.4495,0.8965,0.3925
0.4487,0.8937,0.3925
0.4479,0.891,0.3926
0.4472,0.8883,0.3929
0.4478,0.8883,0.3929
0.4484,0.8883,0.393
0.4477,0.8856,0.3935
0.4483,0.8856,0.3937
0.4489,0.8856,0.3937
0.4495,0.8856,0.3938
0.4501,0.8856,0.3941
0.4508,0.8856,0.3942
0.45,0.8828,0.3942
0.4506,0.8828,0.3946
