precision,recall,threshold
0.4816,0.7844,0.4103
0.4807,0.7814,0.4106
0.4815,0.7814,0.4107
0.4806,0.7784,0.411
0.4815,0.7784,0.4112
0.4805,0.7754,0.4122
0.4814,0.7754,0.4124
0.4804,0.7725,0.413
0.4795,0.7695,0.4132
0.4785,0.7665,0.4134
0.4775,0.7635,0.4135
0.4784,0.7635,0.4136
0.4793,0.7635,0.4138
0.4802,0.7635,0.4142
0.4792,0.7605,0.4145
0.4802,0.7605,0.4145
0.4811,0.7605,0.4147
0.482,0.7605,0.415
0.4829,0.7605,0.415
0.4838,0.7605,0.4153
0.4847,0.7605,0.4155
0.4857,0.7605,0.416
0.4866,0.7605,0.4165
0.4875,0.7605,0.4167
0.4865,0.7575,0.4167
0.4855,0.7545,0.417
0.4846,0.7515,0.4172
0.4855,0.7515,0.4175
0.4845,0.7485,0.4175
0.4835,0.7455,0.4176
0.4825,0.7425,0.4177
0.4834,0.7425,0.4178
0.4824,0.7395,0.4178
0.4814,0.7365,0.4187
0.4824,0.7365,0.4189
0.4833,0.7365,0.4189
0.4843,0.7365,0.4192
0.4852,0.7365,0.4195
0.4862,0.7365,0.4197
0.4851,0.7335,0.4198
0.4841,0.7305,0.4198
0.4851,0.7305,0.42
0.4861,0.7305,0.421
0.487,0.7305,0.4214
0.486,0.7275,0.4214
0.485,0.7246,0.4217
0.4859,0.7246,0.4218
0.4849,0.7216,0.4219
0.4859,0.7216,0.4219
0.4869,0.7216,0.4222
0.4858,0.7186,0.4222
0.4848,0.7156,0.4229
0.4837,0.7126,0.4233
0.4847,0.7126,0.4236
0.4857,0.7126,0.4239
0.4847,0.7096,0.4242
0.4836,0.7066,0.4242
0.4825,0.7036,0.4247
0.4835,0.7036,0.425
0.4825,0.7006,0.4251
0.4835,0.7006,0.4253
0.4845,0.7006,0.4255
0.4855,0.7006,0.4262
0.4844,0.6976,0.4262
0.4854,0.6976,0.4263
0.4864,0.6976,0.4268
0.4874,0.6976,0.427
0.4864,0.6946,0.4272
0.4874,0.6946,0.4274
0.4863,0.6916,0.4276
0.4852,0.6886,0.4277
0.4863,0.6886,0.4277
0.4873,0.6886,0.4278
0.4862,0.6856,0.4279
0.4851,0.6826,0.428
0.4861,0.6826,0.4281
0.485,0.6796,0.4285
0.4861,0.6796,0.4289
0.485,0.6766,0.429
0.4839,0.6737,0.4293
0.4849,0.6737,0.4295
0.4838,0.6707,0.4296
0.4827,0.6677,0.4299
0.4816,0.6647,0.4299
0.4804,0.6617,0.4301
0.4793,0.6587,0.4315
0.4803,0.6587,0.4318
0.4792,0.6557,0.432
0.4781,0.6527,0.4325
0.4791,0.6527,0.4329
0.4802,0.6527,0.4329
0.479,0.6497,0.433
0.4801,0.6497,0.4336
0.4812,0.6497,0.4337
0.4822,0.6497,0.4338
0.4833,0.6497,0.4346
0.4844,0.6497,0.4347
0.4855,0.6497,0.4347
0.4843,0.6467,0.4355
0.4854,0.6467,0.4357
0.4865,0.6467,0.4359
0.4876,0.6467,0.436
0.4887,0.6467,0.4363
0.4898,0.6467,0.4366
0.4909,0.6467,0.4374
0.492,0.6467,0.4378
0.4932,0.6467,0.438
0.492,0.6437,0.4384
0.4931,0.6437,0.4385
0.492,0.6407,0.4385
0.4908,0.6377,0.4387
0.4896,0.6347,0.4395
0.4884,0.6317,0.4395
0.4896,0.6317,0.4407
0.4907,0.6317,0.4413
0.4895,0.6287,0.4414
0.4907,0.6287,0.4415
0.4895,0.6257,0.4416
