bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.10-0.40,0.1,0.4,163,60,56.840658,0.3487,0.3681,0.2979,0.4444,0.1465,True
0.40-0.50,0.4,0.5,362,172,163.265432,0.451,0.4751,0.4242,0.5266,0.1023,True
0.50-0.60,0.5,0.6,184,90,98.88585,0.5374,0.4891,0.4179,0.5608,0.143,True
0.60-0.70,0.6,0.7,25,12,15.790579,0.6316,0.48,0.3003,0.665,0.3647,True
