fpr,tpr,threshold
0.5425,0.6198,0.4421
0.5425,0.6257,0.4417
0.545,0.6257,0.4416
0.545,0.6287,0.4415
0.5475,0.6287,0.4414
0.5475,0.6317,0.4413
0.5525,0.6317,0.4395
0.5525,0.6437,0.4385
0.555,0.6437,0.4384
0.555,0.6467,0.438
0.575,0.6467,0.4355
0.575,0.6497,0.4347
0.59,0.6497,0.433
0.59,0.6527,0.4329
0.595,0.6527,0.4325
0.595,0.6587,0.4318
0.5975,0.6587,0.4315
0.5975,0.6737,0.4295
0.6,0.6737,0.4293
0.6,0.6796,0.4289
0.6025,0.6796,0.4285
0.6025,0.6826,0.4281
0.605,0.6826,0.428
0.605,0.6886,0.4278
0.61,0.6886,0.4277
0.61,0.6946,0.4274
0.6125,0.6946,0.4272
0.6125,0.6976,0.427
0.62,0.6976,0.4262
0.62,0.7006,0.4262
0.6275,0.7006,0.4251
0.6275,0.7036,0.425
0.63,0.7036,0.4247
0.63,0.7126,0.4239
0.635,0.7126,0.4233
0.635,0.7216,0.4222
0.64,0.7216,0.4219
0.64,0.7246,0.4218
0.6425,0.7246,0.4217
0.6425,0.7305,0.4214
0.65,0.7305,0.4198
0.65,0.7365,0.4197
0.6625,0.7365,0.4187
0.6625,0.7425,0.4178
0.665,0.7425,0.4177
0.665,0.7515,0.4175
0.6675,0.7515,0.4172
0.6675,0.7605,0.4167
0.69,0.7605,0.4145
0.69,0.7635,0.4142
0.6975,0.7635,0.4135
0.6975,0.7754,0.4124
0.7,0.7754,0.4122
0.7,0.7784,0.4112
0.7025,0.7784,0.411
0.7025,0.7814,0.4107
0.705,0.7814,0.4106
0.705,0.7964,0.4081
0.7125,0.7964,0.4072
0.7125,0.8024,0.4071
0.7225,0.8024,0.4059
0.7225,0.8054,0.4056
0.7275,0.8054,0.4052
0.7275,0.8144,0.4035
0.735,0.8144,0.4029
0.735,0.8174,0.4021
0.7425,0.8174,0.4013
0.7425,0.8234,0.3996
0.76,0.8234,0.396
0.76,0.8323,0.3947
0.7625,0.8323,0.3942
0.7625,0.8353,0.394
0.77,0.8353,0.3934
0.77,0.8383,0.3934
0.78,0.8383,0.3907
0.78,0.8413,0.3907
0.7825,0.8413,0.3903
0.7825,0.8443,0.3903
0.79,0.8443,0.388
0.79,0.8473,0.388
