bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.10-0.20,0.1,0.2,1,0,0.199605,0.1996,0.0,0.0,0.7935,0.7935,False
0.20-0.30,0.2,0.3,20,7,5.585259,0.2793,0.35,0.1812,0.5671,0.386,False
0.30-0.40,0.3,0.4,142,53,51.055794,0.3595,0.3732,0.298,0.4551,0.1571,True
0.40-0.50,0.4,0.5,362,172,163.265432,0.451,0.4751,0.4242,0.5266,0.1023,True
0.50-0.60,0.5,0.6,184,90,98.88585,0.5374,0.4891,0.4179,0.5608,0.143,True
0.60-0.70,0.6,0.7,25,12,15.790579,0.6316,0.48,0.3003,0.665,0.3647,True
