precision,recall,threshold
0.4615,0.752,0.4025
0.4623,0.752,0.4026
0.4631,0.752,0.4029
0.4639,0.752,0.4031
0.463,0.7493,0.4032
0.4621,0.7466,0.4032
0.4611,0.7439,0.4033
0.4602,0.7411,0.4037
0.4593,0.7384,0.404
0.4584,0.7357,0.404
0.4592,0.7357,0.4042
0.46,0.7357,0.4043
0.4608,0.7357,0.4045
0.4598,0.733,0.4047
0.4589,0.7302,0.4056
0.458,0.7275,0.4057
0.457,0.7248,0.4058
0.4578,0.7248,0.4061
0.4586,0.7248,0.4063
0.4594,0.7248,0.4063
0.4602,0.7248,0.4067
0.461,0.7248,0.407
0.4601,0.7221,0.4074
0.4591,0.7193,0.4075
0.4582,0.7166,0.4076
0.459,0.7166,0.4077
0.458,0.7139,0.4079
0.4588,0.7139,0.408
0.4596,0.7139,0.408
0.4587,0.7112,0.4082
0.4595,0.7112,0.4086
0.4586,0.7084,0.4086
0.4594,0.7084,0.41
0.4602,0.7084,0.4101
0.4592,0.7057,0.4101
0.46,0.7057,0.4102
0.4609,0.7057,0.4102
0.4599,0.703,0.4105
0.4607,0.703,0.4109
0.4615,0.703,0.4109
0.4624,0.703,0.4112
0.4614,0.7003,0.4113
0.4604,0.6975,0.4114
0.4613,0.6975,0.4114
0.4621,0.6975,0.4115
0.4629,0.6975,0.4115
0.462,0.6948,0.4116
0.4628,0.6948,0.4117
0.4618,0.6921,0.4119
0.4608,0.6894,0.4119
0.4599,0.6866,0.4121
0.4589,0.6839,0.4122
0.4597,0.6839,0.4123
0.4606,0.6839,0.4126
0.4614,0.6839,0.4127
0.4604,0.6812,0.4129
0.4594,0.6785,0.4131
0.4584,0.6757,0.4138
0.4593,0.6757,0.4139
0.4601,0.6757,0.414
0.4591,0.673,0.414
0.4581,0.6703,0.4141
0.4571,0.6676,0.4143
0.4579,0.6676,0.4144
0.4569,0.6649,0.4145
0.4578,0.6649,0.4146
0.4586,0.6649,0.4147
0.4595,0.6649,0.4148
0.4604,0.6649,0.4151
0.4612,0.6649,0.4152
0.4602,0.6621,0.4155
0.4611,0.6621,0.4157
0.462,0.6621,0.4158
0.461,0.6594,0.416
0.4618,0.6594,0.4167
0.4608,0.6567,0.4167
0.4598,0.654,0.417
0.4607,0.654,0.417
0.4596,0.6512,0.417
0.4605,0.6512,0.4171
0.4595,0.6485,0.4172
0.4603,0.6485,0.4175
0.4612,0.6485,0.4177
0.4621,0.6485,0.4177
0.4611,0.6458,0.4178
0.46,0.6431,0.4178
0.459,0.6403,0.418
0.4599,0.6403,0.4181
0.4608,0.6403,0.4181
0.4617,0.6403,0.4183
0.4606,0.6376,0.4183
0.4615,0.6376,0.4186
0.4605,0.6349,0.4187
0.4614,0.6349,0.419
0.4623,0.6349,0.4192
0.4632,0.6349,0.4194
0.4622,0.6322,0.42
0.4631,0.6322,0.4207
0.462,0.6294,0.4208
0.4609,0.6267,0.4211
0.4598,0.624,0.4212
0.4608,0.624,0.4212
0.4617,0.624,0.4214
0.4626,0.624,0.4216
0.4636,0.624,0.4217
0.4625,0.6213,0.4218
0.4614,0.6185,0.422
0.4603,0.6158,0.4224
0.4612,0.6158,0.4229
0.4622,0.6158,0.4229
0.4611,0.6131,0.4229
0.46,0.6104,0.423
0.4588,0.6076,0.4233
0.4577,0.6049,0.4233
0.4566,0.6022,0.4235
0.4576,0.6022,0.4238
0.4585,0.6022,0.4239
0.4595,0.6022,0.4239
0.4604,0.6022,0.424
0.4593,0.5995,0.4247
0.4603,0.5995,0.4247
0.4591,0.5967,0.4247
0.4601,0.5967,0.425
0.4611,0.5967,0.4253
0.4599,0.594,0.4253
0.4588,0.5913,0.4254
0.4597,0.5913,0.4263
0.4586,0.5886,0.4266
0.4596,0.5886,0.4266
0.4584,0.5858,0.4267
0.4594,0.5858,0.4267
0.4582,0.5831,0.427
0.4592,0.5831,0.4271
0.4581,0.5804,0.4273
0.4591,0.5804,0.4273
0.4579,0.5777,0.4273
0.4567,0.5749,0.4274
0.4555,0.5722,0.4274
0.4565,0.5722,0.4275
0.4575,0.5722,0.4277
0.4563,0.5695,0.4278
0.4551,0.5668,0.4279
0.4561,0.5668,0.4281
0.4549,0.564,0.4282
0.4559,0.564,0.4282
0.457,0.564,0.4283
0.4558,0.5613,0.4283
0.4545,0.5586,0.4284
0.4556,0.5586,0.4285
0.4543,0.5559,0.4287
0.4554,0.5559,0.4288
0.4541,0.5531,0.429
0.4552,0.5531,0.4291
0.4539,0.5504,0.4292
0.455,0.5504,0.4293
0.4537,0.5477,0.4296
0.4548,0.5477,0.4296
0.4558,0.5477,0.4297
0.4568,0.5477,0.4298
0.4556,0.545,0.4299
0.4566,0.545,0.4301
0.4554,0.5422,0.4308
0.4541,0.5395,0.4308
0.4529,0.5368,0.4309
0.4539,0.5368,0.4309
0.455,0.5368,0.431
0.4537,0.5341,0.4312
0.4524,0.5313,0.4314
0.4535,0.5313,0.4315
0.4545,0.5313,0.4316
0.4556,0.5313,0.4318
0.4567,0.5313,0.4318
0.4554,0.5286,0.4318
0.4541,0.5259,0.4321
0.4528,0.5232,0.4324
0.4539,0.5232,0.4324
0.455,0.5232,0.4329
0.4561,0.5232,0.4331
0.4571,0.5232,0.4333
0.4582,0.5232,0.4335
0.4569,0.5204,0.4336
0.4556,0.5177,0.4336
0.4567,0.5177,0.4339
0.4578,0.5177,0.4339
0.4589,0.5177,0.4339
0.46,0.5177,0.4342
0.4612,0.5177,0.4345
0.4623,0.5177,0.4345
0.4634,0.5177,0.4345
0.4645,0.5177,0.4347
0.4657,0.5177,0.4349
0.4644,0.515,0.435
0.4631,0.5123,0.4352
0.4642,0.5123,0.4352
0.4653,0.5123,0.4355
0.4665,0.5123,0.4356
0.4652,0.5095,0.4357
0.4638,0.5068,0.4357
0.4625,0.5041,0.4358
0.4637,0.5041,0.4358
0.4623,0.5014,0.4359
0.461,0.4986,0.4361
0.4596,0.4959,0.4361
0.4582,0.4932,0.4362
0.4594,0.4932,0.4365
0.458,0.4905,0.4367
0.4592,0.4905,0.4368
0.4578,0.4877,0.4368
0.4564,0.485,0.4369
0.455,0.4823,0.4371
0.4562,0.4823,0.4371
0.4548,0.4796,0.4371
0.456,0.4796,0.4372
0.4571,0.4796,0.4378
0.4583,0.4796,0.4378
0.4595,0.4796,0.4378
0.4581,0.4768,0.4378
0.4567,0.4741,0.4379
0.4579,0.4741,0.4385
0.4591,0.4741,0.439
0.4577,0.4714,0.439
0.4562,0.4687,0.4396
0.4548,0.4659,0.4396
0.4533,0.4632,0.4398
0.4519,0.4605,0.4398
0.4504,0.4578,0.4399
0.4489,0.455,0.44
0.4474,0.4523,0.4402
0.4459,0.4496,0.4402
0.4472,0.4496,0.4403
0.4484,0.4496,0.4403
0.4496,0.4496,0.4404
0.4481,0.4469,0.4404
0.4466,0.4441,0.4406
0.4478,0.4441,0.4411
0.449,0.4441,0.4412
0.4475,0.4414,0.4416
0.4488,0.4414,0.4419
0.45,0.4414,0.4421
0.4513,0.4414,0.4421
0.4525,0.4414,0.4422
0.4538,0.4414,0.4427
0.4522,0.4387,0.4429
0.4535,0.4387,0.4431
0.452,0.436,0.4432
0.4533,0.436,0.4432
0.4517,0.4332,0.4433
0.453,0.4332,0.4434
0.4543,0.4332,0.4437
0.4527,0.4305,0.4438
0.454,0.4305,0.4439
0.4553,0.4305,0.4441
0.4538,0.4278,0.4443
0.4551,0.4278,0.4445
0.4535,0.4251,0.4446
0.4519,0.4223,0.4447
0.4532,0.4223,0.4447
0.4516,0.4196,0.4447
0.45,0.4169,0.4449
0.4484,0.4142,0.4449
0.4497,0.4142,0.445
0.451,0.4142,0.4452
0.4524,0.4142,0.4454
0.4537,0.4142,0.4455
0.4521,0.4114,0.4458
0.4535,0.4114,0.4459
0.4548,0.4114,0.4462
0.4562,0.4114,0.4462
0.4545,0.4087,0.4463
0.4529,0.406,0.4463
0.4543,0.406,0.4463
0.4526,0.4033,0.4464
0.4509,0.4005,0.4464
0.4492,0.3978,0.4466
0.4506,0.3978,0.4466
0.4489,0.3951,0.4466
0.4472,0.3924,0.4466
0.4455,0.3896,0.447
0.4437,0.3869,0.447
0.4451,0.3869,0.4472
0.4434,0.3842,0.4472
0.4448,0.3842,0.4472
0.4462,0.3842,0.4474
0.4444,0.3815,0.4475
0.4427,0.3787,0.4478
0.4441,0.3787,0.4479
0.4455,0.3787,0.448
0.4437,0.376,0.4482
0.4419,0.3733,0.4487
0.4434,0.3733,0.4498
0.4448,0.3733,0.4501
0.4463,0.3733,0.4502
0.4477,0.3733,0.4502
0.4459,0.3706,0.4503
0.4441,0.3678,0.4503
0.4455,0.3678,0.4505
0.4437,0.3651,0.4509
0.4419,0.3624,0.4511
0.44,0.3597,0.4516
0.4381,0.3569,0.4516
0.4396,0.3569,0.4517
0.4377,0.3542,0.4521
0.4392,0.3542,0.4525
0.4373,0.3515,0.4526
0.4388,0.3515,0.4526
0.4369,0.3488,0.4527
0.4349,0.346,0.4528
0.433,0.3433,0.4529
0.4345,0.3433,0.453
0.436,0.3433,0.453
0.434,0.3406,0.4533
0.4355,0.3406,0.4534
0.4336,0.3379,0.4534
0.4316,0.3351,0.4535
0.4331,0.3351,0.4535
0.4346,0.3351,0.4536
0.4326,0.3324,0.4537
0.4342,0.3324,0.4538
0.4321,0.3297,0.4541
0.4337,0.3297,0.4541
0.4353,0.3297,0.4543
0.4332,0.327,0.4544
0.4348,0.327,0.4544
0.4327,0.3243,0.4546
0.4307,0.3215,0.4546
0.4286,0.3188,0.4548
0.4265,0.3161,0.4548
0.428,0.3161,0.4552
0.4259,0.3134,0.4552
0.4275,0.3134,0.4552
0.4291,0.3134,0.4554
0.427,0.3106,0.4557
0.4286,0.3106,0.4559
0.4302,0.3106,0.4562
0.428,0.3079,0.4563
0.4297,0.3079,0.4564
0.4313,0.3079,0.4566
0.433,0.3079,0.4566
0.4308,0.3052,0.4567
0.4286,0.3025,0.4567
0.4264,0.2997,0.4568
0.4241,0.297,0.4571
0.4258,0.297,0.4574
0.4275,0.297,0.4584
0.4252,0.2943,0.4587
0.4269,0.2943,0.4587
0.4286,0.2943,0.459
0.4263,0.2916,0.4591
0.428,0.2916,0.4596
0.4297,0.2916,0.4601
0.4274,0.2888,0.4602
0.4251,0.2861,0.4604
0.4268,0.2861,0.4605
0.4286,0.2861,0.4607
0.4262,0.2834,0.4608
0.428,0.2834,0.4608
0.4298,0.2834,0.4609
0.4315,0.2834,0.4611
0.4292,0.2807,0.4613
0.4268,0.2779,0.4615
0.4286,0.2779,0.4619
0.4262,0.2752,0.462
0.428,0.2752,0.4624
0.4255,0.2725,0.4624
0.4274,0.2725,0.4626
0.4249,0.2698,0.4639
0.4267,0.2698,0.4644
0.4242,0.267,0.4647
0.4217,0.2643,0.4649
0.4236,0.2643,0.465
0.4254,0.2643,0.465
0.4273,0.2643,0.4651
0.4248,0.2616,0.4653
0.4267,0.2616,0.4657
0.4286,0.2616,0.466
0.4305,0.2616,0.4664
0.4324,0.2616,0.4664
0.4344,0.2616,0.4665
0.4364,0.2616,0.4666
0.4384,0.2616,0.4668
0.4358,0.2589,0.4669
0.4378,0.2589,0.4672
0.4398,0.2589,0.4675
0.4419,0.2589,0.4682
0.4439,0.2589,0.4683
0.4413,0.2561,0.4684
0.4434,0.2561,0.4686
0.4408,0.2534,0.4687
0.4429,0.2534,0.4694
0.4402,0.2507,0.4694
0.4423,0.2507,0.4702
0.4396,0.248,0.4712
0.4369,0.2452,0.4714
0.439,0.2452,0.4717
0.4363,0.2425,0.4724
0.4384,0.2425,0.4725
0.4406,0.2425,0.4728
0.4428,0.2425,0.4731
0.44,0.2398,0.4733
0.4422,0.2398,0.4733
0.4444,0.2398,0.4734
0.4467,0.2398,0.4737
0.449,0.2398,0.4737
0.4513,0.2398,0.4739
0.4485,0.2371,0.4741
0.4508,0.2371,0.4744
0.4479,0.2343,0.4746
0.445,0.2316,0.4746
0.4474,0.2316,0.4746
0.4497,0.2316,0.475
0.4521,0.2316,0.4751
0.4492,0.2289,0.4752
0.4516,0.2289,0.4753
0.4541,0.2289,0.4756
0.4565,0.2289,0.4757
0.459,0.2289,0.4757
0.4615,0.2289,0.4759
0.4641,0.2289,0.4759
0.4667,0.2289,0.476
0.4637,0.2262,0.4766
0.4663,0.2262,0.4769
0.4633,0.2234,0.477
0.4602,0.2207,0.477
0.4629,0.2207,0.477
0.4598,0.218,0.4773
0.4566,0.2153,0.4773
0.4535,0.2125,0.4773
0.4561,0.2125,0.4778
0.4588,0.2125,0.478
0.4615,0.2125,0.4785
0.4583,0.2098,0.4788
0.4551,0.2071,0.4793
0.4518,0.2044,0.4795
0.4545,0.2044,0.4796
0.4573,0.2044,0.4802
0.4601,0.2044,0.4803
0.463,0.2044,0.4805
0.4596,0.2016,0.481
0.4625,0.2016,0.4814
0.4591,0.1989,0.4815
0.4557,0.1962,0.4817
0.4522,0.1935,0.482
0.4487,0.1907,0.4825
0.4452,0.188,0.4829
0.4416,0.1853,0.4836
0.4379,0.1826,0.4836
0.4408,0.1826,0.4838
0.4437,0.1826,0.484
0.4467,0.1826,0.4849
0.443,0.1798,0.485
0.4392,0.1771,0.4853
0.4354,0.1744,0.4855
0.4315,0.1717,0.4858
0.4276,0.1689,0.4863
0.4306,0.1689,0.4868
0.4336,0.1689,0.4871
0.4296,0.1662,0.4871
0.4326,0.1662,0.4875
0.4357,0.1662,0.4876
0.4388,0.1662,0.4879
0.442,0.1662,0.488
0.4453,0.1662,0.4883
0.4485,0.1662,0.4883
0.4519,0.1662,0.4885
0.4478,0.1635,0.489
0.4511,0.1635,0.4891
0.447,0.1608,0.4893
0.4504,0.1608,0.4894
0.4462,0.158,0.4904
0.4419,0.1553,0.4908
0.4375,0.1526,0.4908
0.4409,0.1526,0.4918
0.4365,0.1499,0.4919
0.432,0.1471,0.492
0.4355,0.1471,0.4922
0.439,0.1471,0.4926
0.4344,0.1444,0.4926
0.438,0.1444,0.4926
0.4333,0.1417,0.4938
0.4286,0.139,0.4942
0.4322,0.139,0.4942
0.4359,0.139,0.4942
0.4397,0.139,0.4943
0.4435,0.139,0.4943
0.4474,0.139,0.4946
0.4425,0.1362,0.4947
0.4375,0.1335,0.4947
0.4414,0.1335,0.4948
0.4364,0.1308,0.4949
0.4312,0.1281,0.4956
0.4259,0.1253,0.496
0.4299,0.1253,0.4963
0.4245,0.1226,0.4964
0.4286,0.1226,0.4969
0.4327,0.1226,0.497
0.4272,0.1199,0.497
0.4216,0.1172,0.4982
0.4257,0.1172,0.4992
0.43,0.1172,0.4993
0.4242,0.1144,0.4997
0.4286,0.1144,0.4998
0.4227,0.1117,0.5002
0.4167,0.109,0.5004
0.4211,0.109,0.5005
0.4255,0.109,0.5006
0.4301,0.109,0.5008
0.4239,0.1063,0.5012
0.4176,0.1035,0.5015
0.4222,0.1035,0.5016
0.4157,0.1008,0.5018
0.4205,0.1008,0.5018
0.4253,0.1008,0.5022
0.4186,0.0981,0.5031
0.4118,0.0954,0.5034
0.4167,0.0954,0.5035
0.4217,0.0954,0.5036
0.4268,0.0954,0.5038
0.4198,0.0926,0.5054
0.425,0.0926,0.5062
0.4304,0.0926,0.5064
0.4231,0.0899,0.5065
0.4286,0.0899,0.507
0.4342,0.0899,0.5071
0.4267,0.0872,0.5076
0.4324,0.0872,0.5077
0.4384,0.0872,0.5077
0.4444,0.0872,0.5083
0.4507,0.0872,0.5092
0.4571,0.0872,0.5095
0.4493,0.0845,0.5096
0.4559,0.0845,0.5098
0.4478,0.0817,0.5101
0.4545,0.0817,0.5102
0.4615,0.0817,0.5102
0.4688,0.0817,0.5103
0.4762,0.0817,0.5107
0.4839,0.0817,0.511
0.4754,0.079,0.5116
0.4833,0.079,0.5126
0.4915,0.079,0.513
0.5,0.079,0.5134
0.4912,0.0763,0.5135
0.5,0.0763,0.5137
0.4909,0.0736,0.5151
0.4815,0.0708,0.5165
0.4906,0.0708,0.5167
0.4808,0.0681,0.5182
0.4706,0.0654,0.5183
0.46,0.0627,0.519
0.4694,0.0627,0.5195
0.4792,0.0627,0.5206
0.4681,0.0599,0.5209
0.4565,0.0572,0.521
0.4444,0.0545,0.521
0.4318,0.0518,0.5214
0.4419,0.0518,0.5216
0.4524,0.0518,0.5217
0.4634,0.0518,0.5218
0.45,0.049,0.5221
0.4359,0.0463,0.5233
0.4211,0.0436,0.5237
0.4324,0.0436,0.5242
0.4444,0.0436,0.5252
0.4571,0.0436,0.5256
0.4706,0.0436,0.5281
0.4848,0.0436,0.5282
0.4688,0.0409,0.5297
0.4516,0.0381,0.5307
0.4667,0.0381,0.531
0.4828,0.0381,0.5311
0.5,0.0381,0.5315
0.4815,0.0354,0.534
0.4615,0.0327,0.5347
0.48,0.0327,0.5347
0.4583,0.03,0.5352
0.4783,0.03,0.5379
0.5,0.03,0.5389
0.5238,0.03,0.5392
0.5,0.0272,0.5422
0.5263,0.0272,0.5432
0.5556,0.0272,0.5437
0.5294,0.0245,0.5491
0.5,0.0218,0.55
0.5333,0.0218,0.5509
0.5,0.0191,0.5514
0.5385,0.0191,0.5531
0.5833,0.0191,0.5537
0.5455,0.0163,0.5559
0.5,0.0136,0.5608
0.4444,0.0109,0.5766
0.5,0.0109,0.5808
0.4286,0.0082,0.5833
0.3333,0.0054,0.5876
0.2,0.0027,0.5888
0.0,0.0,0.5905
0.0,0.0,0.595
0.0,0.0,0.5954
0.0,0.0,0.6235
