feature,verdict,permutation_logloss_gain,lofo_logloss_delta,stability,target_correlation,max_redundancy,mean_abs_shap,evidence
market_vig,INVESTIGATE,-4.1363543493636946e-05,0.00033153717569039953,0.25,-0.003155114913279682,0.3201393216356609,0.0006071285721287124,permutation_logloss_gain=-0.000041; LOFO_logloss_delta=+0.000332; positive_fold_fraction=0.25; target_corr=-0.0032; max_redundancy=0.3201
away_hits_10g,INVESTIGATE,-4.169683648067025e-05,0.00019570825622375332,0.5,-0.006760858106625827,0.7409639556143851,0.00040648181246635574,permutation_logloss_gain=-0.000042; LOFO_logloss_delta=+0.000196; positive_fold_fraction=0.50; target_corr=-0.0068; max_redundancy=0.7410
away_hits_30g,INVESTIGATE,-4.615798439125407e-05,8.541138805362447e-05,0.25,-0.01908165388534785,0.6783702430453378,0.0006054872618383101,permutation_logloss_gain=-0.000046; LOFO_logloss_delta=+0.000085; positive_fold_fraction=0.25; target_corr=-0.0191; max_redundancy=0.6784
away_runs_allowed_5g,INVESTIGATE,-4.7808822232884664e-05,-7.848928014117518e-05,0.5,0.000582745999431134,0.7493520686962117,0.0008234623815463971,permutation_logloss_gain=-0.000048; LOFO_logloss_delta=-0.000078; positive_fold_fraction=0.50; target_corr=+0.0006; max_redundancy=0.7494
home_runs_5g,INVESTIGATE,-4.917638870007475e-05,7.468125744578002e-05,0.0,-0.006663712084293412,0.7491056818569575,0.00029108813143956545,permutation_logloss_gain=-0.000049; LOFO_logloss_delta=+0.000075; positive_fold_fraction=0.00; target_corr=-0.0067; max_redundancy=0.7491
away_walks_30g,INVESTIGATE,-5.841255219040294e-05,-0.00011942823375818423,0.5,-0.004958780902162764,0.7064698115692876,0.0005251748327771519,permutation_logloss_gain=-0.000058; LOFO_logloss_delta=-0.000119; positive_fold_fraction=0.50; target_corr=-0.0050; max_redundancy=0.7065
home_strikeouts_5g,INVESTIGATE,-6.0144039171872166e-05,0.0002683092614939042,0.0,-0.00021380273255134686,0.8004927604737733,0.0003441943400301073,permutation_logloss_gain=-0.000060; LOFO_logloss_delta=+0.000268; positive_fold_fraction=0.00; target_corr=-0.0002; max_redundancy=0.8005
away_runs_allowed_30g,INVESTIGATE,-6.188277488478056e-05,0.00023778447235792144,0.25,-0.008574087472182083,0.6908636808080285,0.0006269860159266372,permutation_logloss_gain=-0.000062; LOFO_logloss_delta=+0.000238; positive_fold_fraction=0.25; target_corr=-0.0086; max_redundancy=0.6909
away_moneyline_price_american,INVESTIGATE,-7.414999531230039e-05,0.00015124866998850184,0.25,-0.0066456091293701025,0.9290663467730301,0.000613579869080665,permutation_logloss_gain=-0.000074; LOFO_logloss_delta=+0.000151; positive_fold_fraction=0.25; target_corr=-0.0066; max_redundancy=0.9291
away_moneyline_price_decimal,INVESTIGATE,-8.260959617863624e-05,-2.13399233822964e-05,0.5,-0.002974598639468319,0.9613514617295222,0.0005667110902128161,permutation_logloss_gain=-0.000083; LOFO_logloss_delta=-0.000021; positive_fold_fraction=0.50; target_corr=-0.0030; max_redundancy=0.9614
home_moneyline_price_american,INVESTIGATE,-0.00010708300928756928,0.00029359604992632016,0.0,0.0036346065743504317,0.9282464579208044,0.0004228451251071225,permutation_logloss_gain=-0.000107; LOFO_logloss_delta=+0.000294; positive_fold_fraction=0.00; target_corr=+0.0036; max_redundancy=0.9282
home_win_rate_10g,INVESTIGATE,-0.00010787774032828638,0.00023750350400877918,0.25,-0.02317806581204479,0.768101440057834,0.0018585678229802475,permutation_logloss_gain=-0.000108; LOFO_logloss_delta=+0.000238; positive_fold_fraction=0.25; target_corr=-0.0232; max_redundancy=0.7681
