cluster,kind,feature,value,cohort_value,reference_value,enrichment
0,categorical,home_team,HOU,0.0849194729136164,0.033765032377428304,2.5150123347840916
0,categorical,home_team,NYY,0.07320644216691069,0.034227567067530065,2.138815242768391
0,categorical,home_team,LAD,0.06588579795021962,0.031914893617021274,2.0644216691068817
0,categorical,home_team,CLE,0.06149341142020498,0.03299414122725871,1.8637676003338763
0,categorical,home_team,CHC,0.055636896046852125,0.034227567067530065,1.6254995845039768
0,categorical,home_team,WSH,0.0527086383601757,0.033919210607462225,1.5539464927459072
0,categorical,home_team,BOS,0.0527086383601757,0.033919210607462225,1.5539464927459072
0,categorical,home_team,ATL,0.048316251830161056,0.03330249768732655,1.450829673011225
0,categorical,home_team,MIN,0.048316251830161056,0.03299414122725871,1.4643888288337599
0,categorical,home_team,TB,0.03953147877013177,0.032377428307123035,1.22095795858607
0,categorical,home_team,MIL,0.03806734992679356,0.03361085414739439,1.1325909707577202
0,categorical,home_team,STL,0.03513909224011713,0.032377428307123035,1.0852959631876176
0,categorical,home_team,COL,0.03367496339677892,0.034381745297563986,0.9794431057915159
0,categorical,home_team,ARI,0.032210834553440704,0.032223250077089115,0.9996147029359637
0,categorical,home_team,ATH,0.029282576866764276,0.033919210607462225,0.8633036070810596
0,categorical,home_team,PHI,0.024890190336749635,0.034535923527597906,0.7207043505542773
0,categorical,home_team,NYM,0.024890190336749635,0.032685784767190876,0.7614989364347081
0,categorical,home_team,LAA,0.020497803806734993,0.033765032377428304,0.6070719428789186
0,categorical,home_team,CWS,0.01903367496339678,0.034535923527597906,0.551126856306212
0,categorical,home_team,MIA,0.01903367496339678,0.032531606537156955,0.5850825393961683
0,categorical,home_team,CIN,0.017569546120058566,0.03330249768732655,0.5275744265495363
0,categorical,home_team,SEA,0.016105417276720352,0.03145235892691952,0.5120575316510206
0,categorical,home_team,BAL,0.016105417276720352,0.03361085414739439,0.47917310301288163
0,categorical,home_team,PIT,0.016105417276720352,0.03299414122725871,0.4881296096112533
0,categorical,home_team,TEX,0.016105417276720352,0.034227567067530065,0.47053935340904596
0,categorical,home_team,SF,0.014641288433382138,0.03299414122725871,0.4437541905556848
0,categorical,home_team,SD,0.013177159590043924,0.033765032377428304,0.39026053470787625
0,categorical,home_team,DET,0.01171303074670571,0.03314831945729263,0.3533521740610848
0,categorical,home_team,TOR,0.010248901903367497,0.03314831945729263,0.3091831523034492
0,categorical,home_team,KC,0.008784773060029283,0.03314831945729263,0.26501413054581363
0,categorical,moneyline_role,home_favorite,0.8843338213762811,0.631668208448967,1.3999973554909835
0,categorical,moneyline_role,road_favorite,0.11566617862371889,0.368331791551033,0.31402713878335736
0,categorical,total_level,high_total,0.8389458272327965,0.8499845821769966,0.9870129939111044
0,categorical,total_level,low_total,0.16105417276720352,0.1500154178230034,1.073584136246744
0,categorical,month,9,0.26061493411420206,0.23157570151094664,1.1253984438513414
0,categorical,month,8,0.25329428989751096,0.24267653407338885,1.0437527091964778
0,categorical,month,5,0.13616398243045388,0.12025901942645699,1.1322558846716972
0,categorical,month,7,0.1273792093704246,0.1341350601295097,0.9496339677891655
0,categorical,month,6,0.10980966325036604,0.11748381128584644,0.9346791021546904
0,categorical,month,4,0.10102489019033675,0.13798951588035768,0.7321200422061723
0,categorical,month,3,0.010248901903367497,0.01341350601295097,0.76407330741657
0,categorical,month,10,0.0014641288433382138,0.002466851680542707,0.5935212298682284
0,numeric,closing_total,mean,8.785505124450951,8.874961455442492,-0.07883288023718905
0,numeric,home_form_edge,mean,0.20131771595900436,-0.00673758865248227,0.7715721707297386
0,numeric,run_form_edge,mean,1.9715959004392385,-0.02585568917668824,0.7925990077005178
0,numeric,away_bp_er_14g,mean,26.61911764705882,24.681973848069738,0.22551713883759286
1,categorical,home_team,BAL,0.09832134292565947,0.03361085414739439,2.9252854597056297
1,categorical,home_team,DET,0.07673860911270983,0.03314831945729263,2.315007528860632
1,categorical,home_team,KC,0.05275779376498801,0.03314831945729263,1.5915676760916848
1,categorical,home_team,COL,0.050359712230215826,0.034381745297563986,1.4647223924895956
1,categorical,home_team,LAA,0.045563549160671464,0.033765032377428304,1.349430045005092
1,categorical,home_team,BOS,0.04316546762589928,0.033919210607462225,1.2725964682799216
1,categorical,home_team,MIL,0.03836930455635491,0.03361085414739439,1.1415748135436603
1,categorical,home_team,TEX,0.03836930455635491,0.034227567067530065,1.1210058979843152
1,categorical,home_team,SEA,0.03597122302158273,0.03145235892691952,1.1436732966567922
1,categorical,home_team,CWS,0.03597122302158273,0.034535923527597906,1.0415596094552928
1,categorical,home_team,NYM,0.03357314148681055,0.032685784767190876,1.0271480928464773
1,categorical,home_team,PHI,0.03357314148681055,0.034535923527597906,0.9721223021582733
1,categorical,home_team,WSH,0.03357314148681055,0.033919210607462225,0.9897972531066057
1,categorical,home_team,CIN,0.03357314148681055,0.03330249768732655,1.0081268318678391
1,categorical,home_team,MIA,0.03117505995203837,0.032531606537156955,0.9583006580517576
1,categorical,home_team,PIT,0.03117505995203837,0.03299414122725871,0.9448665366772003
1,categorical,home_team,TOR,0.03117505995203837,0.03314831945729263,0.940471808599632
1,categorical,home_team,MIN,0.02877697841726619,0.03299414122725871,0.8721844953943388
1,categorical,home_team,ARI,0.02877697841726619,0.032223250077089115,0.8930501531788924
1,categorical,home_team,ATL,0.026378896882494004,0.03330249768732655,0.792099653610445
1,categorical,home_team,NYY,0.026378896882494004,0.034227567067530065,0.7706915548642167
1,categorical,home_team,CHC,0.026378896882494004,0.034227567067530065,0.7706915548642167
1,categorical,home_team,SD,0.02158273381294964,0.033765032377428304,0.6392037055287277
1,categorical,home_team,CLE,0.02158273381294964,0.03299414122725871,0.6541383715457542
1,categorical,home_team,ATH,0.02158273381294964,0.033919210607462225,0.6362982341399608
1,categorical,home_team,SF,0.019184652278177457,0.03299414122725871,0.5814563302628925
1,categorical,home_team,HOU,0.011990407673860911,0.033765032377428304,0.3551131697381821
1,categorical,home_team,TB,0.011990407673860911,0.032377428307123035,0.3703323055841041
1,categorical,home_team,STL,0.009592326139088728,0.032377428307123035,0.29626584446728327
1,categorical,home_team,LAD,0.002398081534772182,0.031914893617021274,0.07513988808952837
1,categorical,moneyline_role,road_favorite,0.5611510791366906,0.368331791551033,1.5234934697700189
1,categorical,moneyline_role,home_favorite,0.43884892086330934,0.631668208448967,0.6947459362263667
1,categorical,total_level,high_total,0.8992805755395683,0.8499845821769966,1.0579963382821767
1,categorical,total_level,low_total,0.10071942446043165,0.1500154178230034,0.671393820195642
1,categorical,month,8,0.24940047961630696,0.24267653407338885,1.027707440146993
1,categorical,month,9,0.22302158273381295,0.23157570151094664,0.9630612420848941
1,categorical,month,6,0.1606714628297362,0.11748381128584644,1.3676051284956288
1,categorical,month,7,0.12949640287769784,0.1341350601295097,0.9654180104192508
1,categorical,month,4,0.11750599520383694,0.13798951588035768,0.8515574132872474
1,categorical,month,5,0.10071942446043165,0.12025901942645699,0.8375207526286662
1,categorical,month,3,0.019184652278177457,0.01341350601295097,1.4302489043248159
1,numeric,closing_total,mean,9.167865707434053,8.874961455442492,0.25812019744469394
1,numeric,home_form_edge,mean,-0.25131894484412465,-0.00673758865248227,-0.9070288703727201
1,numeric,run_form_edge,mean,-2.464268585131894,-0.02585568917668824,-0.9675747095677357
1,numeric,away_bp_er_14g,mean,21.330073349633253,24.681973848069738,-0.39021935824804377
