canonical_game_id,game_date,home_team,away_team,closing_total,market_home_probability,market_over_probability,home_win,over,fold,target,model_probability,market_probability,market_disagreement,abs_market_disagreement,total_level,month,moneyline_role,disagreement_direction,disagreement_size,home_form_edge,run_form_edge,away_bp_er_14g,x,large_disagreement,cluster
kaggle_mlb_vegas:2017-07-27:MIL:WSH:0,2017-07-27,WSH,MIL,9.0,0.7261223782284624,0.4675324675324676,True,True,2,1,0.5103560520333669,0.4675324675324676,0.0428235845008992,0.0428235845008992,high_total,7,home_favorite,model_higher_by_3pp,largest,0.4999999999999999,2.2,29.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-07-28:CHC:MIL:0,2017-07-28,MIL,CHC,9.0,0.4417293233082706,0.4675324675324676,True,False,2,0,0.5053470088511071,0.4675324675324676,0.0378145413186394,0.0378145413186394,high_total,7,road_favorite,model_higher_by_3pp,largest,-0.6000000000000001,-3.899999999999999,25.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-07-28:CLE:CWS:0,2017-07-28,CWS,CLE,9.5,0.2993839124446387,0.4891657638136511,False,True,2,1,0.536880227338234,0.4891657638136511,0.0477144635245829,0.0477144635245829,high_total,7,road_favorite,model_higher_by_3pp,largest,-0.7000000000000001,-6.1,14.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-07-28:SF:LAD:0,2017-07-28,LAD,SF,8.5,0.7313237221494101,0.4782608695652174,True,True,2,1,0.5074062041126501,0.4782608695652174,0.0291453345474327,0.0291453345474327,high_total,7,home_favorite,within_3pp,largest,0.3,1.5999999999999996,21.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-07-28:TB:NYY:0,2017-07-28,NYY,TB,9.0,0.6428571428571429,0.5217391304347826,True,False,2,0,0.4890731489153583,0.5217391304347826,-0.0326659815194242,0.0326659815194242,high_total,7,home_favorite,market_higher_by_3pp,largest,0.2999999999999999,1.7999999999999998,17.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-07-29:CIN:MIA:0,2017-07-29,MIA,CIN,9.0,0.5675675675675675,0.5217391304347826,True,True,2,1,0.4941302170017891,0.5217391304347826,-0.0276089134329934,0.0276089134329934,high_total,7,home_favorite,within_3pp,largest,0.3999999999999999,3.1,38.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-07-29:CLE:CWS:0,2017-07-29,CWS,CLE,8.5,0.2618453865336658,0.4804509318389158,False,True,2,1,0.5636665188307616,0.4804509318389158,0.0832155869918457,0.0832155869918457,high_total,7,road_favorite,model_higher_by_3pp,largest,-0.7000000000000001,-7.0,10.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-07-29:HOU:DET:0,2017-07-29,DET,HOU,10.5,0.4814756210583422,0.5108342361863489,True,False,2,0,0.5389550528179681,0.5108342361863489,0.0281208166316191,0.0281208166316191,high_total,7,road_favorite,within_3pp,largest,-0.3,-2.8999999999999995,27.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-07-30:NYM:SEA:0,2017-07-30,SEA,NYM,8.5,0.6804928445702915,0.5108342361863489,True,True,2,1,0.4840208795426473,0.5108342361863489,-0.0268133566437016,0.0268133566437016,high_total,7,home_favorite,within_3pp,largest,-0.0999999999999999,-0.6999999999999993,18.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-07-31:SEA:TEX:0,2017-07-31,TEX,SEA,10.5,0.5,0.4782608695652174,False,False,2,0,0.514489961399383,0.4782608695652174,0.0362290918341655,0.0362290918341655,high_total,7,home_favorite,model_higher_by_3pp,largest,0.0,-1.0999999999999996,16.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-01:DET:NYY:0,2017-08-01,NYY,DET,10.0,0.6215278252196369,0.5217391304347826,False,False,2,0,0.4872934488604932,0.5217391304347826,-0.0344456815742893,0.0344456815742893,high_total,8,home_favorite,market_higher_by_3pp,largest,0.4,2.399999999999999,33.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-01:STL:MIL:0,2017-08-01,MIL,STL,8.5,0.525232987515386,0.4848162769511084,True,False,2,0,0.513241374962529,0.4848162769511084,0.0284250980114205,0.0284250980114205,high_total,8,home_favorite,within_3pp,largest,-0.3,-2.7000000000000006,12.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-02:TB:HOU:0,2017-08-02,HOU,TB,8.0,0.6626906010917333,0.5,False,False,2,0,0.4701295799465645,0.5,-0.0298704200534354,0.0298704200534354,high_total,8,home_favorite,within_3pp,largest,0.0999999999999999,1.0,21.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-03:ATH:SF:0,2017-08-03,SF,ATH,8.5,0.5764909248055314,0.5217391304347826,True,True,2,1,0.4915384681361291,0.5217391304347826,-0.0302006622986534,0.0302006622986534,high_total,8,home_favorite,market_higher_by_3pp,largest,-0.1,0.2000000000000001,18.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-03:NYM:COL:0,2017-08-03,COL,NYM,11.0,0.6297217024951263,0.5217391304347826,True,False,2,0,0.4777183735950727,0.5217391304347826,-0.0440207568397098,0.0440207568397098,high_total,8,home_favorite,market_higher_by_3pp,largest,0.0999999999999999,0.7999999999999998,15.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-03:NYY:CLE:0,2017-08-03,CLE,NYY,7.5,0.6413833759088229,0.5217391304347826,True,False,2,0,0.4851676090054999,0.5217391304347826,-0.0365715214292826,0.0365715214292826,low_total,8,home_favorite,market_higher_by_3pp,largest,0.0,0.7000000000000002,13.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-05:ATH:LAA:0,2017-08-05,LAA,ATH,9.0,0.6215278252196369,0.5195490681610844,False,False,2,0,0.4796878613083801,0.5195490681610844,-0.0398612068527042,0.0398612068527042,high_total,8,home_favorite,market_higher_by_3pp,largest,0.1999999999999999,2.5,24.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-05:CWS:BOS:0,2017-08-05,BOS,CWS,9.5,0.7508493771234428,0.4654419639179504,True,False,2,0,0.5204027623135393,0.4654419639179504,0.0549607983955889,0.0549607983955889,high_total,8,home_favorite,model_higher_by_3pp,largest,0.3999999999999999,3.2,26.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-05:TOR:HOU:0,2017-08-05,HOU,TOR,9.0,0.6172970557014359,0.5195490681610844,False,False,2,0,0.4757157540499228,0.5195490681610844,-0.0438333141111615,0.0438333141111615,high_total,8,home_favorite,market_higher_by_3pp,largest,-0.1999999999999999,-0.9000000000000004,35.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-06:WSH:CHC:0,2017-08-06,CHC,WSH,9.0,0.6428571428571429,0.5324675324675325,False,True,2,1,0.4989034501758405,0.5324675324675325,-0.033564082291692,0.033564082291692,high_total,8,home_favorite,market_higher_by_3pp,largest,0.0999999999999999,1.4,23.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-07:BAL:LAA:0,2017-08-07,LAA,BAL,9.0,0.590044398353696,0.5086640097036909,False,False,2,0,0.4744899439010052,0.5086640097036909,-0.0341740658026856,0.0341740658026856,high_total,8,home_favorite,market_higher_by_3pp,largest,-0.0999999999999999,-0.7000000000000006,14.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-08:BAL:LAA:0,2017-08-08,LAA,BAL,9.0,0.5401967050867028,0.5324675324675325,True,False,2,0,0.5021530897261597,0.5324675324675325,-0.0303144427413728,0.0303144427413728,high_total,8,home_favorite,market_higher_by_3pp,largest,-0.2,-2.0,14.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-08:NYY:TOR:0,2017-08-08,TOR,NYY,9.0,0.5729649936735555,0.5324675324675325,True,False,2,0,0.5056183717022198,0.5324675324675325,-0.0268491607653127,0.0268491607653127,high_total,8,home_favorite,within_3pp,largest,0.0,-0.7000000000000002,12.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-09:CHC:SF:0,2017-08-09,SF,CHC,7.0,0.5422592774235736,0.5324675324675325,True,False,2,0,0.5001006037773645,0.5324675324675325,-0.0323669286901679,0.0323669286901679,low_total,8,home_favorite,market_higher_by_3pp,largest,0.0,0.5,16.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-09:NYY:TOR:0,2017-08-09,TOR,NYY,9.0,0.3548872180451127,0.4891657638136511,False,True,2,1,0.5175766640834804,0.4891657638136511,0.0284109002698292,0.0284109002698292,high_total,8,road_favorite,within_3pp,largest,0.0999999999999999,-0.1999999999999997,12.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-10:NYY:TOR:0,2017-08-10,TOR,NYY,9.0,0.4183253491667228,0.4675324675324676,True,False,2,0,0.4948160906558624,0.4675324675324676,0.0272836231233948,0.0272836231233948,high_total,8,road_favorite,within_3pp,largest,0.0999999999999999,-0.8000000000000003,13.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-10:SD:CIN:0,2017-08-10,CIN,SD,8.5,0.590044398353696,0.5324675324675325,True,True,2,1,0.5017657871212308,0.5324675324675325,-0.0307017453463017,0.0307017453463017,high_total,8,home_favorite,market_higher_by_3pp,largest,0.1999999999999999,2.0,24.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-11:LAA:SEA:0,2017-08-11,SEA,LAA,10.0,0.5675675675675675,0.5108342361863489,False,True,2,1,0.4839874466961081,0.5108342361863489,-0.0268467894902407,0.0268467894902407,high_total,8,home_favorite,within_3pp,largest,-0.0999999999999999,-1.9999999999999996,23.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-13:ATL:STL:0,2017-08-13,STL,ATL,8.5,0.638854296388543,0.5,False,True,2,1,0.4705278867257536,0.5,-0.0294721132742464,0.0294721132742464,high_total,8,home_favorite,within_3pp,largest,0.5,4.0,15.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-13:BAL:ATH:0,2017-08-13,ATH,BAL,9.5,0.4907015667859966,0.4782608695652174,True,True,2,1,0.506380884021763,0.4782608695652174,0.0281200144565455,0.0281200144565455,high_total,8,road_favorite,within_3pp,largest,-0.0999999999999999,-3.1999999999999997,16.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-13:SF:WSH:1,2017-08-13,WSH,SF,9.0,0.5850622406639004,0.5108342361863489,False,False,2,0,0.4816279308038976,0.5108342361863489,-0.0292063053824512,0.0292063053824512,high_total,8,home_favorite,within_3pp,largest,0.0,-0.9000000000000004,13.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-13:SF:WSH:2,2017-08-13,WSH,SF,7.5,0.7147147147147147,0.5217391304347826,True,True,2,1,0.4936282166581976,0.5217391304347826,-0.0281109137765849,0.0281109137765849,low_total,8,home_favorite,within_3pp,largest,0.0,-0.6000000000000001,13.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-14:SF:MIA:0,2017-08-14,MIA,SF,9.0,0.6012269938650306,0.5217391304347826,True,True,2,1,0.488136813350522,0.5217391304347826,-0.0336023170842605,0.0336023170842605,high_total,8,home_favorite,market_higher_by_3pp,largest,-0.0999999999999999,-1.5999999999999996,17.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-15:ATL:COL:0,2017-08-15,COL,ATL,11.0,0.6362901596282077,0.5108342361863489,False,False,2,0,0.4782439510074162,0.5108342361863489,-0.0325902851789327,0.0325902851789327,high_total,8,home_favorite,market_higher_by_3pp,largest,0.2,0.6000000000000001,15.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-15:CLE:MIN:0,2017-08-15,MIN,CLE,9.5,0.4034916946651176,0.5324675324675325,False,False,2,0,0.4915251120954524,0.5324675324675325,-0.0409424203720801,0.0409424203720801,high_total,8,road_favorite,market_higher_by_3pp,largest,0.2,1.6,21.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-15:SF:MIA:0,2017-08-15,MIA,SF,7.5,0.5092984332140034,0.5324675324675325,False,True,2,1,0.4992904949785243,0.5324675324675325,-0.0331770374890081,0.0331770374890081,low_total,8,home_favorite,market_higher_by_3pp,largest,0.0999999999999999,0.5,15.0,0.02640383781041691,True,0
kaggle_mlb_vegas:2017-08-15:STL:BOS:0,2017-08-15,BOS,STL,9.5,0.5816746508332771,0.5239223627237672,True,True,2,1,0.4891891129984674,0.5239223627237672,-0.0347332497252997,0.0347332497252997,high_total,8,home_favorite,market_higher_by_3pp,largest,0.0,-1.2000000000000002,14.0,0.02640383781041691,True,1
kaggle_mlb_vegas:2017-08-16:CIN:CHC:0,2017-08-16,CHC,CIN,10.0,0.6814832422153554,0.5195490681610844,True,True,2,1,0.4866131090947677,0.5195490681610844,-0.0329359590663166,0.0329359590663166,high_total,8,home_favorite,market_higher_by_3pp,largest,0.0,1.5,27.0,0.02640383781041691,True,0
