bucket,n,mean_difference,method,log_loss,brier,ece
most_market_bullish,1298,-0.03003960460667261,base,0.6921548238618065,0.24950209175854926,0.006793823756035403
most_market_bullish,1298,-0.03003960460667261,market,0.6937808170021189,0.25031678336892527,0.026891553527735524
most_market_bullish,1298,-0.03003960460667261,market_blend,0.6928519249420215,0.249852185941267,0.009566796899564531
most_market_bullish,1298,-0.03003960460667261,platt,0.6939713823248748,0.25041164809179406,0.04145030946398329
most_market_bullish,1298,-0.03003960460667261,isotonic,0.6990579317318582,0.2511870141013649,0.008068007409219384
most_market_bullish,1298,-0.03003960460667261,logistic_meta,0.6921737566907099,0.2495154748286475,0.007405788203816721
most_market_bullish,1298,-0.03003960460667261,gradient_boosting_meta,0.6937942706700393,0.25032345109757825,0.012954215892307552
market_bullish,1297,-0.01432997510756064,base,0.6923442274200078,0.24959883079448536,0.009491732075976887
market_bullish,1297,-0.01432997510756064,market,0.693163007333255,0.2500079301744257,0.02382170718353757
market_bullish,1297,-0.01432997510756064,market_blend,0.6926245854711381,0.24973894179515863,0.015783791266763644
market_bullish,1297,-0.01432997510756064,platt,0.6927269151352768,0.249790205688703,0.012433646381077981
market_bullish,1297,-0.01432997510756064,isotonic,0.6937933642759473,0.25032281461295514,0.021675554717293787
market_bullish,1297,-0.01432997510756064,logistic_meta,0.6956267800508218,0.25122680131096725,0.02402446450048672
market_bullish,1297,-0.01432997510756064,gradient_boosting_meta,0.6935334504056092,0.2501929870707902,0.017129360701974655
aligned,1297,-0.004899435949046131,base,0.692286945979152,0.24957014583086912,0.009547269245191939
aligned,1297,-0.004899435949046131,market,0.6926524726732983,0.24975291890281123,0.01444670519423806
aligned,1297,-0.004899435949046131,market_blend,0.6925040551308321,0.24967864734787798,0.011679985478775325
aligned,1297,-0.004899435949046131,platt,0.6935145098789544,0.25018327458314477,0.010754160382795789
aligned,1297,-0.004899435949046131,isotonic,0.6930199186265417,0.24994178838583386,0.009630372617909624
aligned,1297,-0.004899435949046131,logistic_meta,0.6928079958272719,0.24983254043810352,0.015833758268703483
aligned,1297,-0.004899435949046131,gradient_boosting_meta,0.6932992991379913,0.2500759367557106,0.008042724840901494
model_bullish,1297,0.0046978433613976515,base,0.6932405211331065,0.25004679768608484,0.010208642769465572
model_bullish,1297,0.0046978433613976515,market,0.6929228916029687,0.24988815760959926,0.007471673075928717
model_bullish,1297,0.0046978433613976515,market_blend,0.6931101316727782,0.24998167757096987,0.009442655006724775
model_bullish,1297,0.0046978433613976515,platt,0.6932812275951313,0.250066898084687,0.01418848259200325
model_bullish,1297,0.0046978433613976515,isotonic,0.6942335825931604,0.2505496062702193,0.019431010815135274
model_bullish,1297,0.0046978433613976515,logistic_meta,0.6945486218394223,0.2506916628475537,0.02667191388820808
model_bullish,1297,0.0046978433613976515,gradient_boosting_meta,0.6932629637104597,0.25005728136281913,0.012102265618295815
most_model_bullish,1297,0.020090033676757987,base,0.6933614552931945,0.2501001232518966,0.02176534258196973
most_model_bullish,1297,0.020090033676757987,market,0.691413976528753,0.24913401090288767,0.011493135882027727
most_model_bullish,1297,0.020090033676757987,market_blend,0.6921592712251061,0.24950356843030902,0.027936049810348945
most_model_bullish,1297,0.020090033676757987,platt,0.6937523196083728,0.25030157858921664,0.01776685885547129
most_model_bullish,1297,0.020090033676757987,isotonic,0.696540105754824,0.25162942620404094,0.027335105346804923
most_model_bullish,1297,0.020090033676757987,logistic_meta,0.6943657667156018,0.25056121959479716,0.018986869861824757
most_model_bullish,1297,0.020090033676757987,gradient_boosting_meta,0.6944050399872479,0.25062828447650426,0.02011753474193792
