test_fold,method,log_loss,brier,ece
2,base,0.6916977347053311,0.2492753665336952,0.03024601472028307
2,market,0.6925183311106439,0.24968617850161468,0.03161416725357984
2,market_blend,0.6919633121795621,0.24940845104255047,0.03098481708826329
2,platt,0.6936046180458263,0.2502287314176742,0.03987900095094719
2,isotonic,0.6940650247395835,0.2504572604082305,0.04209479727608656
2,logistic_meta,0.6934072084904016,0.2501283198757692,0.03920120763252256
2,gradient_boosting_meta,0.6940223668563595,0.25043710207472697,0.03710478158748467
3,base,0.6938040386694265,0.25032483211659773,0.01435501561735771
3,market,0.6929217834745124,0.2498874282130212,0.010633984823828189
3,market_blend,0.6934155446899618,0.2501326873486806,0.012011031985378399
3,platt,0.6941574508407726,0.25050415089438244,0.023872126071162566
3,isotonic,0.6980799400499456,0.2513472428521077,0.031144690843658375
3,logistic_meta,0.695872506920566,0.25132443702879814,0.017161541109709234
3,gradient_boosting_meta,0.6938406497058552,0.250346466161219,0.018922410739516685
4,base,0.6925307690379379,0.24969047398719263,0.008795591558663739
4,market,0.6929202443436565,0.24988650365850792,0.013555092519955823
4,market_blend,0.6925712175958118,0.24971192106017584,0.012603353201119731
4,platt,0.6925859853336094,0.24971940139829868,0.005921819219991453
4,isotonic,0.6938437017691277,0.25037409965923474,0.009353761919201927
4,logistic_meta,0.6924332366955521,0.2496434693229341,0.011952886768214212
4,gradient_boosting_meta,0.6931140603497591,0.24998322761106168,0.007022752624878501
