method,mean_log_loss,std_log_loss,mean_brier,std_brier,mean_ece,std_ece,folds_better_log_loss,folds_better_brier,folds_better_ece,promotion_gate
market_blend,0.6926500248217785,0.0005954845367227737,0.24975101981713563,0.0002969580120444727,0.018533067424920474,0.008808036609240177,1.0,1.0,1.0,False
base,0.6926775141375652,0.0008661330500138575,0.2497635575458285,0.0004315479172555477,0.01779887396543484,0.00908938148590061,,,,
market,0.6927867863096043,0.00018982753157817264,0.24982003679104794,9.465285675477834e-05,0.018601081532454617,0.009278596069525063,,,,
platt,0.6934493514067362,0.0006508746714802249,0.2501507612367851,0.0003250819945099366,0.023224315414033733,0.013870527309440587,0.0,0.0,1.0,False
gradient_boosting_meta,0.6936590256373246,0.00039242464600259305,0.2502555986156692,0.00019611763530688012,0.021016648317293284,0.012369895981801889,0.0,0.0,1.0,False
logistic_meta,0.6939043173688398,0.001447407532552234,0.2503654087425005,0.0007064330376784436,0.022771878503482,0.011810296686509026,1.0,1.0,0.0,False
isotonic,0.6953295555195522,0.001946913328507961,0.250726200973191,0.00044045331880512926,0.027531083346315616,0.013608513717983831,0.0,0.0,0.0,False
