fpr,tpr,threshold
0.5,0.5521,0.4814
0.5,0.5651,0.4812
0.5023,0.5651,0.4811
0.5023,0.5677,0.481
0.5093,0.5677,0.4809
0.5093,0.5703,0.4809
0.5116,0.5703,0.4804
0.5116,0.5729,0.4804
0.514,0.5729,0.4804
0.514,0.5755,0.4803
0.5209,0.5755,0.4801
0.5209,0.5781,0.48
0.5233,0.5781,0.4799
0.5233,0.5833,0.4797
0.5279,0.5833,0.4795
0.5279,0.5859,0.4794
0.5326,0.5859,0.4793
0.5326,0.5885,0.4792
0.5349,0.5885,0.4792
0.5349,0.5911,0.4791
0.5442,0.5911,0.4789
0.5442,0.5938,0.4789
0.5465,0.5938,0.4789
0.5465,0.6094,0.4786
0.5488,0.6094,0.4786
0.5488,0.612,0.4785
0.5535,0.612,0.4784
0.5535,0.6146,0.4782
0.5558,0.6146,0.4782
0.5558,0.6198,0.478
0.5744,0.6198,0.4773
0.5744,0.6224,0.4768
0.5814,0.6224,0.4765
0.5814,0.6302,0.4761
0.586,0.6302,0.4759
0.586,0.6328,0.4758
0.593,0.6328,0.4756
0.593,0.6406,0.4756
0.5953,0.6406,0.4755
0.5953,0.6458,0.4754
0.6023,0.6458,0.4751
0.6023,0.6484,0.475
0.6047,0.6484,0.475
0.6047,0.651,0.475
0.607,0.651,0.4749
0.607,0.6562,0.4747
0.6116,0.6562,0.4746
0.6116,0.6589,0.4745
0.614,0.6589,0.4745
0.614,0.6615,0.4744
0.6163,0.6615,0.4742
0.6163,0.6641,0.4742
0.6186,0.6641,0.4742
0.6186,0.6667,0.4741
0.6209,0.6667,0.4739
0.6209,0.6693,0.4738
0.6233,0.6693,0.4738
0.6233,0.6719,0.4737
0.6279,0.6719,0.4736
0.6279,0.6771,0.4734
0.6302,0.6771,0.4734
0.6302,0.6823,0.4733
0.6349,0.6823,0.4729
0.6349,0.6875,0.4728
0.6372,0.6875,0.4726
0.6372,0.6953,0.4723
0.6395,0.6953,0.4723
0.6395,0.7031,0.4721
0.6419,0.7031,0.4721
0.6419,0.7057,0.4721
0.6442,0.7057,0.472
0.6442,0.7188,0.4718
0.6535,0.7188,0.4716
0.6535,0.724,0.4714
0.6558,0.724,0.4714
0.6558,0.7266,0.4714
0.6581,0.7266,0.4714
0.6581,0.7292,0.4714
0.6628,0.7292,0.471
0.6628,0.7318,0.4709
0.6651,0.7318,0.4708
0.6651,0.7396,0.4708
0.6674,0.7396,0.4707
0.6674,0.7422,0.4706
0.6698,0.7422,0.4705
0.6698,0.7526,0.47
0.6744,0.7526,0.4699
0.6744,0.7552,0.4698
0.6767,0.7552,0.4698
0.6767,0.7578,0.4698
0.6814,0.7578,0.4696
0.6814,0.7604,0.4695
0.6837,0.7604,0.4695
0.6837,0.7682,0.4694
0.6884,0.7682,0.4693
0.6884,0.7708,0.4692
0.6907,0.7708,0.4692
0.6907,0.776,0.469
0.6977,0.776,0.4687
0.6977,0.7786,0.4687
0.7,0.7786,0.4686
0.7,0.7812,0.4686
0.7047,0.7812,0.4684
0.7047,0.7865,0.4683
0.7116,0.7865,0.4676
0.7116,0.7891,0.4676
0.7186,0.7891,0.4673
0.7186,0.7917,0.4672
0.7279,0.7917,0.467
0.7279,0.7969,0.467
0.7326,0.7969,0.4669
0.7326,0.7995,0.4668
0.7349,0.7995,0.4668
0.7349,0.8073,0.4666
0.7372,0.8073,0.4666
0.7372,0.8125,0.4665
0.7419,0.8125,0.4665
0.7419,0.8229,0.4662
0.7488,0.8229,0.4661
0.7488,0.8255,0.4659
0.7558,0.8255,0.4655
0.7558,0.8333,0.4652
0.7581,0.8333,0.4652
0.7581,0.8359,0.4652
0.7628,0.8359,0.465
0.7628,0.8385,0.465
0.7651,0.8385,0.465
0.7651,0.8411,0.4649
0.7674,0.8411,0.4648
0.7674,0.849,0.4645
0.7698,0.849,0.4645
0.7698,0.8516,0.4644
0.7721,0.8516,0.4644
0.7721,0.8568,0.4641
0.7767,0.8568,0.464
0.7767,0.8594,0.464
0.7884,0.8594,0.4634
0.7884,0.8672,0.4631
0.7953,0.8672,0.463
0.7953,0.8698,0.4628
0.7977,0.8698,0.4627
0.7977,0.8724,0.4626
0.807,0.8724,0.4622
0.807,0.875,0.4622
0.814,0.875,0.4619
0.814,0.8776,0.4619
0.8163,0.8776,0.4618
0.8163,0.8828,0.4614
0.8186,0.8828,0.4614
0.8186,0.8854,0.461
0.8233,0.8854,0.461
0.8233,0.888,0.461
0.8326,0.888,0.4606
0.8326,0.8906,0.4604
0.8349,0.8906,0.4601
0.8349,0.8932,0.46
0.8372,0.8932,0.4598
0.8372,0.8984,0.4596
0.8488,0.8984,0.459
0.8488,0.901,0.459
0.8535,0.901,0.4587
0.8535,0.9036,0.4583
0.8558,0.9036,0.4578
0.8558,0.9062,0.4576
0.8605,0.9062,0.4572
0.8605,0.9089,0.4568
0.8721,0.9089,0.4562
0.8721,0.9141,0.4561
0.8767,0.9141,0.4559
0.8767,0.9193,0.4555
0.8791,0.9193,0.4554
0.8791,0.9245,0.4553
0.8884,0.9245,0.4549
0.8884,0.9271,0.4546
0.893,0.9271,0.454
0.893,0.9323,0.454
0.8977,0.9323,0.4537
0.8977,0.9349,0.4537
0.9093,0.9349,0.4529
0.9093,0.9375,0.4528
0.914,0.9375,0.4522
0.914,0.9427,0.452
0.9163,0.9427,0.4516
0.9163,0.9505,0.4505
0.9209,0.9505,0.4501
0.9209,0.9531,0.4499
0.9233,0.9531,0.4493
0.9233,0.9557,0.4492
0.9256,0.9557,0.4487
0.9256,0.9583,0.4485
0.9302,0.9583,0.4482
0.9302,0.9635,0.4476
0.9535,0.9635,0.4445
0.9535,0.9661,0.4444
0.9605,0.9661,0.4429
0.9605,0.9688,0.4426
0.9628,0.9688,0.4425
0.9628,0.974,0.4415
0.9651,0.974,0.4413
0.9651,0.9818,0.4397
0.9698,0.9818,0.4375
0.9698,0.9844,0.4373
0.9744,0.9844,0.4361
0.9744,0.9896,0.4346
0.9767,0.9896,0.4341
0.9767,0.9922,0.4333
0.9884,0.9922,0.4317
0.9884,0.9948,0.4315
0.9953,0.9948,0.4298
0.9953,1.0,0.4278
1.0,1.0,0.4265
