precision,recall,threshold
0.4992,0.776,0.4689
0.5,0.776,0.4689
0.5008,0.776,0.469
0.5,0.7734,0.4691
0.4992,0.7708,0.4692
0.5,0.7708,0.4692
0.4992,0.7682,0.4693
0.5,0.7682,0.4693
0.5008,0.7682,0.4694
0.5,0.7656,0.4694
0.4991,0.763,0.4695
0.4983,0.7604,0.4695
0.4991,0.7604,0.4695
0.4983,0.7578,0.4696
0.4991,0.7578,0.4697
0.5,0.7578,0.4698
0.4991,0.7552,0.4698
0.5,0.7552,0.4698
0.4991,0.7526,0.4699
0.5,0.7526,0.4699
0.5009,0.7526,0.47
0.5,0.75,0.4702
0.4991,0.7474,0.4703
0.4983,0.7448,0.4704
0.4974,0.7422,0.4705
0.4983,0.7422,0.4706
0.4974,0.7396,0.4707
0.4982,0.7396,0.4708
0.4974,0.737,0.4708
0.4965,0.7344,0.4708
0.4956,0.7318,0.4708
0.4965,0.7318,0.4709
0.4956,0.7292,0.471
0.4965,0.7292,0.471
0.4973,0.7292,0.4714
0.4964,0.7266,0.4714
0.4973,0.7266,0.4714
0.4964,0.724,0.4714
0.4973,0.724,0.4714
0.4964,0.7214,0.4716
0.4955,0.7188,0.4716
0.4964,0.7188,0.4716
0.4973,0.7188,0.4716
0.4982,0.7188,0.4717
0.4991,0.7188,0.4718
0.4982,0.7161,0.4719
0.4973,0.7135,0.4719
0.4964,0.7109,0.4719
0.4954,0.7083,0.4719
0.4945,0.7057,0.472
0.4954,0.7057,0.4721
0.4945,0.7031,0.4721
0.4954,0.7031,0.4721
0.4945,0.7005,0.4723
0.4936,0.6979,0.4723
0.4926,0.6953,0.4723
0.4935,0.6953,0.4723
0.4926,0.6927,0.4724
0.4917,0.6901,0.4725
0.4907,0.6875,0.4726
0.4916,0.6875,0.4728
0.4907,0.6849,0.4728
0.4897,0.6823,0.4729
0.4906,0.6823,0.473
0.4916,0.6823,0.4733
0.4906,0.6797,0.4733
0.4896,0.6771,0.4734
0.4906,0.6771,0.4734
0.4896,0.6745,0.4735
0.4886,0.6719,0.4736
0.4896,0.6719,0.4736
0.4905,0.6719,0.4737
0.4895,0.6693,0.4738
0.4905,0.6693,0.4738
0.4895,0.6667,0.4739
0.4904,0.6667,0.4741
0.4894,0.6641,0.4742
0.4904,0.6641,0.4742
0.4894,0.6615,0.4742
0.4903,0.6615,0.4744
0.4894,0.6589,0.4745
0.4903,0.6589,0.4745
0.4893,0.6562,0.4746
0.4903,0.6562,0.4746
0.4912,0.6562,0.4747
0.4902,0.6536,0.4747
0.4892,0.651,0.4749
0.4902,0.651,0.475
0.4892,0.6484,0.475
0.4902,0.6484,0.475
0.4892,0.6458,0.4751
0.4901,0.6458,0.4752
0.4911,0.6458,0.4753
0.4921,0.6458,0.4754
0.4911,0.6432,0.4755
0.49,0.6406,0.4755
0.491,0.6406,0.4756
0.49,0.638,0.4756
0.489,0.6354,0.4756
0.488,0.6328,0.4756
0.4889,0.6328,0.4757
0.4899,0.6328,0.4758
0.4909,0.6328,0.4758
0.4899,0.6302,0.4759
0.4909,0.6302,0.476
0.4919,0.6302,0.4761
0.4908,0.6276,0.4761
0.4898,0.625,0.4763
0.4888,0.6224,0.4765
0.4898,0.6224,0.4767
