bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.30-0.40,0.3,0.4,150,56,56.487026,0.3766,0.3733,0.3,0.453,0.153,True
0.40-0.50,0.4,0.5,421,201,187.407661,0.4451,0.4774,0.4301,0.5251,0.095,True
0.50-0.60,0.5,0.6,163,77,85.772207,0.5262,0.4724,0.3973,0.5488,0.1515,True
