feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_bat_woba,188.41336810588837,2,0.0014754441798655149,2,0.05047816563483053,2,-6.2e-05,-0.000872,14,5.0
away_k_rate,225.74051237106323,1,0.00036185361707684603,8,0.07685939797634386,1,-0.000158,0.005861,16,6.5
home_bat_k_rate,120.40334093570709,4,0.0010453581206103623,4,0.04325248518373594,3,-8.7e-05,0.00021,15,6.5
home_bat_iso,52.57375979423523,12,0.0003068047169068722,11,0.00760105419156433,12,0.002094,-0.018024,1,9.0
away_bat_k_rate,95.75741004943848,5,0.0023996818037878343,1,0.02458977825542077,5,-0.000296,0.001583,25,9.0
away_bat_iso,68.45183992385864,8,0.0003516588675643639,9,0.016817734969287616,9,0.000137,0.000533,10,9.0
home_k_rate,81.38758444786072,6,0.0007741713783693926,5,0.023246384745713212,6,-0.000289,0.003366,24,10.25
away_hard_hit_pct,56.46215009689331,9,0.0007158114966060892,6,0.018665347195522337,8,-0.000613,0.00324,33,14.0
home_fip,44.46574801206589,14,0.00017550793899734352,14,0.006562405614456666,16,-5e-06,0.001208,13,14.25
home_L10_ra,70.58305943012238,7,0.0010592660507371733,3,0.012729980123340492,10,-0.004028,0.017116,38,14.5
away_L10_ra,12.188790082931519,25,0.00028747114020298835,12,0.003245553835951634,21,0.000739,-0.001482,4,15.5
away_fb_velo,42.11854016780853,15,0.0003796819269248908,7,0.023101191510278368,7,-0.000741,0.005184,35,16.0
away_hr_rate,55.6936901807785,10,0.0003150799992816311,10,0.006692728644260937,15,-0.000613,0.00324,32,16.75
wind_out_factor,26.027620315551758,19,-0.00026077357362179753,35,0.0042189977592340736,18,0.001242,-0.0024,2,18.5
home_xwoba_against,30.751410007476807,17,-9.443948081516718e-05,28,0.007381493649259033,13,-0.000219,0.000748,18,19.0
home_bat_hard_hit_pct,10.677760243415833,27,8.370431364370656e-05,16,0.0014212797354366529,31,0.000587,-0.001226,5,19.75
home_L10_rs,20.280636847019196,22,-0.00010523400395990867,29,0.005373832296595471,17,5e-06,0.000373,11,19.75
park_factor,53.159730076789856,11,-7.761461836308658e-06,25,0.010731502679662783,11,-0.000698,0.006774,34,20.25
home_fb_velo,124.51851823925972,3,-0.0007432694392392359,38,0.024986851659140108,4,-0.001635,0.00302,37,20.5
wind_mph,49.46353268623352,13,-2.9866195342631575e-05,26,0.007006504447789274,14,-0.000483,0.001304,29,20.5
home_hr_rate,13.814879894256592,23,0.00011464815880235513,15,0.002331631459574221,23,-0.000287,0.000953,23,21.0
away_L10_wr,22.64069962501526,21,-0.0003157490592137213,37,0.003696662096625315,20,0.00028,-0.000276,6,21.0
home_bat_woba,24.630760192871094,20,0.00021450139860558216,13,0.0018023335312482207,27,-0.000401,0.002131,27,21.75
away_xwoba_against,5.233760118484497,31,-0.00011015586743524652,30,0.0014438949937728943,30,0.000992,-0.015623,3,23.5
away_L10_rs,9.102103114128113,28,-0.0001467889376778997,33,0.0021360502379801655,26,0.00028,-0.000276,7,23.5
away_fip,13.733489990234375,24,2.391927371748759e-05,17,0.0023237992930619927,24,-0.000502,0.006583,30,23.75
home_L10_wr,0.0,36,0.0,22,0.0,36,0.000265,-0.002015,8,25.5
home_bb_rate,32.439170122146606,16,-0.000146192168443815,32,0.0038036844909004933,19,-0.000931,0.007389,36,25.75
away_bat_hard_hit_pct,5.520969867706299,30,-0.00014439316047933914,31,0.002210885557582525,25,-0.000203,0.004007,17,25.75
home_is_lefty,0.0,33,0.0,19,0.0,33,-0.000244,0.002727,19,26.0
home_days_rest,6.227739930152893,29,-6.775467153102843e-05,27,0.0017171894701148163,28,-0.000244,0.002727,20,26.0
is_dome,0.0,37,0.0,23,0.0,37,0.000191,0.000695,9,26.5
temp_f,29.423219442367554,18,-0.00031288988064099855,36,0.0030714376871338713,22,-0.000553,-0.002301,31,26.75
home_hard_hit_pct,0.0,32,0.0,18,0.0,32,-0.000324,0.000727,26,27.0
away_is_lefty,0.0,34,0.0,20,0.0,34,-0.000245,0.003425,21,27.25
is_coors,0.0,38,0.0,24,0.0,38,0.0,0.0,12,28.0
away_days_rest,0.0,35,0.0,21,0.0,35,-0.000254,0.003198,22,28.25
away_bb_rate,11.028189897537231,26,-0.0001696130040567012,34,0.001575535564950645,29,-0.000429,0.002997,28,29.25
