bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.10-0.20,0.1,0.2,3,1,0.557846,0.1859,0.3333,0.0615,0.7923,0.7308,False
0.20-0.30,0.2,0.3,31,11,7.977386,0.2573,0.3548,0.2112,0.5305,0.3194,True
0.30-0.40,0.3,0.4,95,38,36.151532,0.3805,0.4,0.3072,0.5005,0.1933,True
0.40-0.50,0.4,0.5,448,203,203.064308,0.4533,0.4531,0.4076,0.4994,0.0918,True
0.50-0.60,0.5,0.6,147,74,77.962103,0.5304,0.5034,0.4235,0.5831,0.1596,True
0.60-0.70,0.6,0.7,10,7,6.237222,0.6237,0.7,0.3968,0.8922,0.4954,False
