target,feature,family,verdict,mean_logloss_improvement,fold_1,fold_2,fold_3,fold_4
home_win,home_runs_accel_5v10,rolling_trend,KEEP,0.00028620103696466725,0.0001635894940109628,0.00012960738986089737,-3.611678104298299e-05,0.0008877240450297919
home_win,home_runs_accel_5v30,rolling_trend,REMOVE,-8.871377943567293e-05,-0.0003787141264168792,0.00042626710530202505,0.00026837607166341204,-0.0006707841682912496
home_win,home_runs_accel_10v30,rolling_trend,REMOVE,-0.00020930297457402713,-0.0005432563293822357,0.00029430172339284244,0.0004749221993439745,-0.0010631794916506898
home_win,home_runs_allowed_accel_5v10,rolling_trend,REMOVE,-0.00012899418737288837,-0.000377940864977111,0.0003346449591961065,0.00024988931521585656,-0.0007225701589264055
home_win,home_runs_allowed_accel_5v30,rolling_trend,REMOVE,-0.00031841624408210367,-0.0006180364245821357,0.00035511325247938874,0.00017355788990858212,-0.0011842996941342498
home_win,home_runs_allowed_accel_10v30,rolling_trend,REMOVE,-0.00032570761277186944,-0.0005451195392868202,0.00013405275049926946,0.0002180431030865959,-0.001109806765386523
home_win,home_hits_accel_5v10,rolling_trend,REMOVE,-0.0004751513952999109,-0.0005134370218741191,-0.0002808348166855046,2.4009113491763046e-05,-0.001130342856131783
home_win,home_hits_accel_5v30,rolling_trend,REMOVE,-0.00015676420075416697,-0.0005491248885953759,0.00030588352264260266,0.0006105743517635931,-0.0009943897888274877
home_win,home_hits_accel_10v30,rolling_trend,REMOVE,-0.0002181704429389808,-0.00017833934165278897,-0.00022948571908243398,0.0003868038387569994,-0.0008516605497776997
home_win,home_walks_accel_5v10,rolling_trend,REMOVE,-0.00015092913549039078,-0.00068339043766108,0.00020797802526140163,0.0005997622180432538,-0.0007280663476051386
home_win,home_walks_accel_5v30,rolling_trend,REMOVE,-0.00050816489932759,-0.0007836835776887652,-6.795506773238369e-05,0.0003131643382670024,-0.0014941852901562136
home_win,home_walks_accel_10v30,rolling_trend,REMOVE,-0.00023618098932678966,-0.00020012016505799313,8.960258542600741e-05,0.00034123039901035046,-0.0011754367766855234
home_win,home_strikeouts_accel_5v10,rolling_trend,REMOVE,-0.0003494899623111003,-0.0008852724638671594,-0.00011822522939930469,0.00035651002157521816,-0.0007509721775531553
