fpr,tpr,threshold
0.0,0.0,inf
0.0022,0.0,0.6233
0.0022,0.0027,0.5972
0.0045,0.0027,0.5781
0.0045,0.0054,0.5731
0.0067,0.0054,0.5726
0.0067,0.0082,0.5694
0.0089,0.0082,0.5624
0.0089,0.0109,0.5601
0.0112,0.0109,0.5563
0.0112,0.0163,0.5515
0.0157,0.0163,0.5457
0.0157,0.0218,0.5429
0.0179,0.0218,0.5416
0.0179,0.0245,0.5414
0.0201,0.0245,0.5397
0.0201,0.0327,0.5357
0.0246,0.0327,0.5314
0.0246,0.0354,0.5299
0.0313,0.0354,0.5255
0.0313,0.0381,0.5248
0.0358,0.0381,0.5241
0.0358,0.0409,0.5228
0.038,0.0409,0.5187
0.038,0.0463,0.517
0.0403,0.0463,0.5162
0.0403,0.0545,0.515
0.047,0.0545,0.5128
0.047,0.0599,0.5124
0.0492,0.0599,0.5116
0.0492,0.0627,0.5108
0.0515,0.0627,0.5107
0.0515,0.0654,0.5104
0.0559,0.0654,0.5094
0.0559,0.0681,0.5092
0.0582,0.0681,0.5086
0.0582,0.0763,0.5077
0.0626,0.0763,0.5074
0.0626,0.079,0.5059
0.0671,0.079,0.5053
0.0671,0.0817,0.5046
0.0694,0.0817,0.5043
0.0694,0.0845,0.504
0.0738,0.0845,0.5029
0.0738,0.0872,0.5019
0.0805,0.0872,0.5007
0.0805,0.0926,0.5006
0.085,0.0926,0.5004
0.085,0.0954,0.5002
0.0872,0.0954,0.5002
0.0872,0.1035,0.4989
0.0895,0.1035,0.4986
0.0895,0.109,0.498
0.0917,0.109,0.4961
0.0917,0.1117,0.4959
0.0962,0.1117,0.4958
0.0962,0.1226,0.4946
0.0984,0.1226,0.4939
0.0984,0.1253,0.4938
0.1051,0.1253,0.493
0.1051,0.1281,0.4924
0.1119,0.1281,0.492
0.1119,0.1308,0.4917
0.1141,0.1308,0.4915
0.1141,0.139,0.4908
0.1208,0.139,0.4906
0.1208,0.1471,0.4903
0.1253,0.1471,0.4892
0.1253,0.1499,0.4888
0.1275,0.1499,0.4885
0.1275,0.1526,0.4882
0.1342,0.1526,0.4872
0.1342,0.1798,0.4845
0.1365,0.1798,0.4842
0.1365,0.1853,0.4839
0.1409,0.1853,0.4834
0.1409,0.188,0.4834
0.1477,0.188,0.4832
0.1477,0.1989,0.4806
0.1544,0.1989,0.4803
0.1544,0.2071,0.4797
0.1611,0.2071,0.479
0.1611,0.2125,0.4781
0.1633,0.2125,0.4779
0.1633,0.2153,0.4779
0.1723,0.2153,0.4766
0.1723,0.218,0.4765
0.179,0.218,0.4757
0.179,0.2234,0.4756
0.1834,0.2234,0.4752
0.1834,0.2262,0.475
0.1946,0.2262,0.4743
0.1946,0.2289,0.4742
0.1991,0.2289,0.474
0.1991,0.2316,0.474
0.2013,0.2316,0.4739
0.2013,0.2371,0.4728
0.2058,0.2371,0.4722
0.2058,0.2398,0.4719
0.2103,0.2398,0.4711
0.2103,0.2425,0.471
0.2125,0.2425,0.4706
0.2125,0.2452,0.4705
0.2148,0.2452,0.4705
0.2148,0.248,0.4699
0.217,0.248,0.4699
0.217,0.2507,0.4698
0.2215,0.2507,0.4693
0.2215,0.2534,0.4692
0.226,0.2534,0.469
0.226,0.2616,0.4685
0.2304,0.2616,0.4685
0.2304,0.267,0.468
0.2371,0.267,0.4675
0.2371,0.2725,0.4673
0.2438,0.2725,0.4666
0.2438,0.2834,0.4662
0.2506,0.2834,0.4657
0.2506,0.2888,0.4647
0.2617,0.2888,0.4645
0.2617,0.2943,0.4642
0.2707,0.2943,0.463
0.2707,0.2997,0.4619
0.2729,0.2997,0.4616
0.2729,0.3025,0.4616
0.2752,0.3025,0.4615
0.2752,0.3052,0.461
0.2774,0.3052,0.4606
0.2774,0.3134,0.4601
0.2796,0.3134,0.46
0.2796,0.3161,0.4598
0.2886,0.3161,0.459
0.2886,0.3188,0.4586
0.2908,0.3188,0.4585
0.2908,0.3297,0.4582
0.2931,0.3297,0.4582
0.2931,0.3324,0.4581
0.2975,0.3324,0.4579
0.2975,0.3406,0.4575
0.2998,0.3406,0.4573
0.2998,0.3433,0.4572
0.3087,0.3433,0.456
0.3087,0.346,0.4558
0.311,0.346,0.4555
0.311,0.3515,0.4553
0.3154,0.3515,0.4552
0.3154,0.3542,0.4549
0.3177,0.3542,0.4548
0.3177,0.3597,0.4545
0.3199,0.3597,0.4541
0.3199,0.3624,0.454
0.3333,0.3624,0.4537
0.3333,0.3651,0.4537
0.34,0.3651,0.4533
0.34,0.3678,0.4533
0.3445,0.3678,0.453
0.3445,0.3733,0.4527
0.3468,0.3733,0.4522
0.3468,0.3815,0.4521
0.3512,0.3815,0.4519
0.3512,0.3869,0.4517
0.3602,0.3869,0.4514
0.3602,0.3924,0.4513
0.3647,0.3924,0.4509
0.3647,0.4005,0.4504
0.3669,0.4005,0.4503
0.3669,0.4033,0.4502
0.3714,0.4033,0.4499
0.3714,0.4114,0.4492
0.3758,0.4114,0.4489
0.3758,0.4169,0.4488
0.3803,0.4169,0.4487
0.3803,0.4196,0.4486
0.387,0.4196,0.4482
0.387,0.4223,0.4481
0.3893,0.4223,0.4479
0.3893,0.4387,0.4471
0.3915,0.4387,0.447
0.3915,0.4414,0.4469
0.396,0.4414,0.4468
0.396,0.4469,0.4465
0.4027,0.4469,0.446
0.4027,0.4523,0.4458
0.4072,0.4523,0.4456
0.4072,0.4605,0.4454
0.4183,0.4605,0.4441
0.4183,0.4687,0.4438
0.4228,0.4687,0.4433
0.4228,0.4714,0.4432
0.434,0.4714,0.4423
0.434,0.4741,0.4422
