feature,importance_mean,importance_std
away_hard_hit_pct,0.0019817288300214343,0.0007714241253943128
home_bat_iso,0.0011597642937202445,0.0005156769935896119
home_L10_ra,0.0008445809631747348,0.001265172059929164
wind_out_factor,0.0008043736001038914,0.0005172801585837408
home_bat_k_rate,0.0007235152768977126,0.0005367885898610605
home_bb_rate,0.0006236297550895498,0.00029919757152772875
away_bb_rate,0.0005980156037902695,0.000269557982696972
away_L10_ra,0.0005474229556288512,0.0002277638546942834
home_bat_hard_hit_pct,0.000509889179925438,0.00044272217944282344
away_bat_woba,0.0004493366008024413,0.0018111801922153082
home_k_rate,0.00043550478577873973,0.0005306855537622358
wind_mph,0.0003720047056284037,0.0003965104960786744
away_bat_iso,0.00034718893285162755,0.0002520745888804553
away_L10_wr,0.0002924274576551755,0.0003073861808552683
home_hr_rate,0.00027880979520531477,0.0003697010544745287
away_days_rest,0.00023342273492393817,0.00014458294740177878
home_L10_rs,0.00021875061513494388,0.00024446203843226446
away_k_rate,0.000196166556298194,0.002333939786852673
away_bat_hard_hit_pct,0.00012996194029544217,0.0002498664230297105
home_bat_woba,0.00012336267421290126,0.0002949944567002745
home_L10_wr,0.00010577877617241604,0.0001715648854047531
away_bat_k_rate,9.688372788616562e-05,0.0003382452974883788
away_is_lefty,6.924648160728797e-05,3.1621292919658684e-05
away_fb_velo,6.192593207193786e-05,0.0005583601925429044
home_hard_hit_pct,5.5328489382611146e-05,0.00027149490085479446
temp_f,3.8316524972437094e-05,0.0002319048370732634
away_fip,2.9879771161855916e-05,0.0003747345611312993
home_xwoba_against,2.7404267811192985e-05,0.00018841378786209762
is_dome,9.615647119354254e-06,2.8441788764165806e-05
is_coors,0.0,0.0
home_is_lefty,-1.1744094028720565e-05,4.471259570072576e-05
home_days_rest,-0.0001900631622301252,0.00015757445292975938
away_hr_rate,-0.0002170617664861707,0.00022913149820683179
away_L10_rs,-0.0003433568842758361,0.0003936813660882881
away_xwoba_against,-0.0003969487815631334,0.0006595661221707025
home_fip,-0.0004689372049006546,0.00028941760177357095
home_fb_velo,-0.0005574206447804375,0.0007486981200498855
park_factor,-0.00059813257187733,0.0004534431781167351
