feature,mean_abs_shap,shap_method
away_k_rate,0.06882492099361981,tree
away_bat_woba,0.05527869424009345,tree
home_L10_ra,0.03697144124649663,tree
away_hard_hit_pct,0.033807500567062894,tree
home_bat_k_rate,0.02910388972139578,tree
home_bat_iso,0.02364192911146655,tree
home_fb_velo,0.0229092258117744,tree
away_fb_velo,0.021439784425029366,tree
home_bb_rate,0.016604120833219094,tree
home_k_rate,0.015643083187139112,tree
park_factor,0.015217753400845758,tree
away_xwoba_against,0.014927747101279226,tree
temp_f,0.014099578841573927,tree
away_L10_rs,0.013283786438101236,tree
wind_out_factor,0.013017669715496198,tree
home_bat_hard_hit_pct,0.011951447227730174,tree
home_fip,0.01141440953409778,tree
home_hr_rate,0.011310299198215064,tree
away_bb_rate,0.010912317043286792,tree
home_days_rest,0.010159929590746516,tree
away_fip,0.01014312338617726,tree
wind_mph,0.009803976820796157,tree
home_bat_woba,0.008652758497218069,tree
away_bat_iso,0.008454076747110795,tree
away_bat_k_rate,0.008366400616660387,tree
home_xwoba_against,0.008160263598088628,tree
away_L10_ra,0.008130097233438613,tree
away_L10_wr,0.007818761061358336,tree
away_bat_hard_hit_pct,0.007692538893649495,tree
away_hr_rate,0.006610146383938953,tree
home_hard_hit_pct,0.00541270559147853,tree
home_L10_rs,0.0053488290460681764,tree
home_L10_wr,0.003920273467192728,tree
away_days_rest,0.0027873101108933317,tree
home_is_lefty,0.0005186964671998188,tree
away_is_lefty,0.0004238824520609323,tree
is_dome,0.0004058664058257809,tree
is_coors,0.0,tree
