feature,gain,gain_pct
away_k_rate,683.1069090366364,6.13
away_bat_woba,599.1152234077454,5.37
home_bat_iso,578.0370104312897,5.19
away_hard_hit_pct,463.75926995277405,4.16
home_bat_hard_hit_pct,457.5659055709839,4.1
temp_f,456.6389708518982,4.1
park_factor,451.8727116584778,4.05
away_fb_velo,414.01945996284485,3.71
wind_out_factor,405.114709854126,3.63
home_bat_k_rate,393.4406305551529,3.53
home_bb_rate,384.36335849761963,3.45
wind_mph,380.1998180150986,3.41
away_xwoba_against,356.92266154289246,3.2
home_fb_velo,341.52089738845825,3.06
away_L10_rs,325.6411933898926,2.92
home_fip,318.5337510108948,2.86
home_hr_rate,317.5113706588745,2.85
away_bat_iso,317.4996473789215,2.85
away_bb_rate,312.06762051582336,2.8
home_L10_ra,311.1038887500763,2.79
home_k_rate,302.4897494316101,2.71
away_bat_hard_hit_pct,285.37661051750183,2.56
away_fip,284.58025002479553,2.55
away_bat_k_rate,283.0111975669861,2.54
home_bat_woba,276.8074426651001,2.48
away_L10_ra,221.79571986198425,1.99
home_xwoba_against,212.96620059013367,1.91
away_L10_wr,204.1541485786438,1.83
home_L10_rs,192.1136189699173,1.72
home_hard_hit_pct,170.4521200656891,1.53
home_days_rest,150.6949110031128,1.35
away_hr_rate,119.91240930557251,1.08
home_L10_wr,83.95208978652954,0.75
away_days_rest,69.29629898071289,0.62
away_is_lefty,8.619739532470703,0.08
is_dome,7.0612897872924805,0.06
home_is_lefty,5.408030033111572,0.05
is_coors,0.0,0.0
