feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.692458,0.698706,0.006248,0.535844,0.516485,-0.019359
temp_f,0.692458,0.693354,0.000896,0.535844,0.525106,-0.010738
away_L10_ra,0.692458,0.692232,-0.000226,0.535844,0.538264,0.00242
away_xwoba_against,0.692458,0.692015,-0.000443,0.535844,0.535239,-0.000605
away_L10_rs,0.692458,0.691498,-0.00096,0.535844,0.536751,0.000907
wind_out_factor,0.692458,0.691489,-0.000969,0.535844,0.542801,0.006957
away_bat_woba,0.692458,0.690189,-0.002269,0.535844,0.531458,-0.004386
park_factor,0.692458,0.689893,-0.002565,0.535844,0.545221,0.009377
away_fb_velo,0.692458,0.689886,-0.002572,0.535844,0.548851,0.013007
home_bat_hard_hit_pct,0.692458,0.689256,-0.003202,0.535844,0.542801,0.006957
wind_mph,0.692458,0.689182,-0.003276,0.535844,0.549607,0.013763
away_hard_hit_pct,0.692458,0.688915,-0.003543,0.535844,0.554446,0.018603
home_L10_ra,0.692458,0.68838,-0.004078,0.535844,0.548851,0.013007
home_fip,0.692458,0.688377,-0.004081,0.535844,0.547338,0.011494
home_fb_velo,0.692458,0.688191,-0.004267,0.535844,0.548851,0.013007
home_bat_k_rate,0.692458,0.688145,-0.004313,0.535844,0.543557,0.007713
home_k_rate,0.692458,0.687204,-0.005254,0.535844,0.552178,0.016334
away_k_rate,0.692458,0.687032,-0.005426,0.535844,0.556866,0.021022
away_bb_rate,0.692458,0.686565,-0.005893,0.535844,0.557471,0.021627
home_bb_rate,0.692458,0.685848,-0.00661,0.535844,0.560345,0.024501
