feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
home_bat_iso,578.0370104312897,3,0.0011597642937202445,2,0.02364192911146655,6,0.006248,-0.019359,2.0,3.25
away_hard_hit_pct,463.75926995277405,4,0.0019817288300214343,1,0.033807500567062894,4,-0.003543,0.018603,10.0,4.75
home_bat_k_rate,393.4406305551529,10,0.0007235152768977126,5,0.02910388972139578,5,-0.004313,0.007713,6.0,6.5
home_bb_rate,384.36335849761963,11,0.0006236297550895498,6,0.016604120833219094,9,-0.00661,0.024501,1.0,6.75
away_k_rate,683.1069090366364,1,0.000196166556298194,24,0.06882492099361981,1,-0.005426,0.021022,4.0,7.5
away_bat_woba,599.1152234077454,2,0.0004493366008024413,13,0.05527869424009345,2,-0.002269,-0.004386,15.0,8.0
home_L10_ra,311.1038887500763,20,0.0008445809631747348,3,0.03697144124649663,3,-0.004078,0.013007,9.0,8.75
home_fb_velo,341.52089738845825,14,-0.0005574206447804375,9,0.0229092258117744,7,-0.004267,0.013007,7.0,9.25
park_factor,451.8727116584778,7,-0.00059813257187733,7,0.015217753400845758,11,-0.002565,0.009377,14.0,9.75
home_bat_hard_hit_pct,457.5659055709839,5,0.000509889179925438,11,0.011951447227730174,16,-0.003202,0.006957,12.0,11.0
wind_out_factor,405.114709854126,9,0.0008043736001038914,4,0.013017669715496198,15,-0.000969,0.006957,16.0,11.0
away_bb_rate,312.06762051582336,19,0.0005980156037902695,8,0.010912317043286792,19,-0.005893,0.021627,3.0,12.25
home_k_rate,302.4897494316101,21,0.00043550478577873973,14,0.015643083187139112,10,-0.005254,0.016334,5.0,12.5
home_fip,318.5337510108948,16,-0.0004689372049006546,12,0.01141440953409778,17,-0.004081,0.011494,8.0,13.25
away_xwoba_against,356.92266154289246,13,-0.0003969487815631334,15,0.014927747101279226,12,-0.000443,-0.000605,19.0,14.75
away_fb_velo,414.01945996284485,8,6.192593207193786e-05,31,0.021439784425029366,8,-0.002572,0.013007,13.0,15.0
wind_mph,380.1998180150986,12,0.0003720047056284037,16,0.009803976820796157,22,-0.003276,0.013763,11.0,15.25
away_L10_rs,325.6411933898926,15,-0.0003433568842758361,18,0.013283786438101236,14,-0.00096,0.000907,17.0,16.0
temp_f,456.6389708518982,6,3.8316524972437094e-05,33,0.014099578841573927,13,0.000896,-0.010738,18.0,17.5
home_hr_rate,317.5113706588745,17,0.00027880979520531477,20,0.011310299198215064,18,,,,18.33
away_bat_iso,317.4996473789215,18,0.00034718893285162755,17,0.008454076747110795,24,,,,19.67
away_L10_ra,221.79571986198425,26,0.0005474229556288512,10,0.008130097233438613,27,-0.000226,0.00242,20.0,20.75
home_bat_woba,276.8074426651001,25,0.00012336267421290126,27,0.008652758497218069,23,,,,25.0
away_L10_wr,204.1541485786438,28,0.0002924274576551755,19,0.007818761061358336,28,,,,25.0
home_days_rest,150.6949110031128,31,-0.0001900631622301252,25,0.010159929590746516,20,,,,25.33
away_bat_hard_hit_pct,285.37661051750183,22,0.00012996194029544217,26,0.007692538893649495,29,,,,25.67
away_fip,284.58025002479553,23,2.9879771161855916e-05,34,0.01014312338617726,21,,,,26.0
away_bat_k_rate,283.0111975669861,24,9.688372788616562e-05,29,0.008366400616660387,25,,,,26.0
home_L10_rs,192.1136189699173,29,0.00021875061513494388,22,0.0053488290460681764,32,,,,27.67
away_hr_rate,119.91240930557251,32,-0.0002170617664861707,23,0.006610146383938953,30,,,,28.33
home_xwoba_against,212.96620059013367,27,2.7404267811192985e-05,35,0.008160263598088628,26,,,,29.33
away_days_rest,69.29629898071289,34,0.00023342273492393817,21,0.0027873101108933317,34,,,,29.67
home_hard_hit_pct,170.4521200656891,30,5.5328489382611146e-05,32,0.00541270559147853,31,,,,31.0
home_L10_wr,83.95208978652954,33,0.00010577877617241604,28,0.003920273467192728,33,,,,31.33
away_is_lefty,8.619739532470703,35,6.924648160728797e-05,30,0.0004238824520609323,36,,,,33.67
home_is_lefty,5.408030033111572,37,-1.1744094028720565e-05,36,0.0005186964671998188,35,,,,36.0
is_dome,7.0612897872924805,36,9.615647119354254e-06,37,0.0004058664058257809,37,,,,36.67
is_coors,0.0,38,0.0,38,0.0,38,,,,38.0
