game_date,flat_profit,kelly_profit,flat_equity,flat_drawdown,kelly_equity,kelly_drawdown,model
2021-09-01,-0.29761904761904767,0.00013304290225915963,-0.29761904761904767,0.0,0.00013304290225915963,0.0,candidate
2021-09-02,1.3338668800853672,0.015383363479018128,1.0362478324663196,0.0,0.015516406381277287,0.0,candidate
2021-09-03,-3.003419638495359,-0.01231349200149056,-1.9671718060290393,3.003419638495359,0.0032029143797867275,0.01231349200149056,candidate
2021-09-04,-0.1573119215468255,-0.0035006066484161574,-2.124483727575865,3.1607315600421844,-0.0002976922686294299,0.015814098649906717,candidate
2021-09-05,-5.0,-0.07147420388355252,-7.124483727575865,8.160731560042185,-0.07177189615218195,0.08728830253345923,candidate
2021-09-06,-1.0,-0.013772040105257441,-8.124483727575864,9.160731560042183,-0.08554393625743939,0.10106034263871667,candidate
2021-09-07,-1.6153846153846154,-0.031910556417934444,-9.739868342960479,10.776116175426798,-0.11745449267537383,0.13297089905665113,candidate
2021-09-01,-2.0,-0.013474206584411758,-2.0,0.0,-0.013474206584411758,0.0,champion
2021-09-02,0.7692307692307692,0.006794361633033749,-1.2307692307692308,0.0,-0.006679844951378008,0.0,champion
2021-09-03,0.4347826086956521,0.002878705186089986,-0.7959866220735787,0.0,-0.0038011397652880224,0.0,champion
2021-09-04,0.0,0.0,-0.7959866220735787,0.0,-0.0038011397652880224,0.0,champion
2021-09-05,0.0,0.0,-0.7959866220735787,0.0,-0.0038011397652880224,0.0,champion
2021-09-06,0.0,0.0,-0.7959866220735787,0.0,-0.0038011397652880224,0.0,champion
2021-09-07,0.0,0.0,-0.7959866220735787,0.0,-0.0038011397652880224,0.0,champion
