feature,importance_mean,importance_std
away_bat_woba,0.0010717515367837049,0.0005138300112940788
home_L10_ra,0.0010475278218558758,0.0008371607116864874
home_bat_k_rate,0.0004968632331605494,0.0007322221099934665
park_factor,0.0004524121348506327,0.0005453067518454582
away_bb_rate,0.0004438328665388958,0.00043189746951988807
home_k_rate,0.00037082595139832365,0.0001712665234885047
away_k_rate,0.0003600815836207749,0.00019174762935087486
home_bb_rate,0.0003368819774236198,0.00016286271668523777
home_days_rest,0.00021811195681905592,0.00036414037392354793
away_fip,0.00020074084653036727,0.00011965907254329029
home_bat_hard_hit_pct,0.00018414704432482277,9.083537579602832e-05
is_coors,0.00017289893037002456,4.957288645696087e-05
away_xwoba_against,0.0001504128294980811,0.0002911193684746127
temp_f,0.0001486336476748562,0.00029031869529553135
home_xwoba_against,0.00011843052875391003,0.00015554204463023546
home_fip,0.00010502971021878472,0.00012919050214819745
away_fb_velo,0.00010203706404841029,0.0007766769335025303
away_L10_ra,8.595007351639428e-05,6.669043917227708e-05
away_L10_rs,8.187564041630679e-05,0.00021425245569836257
home_bat_woba,2.0732189599537155e-05,0.00017126638226444514
away_bat_iso,1.9771422812742135e-05,0.0003113250061086141
wind_mph,1.0530606456360391e-05,0.00011847472535015741
away_bat_hard_hit_pct,3.1399990211733455e-06,0.00010602371321062027
home_L10_rs,2.438230220569437e-06,8.579883419416441e-05
home_hard_hit_pct,5.117470339599528e-07,0.00013787440790410317
away_hard_hit_pct,-4.695718345892885e-06,0.00012130695283717473
is_dome,-9.374680941098835e-06,1.188149070204088e-05
away_days_rest,-2.6359872658610063e-05,1.314577219444264e-05
home_hr_rate,-6.813825197498069e-05,0.0002707009955801075
home_bat_iso,-8.442808822197722e-05,0.0003396779032969453
away_hr_rate,-0.00011378194572460032,7.962509651720624e-05
home_fb_velo,-0.0001975649976994842,0.00014397369767981508
away_bat_k_rate,-0.0003876091526973546,0.00019936573489424795
wind_out_factor,-0.00040475702077894524,0.00023867949229654443
