batter_id,year,avg_exit_velo,at_bats,avg_launch_angle
444482,2024,82.85365853658537,369,14.831978319783198
453568,2024,80.41111111111111,720,19.699029126213592
455117,2024,81.30666666666667,165,18.86060606060606
455117,2025,80.07278911564626,147,15.08843537414966
456781,2024,81.95921052631579,456,19.146929824561404
456781,2025,83.16281588447653,277,17.787003610108304
457705,2024,82.77168284789644,618,16.5
457705,2025,83.36071922544951,723,16.84
457759,2024,81.42129629629629,864,23.54398148148148
457759,2025,82.21225165562913,302,24.23841059602649
458015,2024,103.5,1,24.0
462101,2024,101.75,2,-20.0
467055,2024,75.1,10,27.7
467793,2024,83.75522580645162,775,17.410553410553412
467793,2025,83.1185582822086,652,18.113496932515336
493329,2024,82.14206349206349,126,23.73015873015873
493329,2025,80.25616438356164,73,31.675675675675677
500743,2024,80.56416666666668,480,12.383333333333333
500743,2025,81.31869369369369,444,14.941704035874439
500871,2024,81.54166666666667,12,15.153846153846153
501303,2024,80.875,36,11.555555555555555
502054,2024,84.65301003344482,598,14.13856427378965
502054,2025,85.17717996289424,539,9.400369003690036
502110,2024,83.42936746987952,664,19.3978978978979
502671,2024,84.49478260869564,920,18.683695652173913
502671,2025,85.1076726342711,782,23.32097186700767
506702,2024,,0,
506702,2025,84.55499999999999,20,23.85
514888,2024,80.94247311827957,930,14.59656652360515
514888,2025,80.86724537037037,864,17.354094579008073
516782,2024,81.6962457337884,586,9.822525597269625
516782,2025,81.08961625282167,443,13.358916478555305
518595,2024,83.64715261958997,439,16.588636363636365
518595,2025,82.56161290322581,310,19.570967741935483
518692,2024,83.21513982642237,1037,17.409047160731472
518692,2025,84.56202270381837,969,17.653250773993808
518735,2024,85.13698630136986,292,13.720136518771332
518792,2024,82.67685950413224,363,12.623626373626374
518792,2025,82.51147540983607,122,12.59016393442623
518934,2024,84.75081967213114,305,12.34640522875817
518934,2025,86.77784431137724,167,13.125748502994012
519058,2024,,0,
519203,2024,82.26412859560068,591,17.00168634064081
519317,2024,87.12875816993464,612,21.207177814029365
519317,2025,86.45748502994012,334,19.059880239520957
521692,2024,84.85444801714898,933,20.474304068522486
521692,2025,84.14238551650692,939,20.335812964930923
527038,2024,79.236312849162,358,23.43854748603352
527038,2025,81.40014598540145,685,21.14868804664723
541645,2024,83.46630434782608,92,13.01086956521739
541650,2024,,0,
542194,2024,80.5028846153846,208,13.842105263157896
542194,2025,84.825,4,22.0
542208,2024,80.72307692307693,13,21.076923076923077
542303,2024,85.01079865016874,889,18.60942760942761
542303,2025,82.98716502115656,709,18.484507042253522
542364,2024,79.79523809523809,21,21.80952380952381
542932,2024,79.3135593220339,118,15.218487394957982
542932,2025,80.37723577235772,123,11.934959349593496
542963,2024,83.3111111111111,18,31.88888888888889
542963,2025,79.72592592592592,27,20.074074074074073
543063,2024,80.12708333333333,96,16.114583333333332
543068,2024,67.9,1,29.0
543228,2024,81.68705035971223,139,22.690647482014388
543257,2024,81.396,275,19.094202898550726
543305,2024,81.74252873563219,87,8.272727272727273
543309,2024,82.47513661202186,366,19.35967302452316
543309,2025,83.49620535714287,448,21.154017857142858
543510,2024,81.48122977346279,309,17.392282958199356
543510,2025,84.89874213836478,159,12.5125
543518,2024,98.8,1,-20.0
543592,2024,,0,
543592,2025,81.69571428571429,70,22.985915492957748
543685,2024,82.5835734870317,347,22.39367816091954
543760,2024,82.44161616161615,990,19.143145161290324
543760,2025,81.98541666666667,768,19.467447916666668
543807,2024,81.69727722772276,808,11.977722772277227
543807,2025,83.51701877934272,852,18.992957746478872
543877,2024,80.95161987041037,463,21.90301724137931
543877,2025,81.8084690553746,307,23.04560260586319
543939,2024,,0,
544725,2024,,0,
545121,2024,82.29602977667494,403,5.844059405940594
545121,2025,83.81630434782609,184,7.494565217391305
545341,2024,85.03205128205128,390,20.046035805626598
545341,2025,85.4370283018868,424,17.776470588235295
545350,2024,74.66666666666667,6,7.333333333333333
545350,2025,,0,
545358,2024,,0,
545358,2025,86.8,2,37.5
545361,2024,82.0651282051282,195,24.821428571428573
545361,2025,83.04111999999999,625,22.945945945945947
546990,2024,,0,
546991,2024,83.66666666666667,9,8.0
546991,2025,84.06666666666666,3,40.0
546994,2024,77.28888888888889,9,22.0
547180,2024,83.55538461538461,910,17.55750273822563
547180,2025,83.8450184501845,813,15.954545454545455
547379,2024,97.3,1,-32.0
547989,2024,82.54388888888889,180,13.316666666666666
553869,2024,81.52891089108911,505,14.274703557312254
553869,2025,81.73274853801169,342,20.83139534883721
553882,2024,79.28606557377049,122,22.581967213114755
553882,2025,80.92903225806452,31,20.419354838709676
553988,2025,,0,
553993,2024,83.17481662591688,818,19.195121951219512
553993,2025,83.72437641723356,882,18.640589569160998
570481,2024,,0,
570482,2024,80.71951219512195,738,15.720867208672086
570482,2025,81.45992366412214,262,13.33206106870229
570560,2024,70.625,4,-24.25
571448,2024,82.32850971922245,926,20.09611231101512
571448,2025,83.25961538461539,624,20.2928
571466,2024,75.0,105,4.533333333333333
571466,2025,79.22500000000001,28,21.357142857142858
571657,2024,81.85263157894737,323,18.154798761609907
571657,2025,83.07193396226415,424,18.032941176470587
571745,2024,84.43264887063654,487,14.763265306122449
571771,2024,83.08941368078176,614,20.556818181818183
571771,2025,83.7546511627907,430,20.68445475638051
571875,2024,81.61666666666666,18,29.88888888888889
571875,2025,82.28461538461539,13,36.92307692307692
571912,2024,78.58296703296703,182,14.351648351648352
571912,2025,79.41549295774648,71,18.40277777777778
571970,2024,83.74103896103895,385,23.714285714285715
571970,2025,84.56371841155236,554,20.771171171171172
572039,2024,,0,
572138,2024,83.3365909090909,440,18.486363636363638
572138,2025,78.925,16,8.875
572191,2024,81.2667673716012,331,16.8018018018018
572191,2025,81.57786666666667,375,20.424
572204,2024,,0,
572204,2025,78.925,4,26.5
572228,2024,82.625,12,16.166666666666668
572233,2024,83.15907960199004,804,22.27577639751553
572233,2025,83.57927400468384,854,21.023391812865498
572761,2024,79.24102564102564,195,19.08205128205128
573262,2024,84.20779436152571,603,20.47927031509121
573262,2025,84.49424364123159,747,23.04272363150868
575929,2024,83.51080459770114,435,17.579310344827586
575929,2025,83.66591549295775,710,14.382022471910112
578428,2024,80.81431192660551,545,12.680073126142595
578428,2025,79.7920731707317,492,10.610547667342798
592178,2024,80.39839572192513,187,17.914438502673796
592178,2025,81.14,65,14.738461538461538
592192,2024,81.295,620,16.10950080515298
592192,2025,83.2489010989011,182,21.67032967032967
592200,2024,79.45759493670886,158,13.955696202531646
592200,2025,,0,
592205,2024,,0,
592206,2024,82.280404685836,939,16.22553191489362
592206,2025,81.08489289740699,887,14.929292929292929
592273,2024,82.46008492569001,471,11.60126582278481
592273,2025,97.4,10,6.0
592325,2024,82.56666666666666,93,15.838709677419354
592325,2025,72.825,4,34.75
592348,2024,80.93255813953488,43,-0.6363636363636364
592348,2025,95.1,2,-16.0
592450,2024,87.60429234338747,862,22.294663573085845
592450,2025,87.72618421052631,760,20.42763157894737
592518,2024,85.64012738853503,942,21.258474576271187
592518,2025,85.42956705385429,947,21.746315789473684
592622,2024,90.25,2,59.5
592626,2024,84.37708333333333,576,22.38715277777778
592626,2025,85.8548872180451,399,20.86284289276808
592663,2024,83.49983277591973,598,15.592654424040067
592663,2025,83.68398486759142,793,15.3874213836478
592669,2024,83.48290441176471,544,18.60183486238532
592669,2025,84.58782051282051,156,17.07051282051282
592696,2024,82.95353773584907,424,15.785377358490566
592696,2025,86.32222222222222,9,22.77777777777778
592885,2024,83.87610837438423,406,7.830466830466831
592885,2025,83.57739975698664,823,9.45995145631068
593160,2024,79.34361054766734,493,19.551724137931036
593428,2024,82.62472952086553,647,11.749613601236476
593428,2025,84.29880239520958,668,12.209509658246656
593871,2024,83.29656946826758,583,22.308747855917666
593871,2025,84.82173913043479,782,17.795165394402037
593934,2024,85.3048,125,12.408
594807,2024,82.16235011990408,417,21.930455635491608
595281,2024,79.73801169590644,342,10.932944606413994
595284,2024,83.72,5,6.0
595453,2024,69.4,1,38.0
595453,2025,83.08,5,4.2
595751,2024,,0,
595751,2025,78.85932203389831,59,16.45762711864407
595777,2024,84.3,1019,17.400980392156864
595777,2025,83.91869328493648,551,20.597472924187727
595879,2024,82.02102564102564,390,14.171794871794871
595879,2025,81.34180327868853,610,12.31045751633987
595909,2024,80.97577002053387,487,11.538934426229508
595943,2024,,0,
595956,2024,81.3,3,61.666666666666664
595978,2024,77.97170731707317,205,21.111650485436893
595978,2025,80.34979919678715,249,24.12
596019,2024,85.6952963311383,1063,19.559736594543743
596019,2025,84.20094161958568,1062,19.430985915492958
596103,2024,83.18273092369478,249,16.843373493975903
596103,2025,84.61555555555556,225,16.36
596115,2024,81.22230215827338,139,22.928571428571427
596115,2025,83.86879823594266,907,19.97914379802415
596117,2024,75.48921933085501,269,19.855555555555554
596117,2025,81.34444444444445,9,4.333333333333333
596129,2024,86.98105263157896,95,12.15625
596142,2024,83.16813880126183,317,15.400630914826499
596142,2025,85.74761904761905,126,17.212598425196852
596146,2024,82.38947368421053,570,18.24693520140105
596146,2025,83.80453172205438,662,19.826283987915406
596847,2024,81.9235294117647,17,13.529411764705882
600869,2024,82.04168039538716,607,11.774299835255354
600869,2025,82.0142857142857,133,14.022556390977444
