bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.10-0.30,0.1,0.3,34,12,8.535232,0.251,0.3529,0.2149,0.5209,0.306,True
0.30-0.40,0.3,0.4,95,38,36.151532,0.3805,0.4,0.3072,0.5005,0.1933,True
0.40-0.50,0.4,0.5,448,203,203.064308,0.4533,0.4531,0.4076,0.4994,0.0918,True
0.50-0.70,0.5,0.7,157,81,84.199325,0.5363,0.5159,0.4383,0.5928,0.1545,True
