precision,recall,threshold
0.455,1.0,0.1723
0.4543,0.997,0.191
0.4549,0.997,0.1946
0.4555,0.997,0.2086
0.4562,0.997,0.2164
0.4568,0.997,0.2169
0.4574,0.997,0.2259
0.4567,0.994,0.2311
0.4559,0.991,0.2361
0.4552,0.988,0.237
0.4558,0.988,0.2371
0.4564,0.988,0.2397
0.4571,0.988,0.2405
0.4577,0.988,0.2409
0.4583,0.988,0.2475
0.4576,0.985,0.2506
0.4582,0.985,0.2515
0.4575,0.982,0.2527
0.4581,0.982,0.2538
0.4587,0.982,0.2575
0.4594,0.982,0.2584
0.46,0.982,0.2653
0.4607,0.982,0.2749
0.4599,0.979,0.2767
0.4592,0.976,0.277
0.4584,0.9731,0.2786
0.4576,0.9701,0.2798
0.4583,0.9701,0.2846
0.4589,0.9701,0.2854
0.4596,0.9701,0.2859
0.4602,0.9701,0.2891
0.4595,0.9671,0.2895
0.4587,0.9641,0.2928
0.4593,0.9641,0.2959
0.46,0.9641,0.3295
0.4592,0.9611,0.3308
0.4585,0.9581,0.3364
0.4591,0.9581,0.3381
0.4598,0.9581,0.3459
0.459,0.9551,0.3467
0.4597,0.9551,0.3501
0.4603,0.9551,0.3502
0.461,0.9551,0.3524
0.4602,0.9521,0.3557
0.4609,0.9521,0.3593
0.4615,0.9521,0.3625
0.4622,0.9521,0.3625
0.4629,0.9521,0.363
0.4636,0.9521,0.3636
0.4628,0.9491,0.3646
0.4635,0.9491,0.365
0.4627,0.9461,0.3666
0.4619,0.9431,0.3678
0.4611,0.9401,0.3683
0.4603,0.9371,0.369
0.461,0.9371,0.3694
0.4602,0.9341,0.3707
0.4609,0.9341,0.3707
0.4615,0.9341,0.3708
0.4607,0.9311,0.3715
0.4614,0.9311,0.3728
0.4606,0.9281,0.3742
0.4613,0.9281,0.3756
0.462,0.9281,0.3766
0.4627,0.9281,0.3781
0.4634,0.9281,0.3784
0.4626,0.9251,0.3785
0.4618,0.9222,0.3788
0.4625,0.9222,0.3789
0.4617,0.9192,0.379
0.4608,0.9162,0.3791
0.46,0.9132,0.3793
0.4592,0.9102,0.3793
0.4599,0.9102,0.3794
0.4606,0.9102,0.3809
0.4613,0.9102,0.3812
0.4605,0.9072,0.3822
0.4612,0.9072,0.3824
0.4604,0.9042,0.3828
0.4611,0.9042,0.3832
0.4602,0.9012,0.3837
0.4594,0.8982,0.3854
0.4601,0.8982,0.3859
0.4608,0.8982,0.3859
0.4615,0.8982,0.3861
0.4622,0.8982,0.3861
0.463,0.8982,0.3865
0.4637,0.8982,0.387
0.4644,0.8982,0.3872
0.4651,0.8982,0.3873
0.4658,0.8982,0.3873
0.4666,0.8982,0.3878
0.4657,0.8952,0.3882
0.4649,0.8922,0.3882
0.4656,0.8922,0.3883
0.4664,0.8922,0.3887
0.4671,0.8922,0.3899
0.4678,0.8922,0.3902
0.467,0.8892,0.391
0.4677,0.8892,0.3927
0.4685,0.8892,0.3929
0.4692,0.8892,0.3933
0.4684,0.8862,0.3941
0.4675,0.8832,0.3942
0.4683,0.8832,0.3943
0.4674,0.8802,0.3943
0.4682,0.8802,0.3944
0.4673,0.8772,0.3954
0.4681,0.8772,0.3958
0.4672,0.8743,0.3959
0.4679,0.8743,0.3964
0.4671,0.8713,0.397
0.4662,0.8683,0.397
0.4654,0.8653,0.3972
0.4661,0.8653,0.3973
0.4669,0.8653,0.3978
0.4676,0.8653,0.3978
0.4684,0.8653,0.3986
0.4692,0.8653,0.3988
0.4683,0.8623,0.3988
0.4674,0.8593,0.399
0.4682,0.8593,0.399
0.469,0.8593,0.3993
0.4681,0.8563,0.3993
0.4689,0.8563,0.3995
0.4696,0.8563,0.3996
0.4688,0.8533,0.3998
0.4695,0.8533,0.4
0.4703,0.8533,0.4
0.4694,0.8503,0.4003
0.4685,0.8473,0.4011
0.4693,0.8473,0.4017
0.4701,0.8473,0.4022
0.4709,0.8473,0.4031
0.47,0.8443,0.4032
0.4691,0.8413,0.4036
0.4699,0.8413,0.4037
0.4707,0.8413,0.4042
0.4715,0.8413,0.4046
0.4723,0.8413,0.4052
0.4731,0.8413,0.4054
0.4739,0.8413,0.4054
0.473,0.8383,0.4055
0.4721,0.8353,0.4062
0.4729,0.8353,0.4066
0.472,0.8323,0.4066
0.4711,0.8293,0.4069
0.4719,0.8293,0.4071
0.4727,0.8293,0.4072
0.4718,0.8263,0.4075
0.4709,0.8234,0.4077
0.4717,0.8234,0.4083
0.4725,0.8234,0.4085
0.4733,0.8234,0.409
0.4741,0.8234,0.4096
0.475,0.8234,0.4101
0.4758,0.8234,0.4101
0.4766,0.8234,0.4102
0.4757,0.8204,0.4104
