feature,mean_abs_shap,mean_shap,value_shap_corr,shap_method
away_bat_woba,0.004874486363101901,-0.00030965837945107466,-0.9465,tree
away_k_rate,0.004101826218569959,-0.00016335105782123695,-0.9521,tree
is_coors,0.003754306393073669,-0.00023432384290617984,-0.9809,tree
home_days_rest,0.003347636617332429,0.00027393820644391003,-0.9095,tree
away_L10_wr,0.0028232606025560035,0.00028819874050441097,-0.7872,tree
away_bat_k_rate,0.0025614563025641475,0.0002458306985586978,0.9341,tree
away_L10_rs,0.0025527071112325796,-0.0005671280022872255,-0.9485,tree
home_bat_k_rate,0.002416688495826658,7.096588576853572e-05,-0.7481,tree
away_fb_velo,0.0022937456301741622,-0.0004920500911336071,-0.9121,tree
home_fb_velo,0.0020927655280673064,0.0005947901937089004,0.7997,tree
away_bat_iso,0.002049471802047536,-0.0004653956736617258,-0.6937,tree
away_L10_ra,0.0019104508494912598,0.0005613334509361662,0.8273,tree
home_L10_ra,0.001742711233987921,-0.00015763135673531428,-0.8442,tree
home_L10_wr,0.0016716472722175105,-0.00012225782191683783,0.6681,tree
away_is_lefty,0.0014263739874154301,8.108227893177387e-05,-0.8712,tree
home_k_rate,0.001416114215338554,-6.576294320023368e-05,0.5844,tree
away_fip,0.0012275167198414385,0.00024985523314308703,0.8742,tree
home_bat_iso,0.0010865340928179095,0.00041668156481677513,0.5464,tree
home_bb_rate,0.000872701493436729,3.643119726054433e-06,-0.2057,tree
away_hard_hit_pct,0.0007629660248655295,0.00012405835191064193,0.7965,tree
away_bat_hard_hit_pct,0.0007072819278728599,-0.00018902526767685814,-0.5832,tree
park_factor,0.0006729960739526678,7.16700942271533e-05,-0.7156,tree
away_xwoba_against,0.0006677657644129205,1.7042559288387982e-05,0.7581,tree
home_xwoba_against,0.0006403635602815907,-1.2322870719099224e-05,-0.6834,tree
wind_out_factor,0.0006233237064447576,0.00012218157594670088,0.6292,tree
home_is_lefty,0.0005579380477756303,1.6038284000925822e-05,-0.738,tree
away_hr_rate,0.0004934160039000701,0.0001151729753586937,0.7811,tree
temp_f,0.0004781421071782477,-0.00034969249371543396,-0.4528,tree
home_bat_woba,0.0004611345689929465,-7.433663350946848e-05,0.1399,tree
is_dome,0.0004526477485037347,4.6802326828255184e-05,-0.7533,tree
home_L10_rs,0.00043725514305634205,8.93096673534701e-05,0.4378,tree
home_fip,0.00043686550838904564,4.860450900058568e-05,0.1499,tree
wind_mph,0.000424406750997485,-0.00038274369351300484,0.176,tree
home_hr_rate,0.00042392476741575334,6.599028067021092e-05,0.704,tree
home_bat_hard_hit_pct,0.00039635860924589427,0.00023089427407864036,0.4505,tree
away_bb_rate,0.00039005677625372076,0.0001025338706055125,0.5317,tree
home_hard_hit_pct,0.0002835043056062992,-2.9108935177790922e-05,-0.4753,tree
away_days_rest,0.00022286195009979328,5.963835529651662e-05,0.6709,tree
