feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_k_rate,,,0.0014851863810700805,2,0.004101826218569959,2,0.002627,-0.019676,7,3.67
is_coors,,,0.0019474535327925423,1,0.003754306393073669,3,0.00187,-0.014077,12,5.33
away_xwoba_against,,,0.0006181122833946895,5,0.0006677657644129205,23,0.0036,-0.026681,2,10.0
away_L10_ra,,,0.0007835675494808902,3,0.0019104508494912598,12,0.001646,-0.010054,15,10.0
home_bb_rate,,,0.0004713802914141807,6,0.000872701493436729,19,0.002714,-0.017613,6,10.33
home_bat_k_rate,,,0.0004632179870567521,7,0.002416688495826658,8,0.001599,-0.019319,16,10.33
home_bat_iso,,,0.0003712020296176788,12,0.0010865340928179095,18,0.006443,-0.043405,1,10.33
away_bat_k_rate,,,0.00045768690811172076,8,0.0025614563025641475,6,0.000781,-0.0045,29,14.33
away_is_lefty,,,0.0001650998562932604,20,0.0014263739874154301,15,0.00204,-0.021695,10,15.0
away_fb_velo,,,0.00038276502872079953,11,0.0022937456301741622,9,0.00115,-0.01401,26,15.33
home_hr_rate,,,0.000619015821813762,4,0.00042392476741575334,34,0.002375,-0.018693,9,15.67
home_k_rate,,,-7.910803815451839e-05,28,0.001416114215338554,16,0.002793,-0.016877,5,16.33
home_L10_ra,,,0.00033450810691970645,13,0.001742711233987921,13,0.00119,-0.019605,23,16.33
away_fip,,,0.0002745889584918171,15,0.0012275167198414385,17,0.001388,-0.020889,19,17.0
home_bat_hard_hit_pct,,,0.0002758388554497726,14,0.00039635860924589427,35,0.003027,-0.025964,4,17.67
home_fb_velo,,,-0.0007004948502027153,36,0.0020927655280673064,10,0.002586,-0.024344,8,18.0
home_days_rest,,,-0.0022328123437951207,38,0.003347636617332429,4,0.001653,-0.019496,14,18.67
away_bb_rate,,,0.0004337101821154543,9,0.00039005677625372076,36,0.001884,-0.01037,11,18.67
home_hard_hit_pct,,,0.00021948235131049598,17,0.0002835043056062992,37,0.003043,-0.02343,3,19.0
away_L10_wr,,,-0.00015737395601517212,31,0.0028232606025560035,5,0.001242,-0.012999,22,19.33
home_xwoba_against,,,0.0004092663524245421,10,0.0006403635602815907,24,0.000898,-0.011414,27,20.33
away_L10_rs,,,-0.0005614764391030036,35,0.0025527071112325796,7,0.001262,-0.010875,20,20.67
away_bat_iso,,,-0.0004399152125332706,33,0.002049471802047536,11,0.001254,-0.012449,21,21.67
home_bat_woba,,,0.00018753743090228482,19,0.0004611345689929465,29,0.001186,-0.018643,25,24.33
away_bat_woba,,,-0.0009284776916862359,37,0.004874486363101901,1,7e-06,-0.009999,35,24.33
home_fip,,,0.0002105939898931597,18,0.00043686550838904564,32,0.001188,-0.017591,24,24.67
away_hard_hit_pct,,,0.00016138761212853848,21,0.0007629660248655295,20,0.000184,-0.007619,33,24.67
away_days_rest,,,0.00010628976940644242,23,0.00022286195009979328,38,0.001834,-0.02072,13,24.67
temp_f,,,0.00027202370312933154,16,0.0004781421071782477,28,0.00021,-0.003351,32,25.33
wind_out_factor,,,-0.00045880615207796185,34,0.0006233237064447576,25,0.001429,-0.012592,18,25.67
park_factor,,,5.989983803744714e-05,25,0.0006729960739526678,22,0.000362,-0.005028,31,26.0
away_bat_hard_hit_pct,,,0.00013919562959664457,22,0.0007072819278728599,21,-0.000174,-0.002151,36,26.33
home_is_lefty,,,6.391548002622205e-05,24,0.0005579380477756303,26,0.000656,-0.01236,30,26.67
wind_mph,,,-0.00010511838461562118,30,0.000424406750997485,33,0.001566,-0.011055,17,26.67
home_L10_wr,,,-0.0001041823801297248,29,0.0016716472722175105,14,-0.001448,-0.002911,38,27.0
away_hr_rate,,,1.3804240761261522e-05,27,0.0004934160039000701,27,0.000851,-0.009214,28,27.33
home_L10_rs,,,4.3838964305698005e-05,26,0.00043725514305634205,31,-0.000189,-0.004814,37,31.33
is_dome,,,-0.00017339562772309414,32,0.0004526477485037347,30,1e-05,-0.007686,34,32.0
