fpr,tpr,threshold
0.0,0.0,inf
0.0025,0.0,0.6649
0.0025,0.006,0.6454
0.005,0.006,0.6242
0.005,0.015,0.605
0.0075,0.015,0.6042
0.0075,0.021,0.6032
0.0125,0.021,0.5934
0.0125,0.024,0.5879
0.02,0.024,0.5811
0.02,0.0269,0.5774
0.025,0.0269,0.574
0.025,0.0389,0.5651
0.03,0.0389,0.5628
0.03,0.0479,0.5607
0.04,0.0479,0.556
0.04,0.0509,0.5559
0.045,0.0509,0.5536
0.045,0.0539,0.5529
0.05,0.0539,0.551
0.05,0.0599,0.5504
0.0525,0.0599,0.5502
0.0525,0.0659,0.5457
0.055,0.0659,0.5454
0.055,0.0749,0.5433
0.0625,0.0749,0.5424
0.0625,0.0778,0.5424
0.075,0.0778,0.5388
0.075,0.0838,0.538
0.0775,0.0838,0.5378
0.0775,0.0958,0.5359
0.08,0.0958,0.5349
0.08,0.0988,0.534
0.0825,0.0988,0.5339
0.0825,0.1018,0.533
0.085,0.1018,0.5323
0.085,0.1048,0.5316
0.09,0.1048,0.5296
0.09,0.1078,0.5295
0.0925,0.1078,0.5292
0.0925,0.1108,0.5291
0.095,0.1108,0.5291
0.095,0.1198,0.528
0.0975,0.1198,0.5279
0.0975,0.1228,0.5271
0.1025,0.1228,0.5267
0.1025,0.1347,0.5255
0.105,0.1347,0.5254
0.105,0.1377,0.5253
0.11,0.1377,0.5246
0.11,0.1437,0.5242
0.1175,0.1437,0.524
0.1175,0.1497,0.5238
0.12,0.1497,0.5232
0.12,0.1527,0.5229
0.1225,0.1527,0.5222
0.1225,0.1557,0.5222
0.14,0.1557,0.518
0.14,0.1587,0.5176
0.1475,0.1587,0.5155
0.1475,0.1677,0.5122
0.15,0.1677,0.5121
0.15,0.1766,0.5108
0.17,0.1766,0.5084
0.17,0.2006,0.5062
0.1725,0.2006,0.5054
0.1725,0.2156,0.5041
0.175,0.2156,0.5036
0.175,0.2246,0.503
0.18,0.2246,0.5025
0.18,0.2275,0.5025
0.185,0.2275,0.5019
0.185,0.2365,0.5013
0.19,0.2365,0.5005
0.19,0.2425,0.5001
0.1925,0.2425,0.4998
0.1925,0.2485,0.4996
0.2025,0.2485,0.4985
0.2025,0.2545,0.498
0.205,0.2545,0.4978
0.205,0.2605,0.4976
0.2075,0.2605,0.4974
0.2075,0.2695,0.4973
0.22,0.2695,0.4956
0.22,0.2754,0.4954
0.2225,0.2754,0.4949
0.2225,0.2784,0.4941
0.225,0.2784,0.4941
0.225,0.2814,0.4938
0.2275,0.2814,0.4936
0.2275,0.2844,0.4932
0.23,0.2844,0.4927
0.23,0.2904,0.4923
0.235,0.2904,0.4917
0.235,0.2964,0.4914
0.24,0.2964,0.491
0.24,0.2994,0.491
0.245,0.2994,0.4904
0.245,0.3024,0.4896
0.2475,0.3024,0.4895
0.2475,0.3054,0.4895
0.255,0.3054,0.489
0.255,0.3174,0.4886
0.2625,0.3174,0.4882
0.2625,0.3323,0.4872
0.2825,0.3323,0.4852
0.2825,0.3353,0.4851
0.2875,0.3353,0.485
0.2875,0.3413,0.4848
0.2975,0.3413,0.4842
0.2975,0.3443,0.4838
0.305,0.3443,0.4834
0.305,0.3503,0.4831
0.31,0.3503,0.4823
0.31,0.3533,0.4823
0.3125,0.3533,0.4822
0.3125,0.3623,0.4815
0.315,0.3623,0.4814
0.315,0.3653,0.4813
0.3225,0.3653,0.4806
0.3225,0.3713,0.4804
0.325,0.3713,0.4802
0.325,0.3802,0.4797
0.3275,0.3802,0.4796
