feature,gain,gain_pct
away_k_rate,751.9964802265167,7.46
away_bat_woba,667.2568702697754,6.62
home_bat_iso,470.70350766181946,4.67
wind_mph,464.9575901031494,4.61
home_bat_hard_hit_pct,449.3590211868286,4.46
home_L10_ra,420.1282398700714,4.17
away_hard_hit_pct,394.3573794364929,3.91
home_fb_velo,390.2612907886505,3.87
away_bb_rate,349.8136601448059,3.47
away_L10_rs,347.49501037597656,3.45
park_factor,337.60974073410034,3.35
away_fb_velo,336.07806062698364,3.33
home_k_rate,303.562940120697,3.01
temp_f,296.0877013206482,2.94
home_bat_k_rate,283.5354323387146,2.81
home_bb_rate,278.1759309768677,2.76
away_bat_k_rate,272.9163489341736,2.71
home_hard_hit_pct,268.3445488214493,2.66
wind_out_factor,265.84645080566406,2.64
home_fip,258.6307290792465,2.56
away_bat_hard_hit_pct,258.5527597665787,2.56
away_bat_iso,254.11606001853943,2.52
away_L10_wr,241.6511414051056,2.4
away_xwoba_against,240.7765805721283,2.39
away_fip,227.27662992477417,2.25
away_L10_ra,224.4098002910614,2.23
home_bat_woba,221.3153611421585,2.19
home_days_rest,172.5834083557129,1.71
home_hr_rate,130.08386945724487,1.29
home_L10_wr,124.47272157669067,1.23
home_xwoba_against,118.91945910453796,1.18
home_L10_rs,116.76475954055786,1.16
away_hr_rate,104.91826963424683,1.04
away_days_rest,36.49757957458496,0.36
is_dome,5.1939802169799805,0.05
home_is_lefty,0.0,0.0
away_is_lefty,0.0,0.0
is_coors,0.0,0.0
