feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank,stability,rank_std_across_folds,fold_count,outcome_correlation,mean_shap,value_shap_corr,direction,method_agreement,methods_available,confidence,engineering_verdict,verdict_reason
away_is_lefty,,,-0.0002189848700165,27,0.0026824277554365,24,0.001172,-0.002654,8,19.67,0.8875,2.082,4,0.0166,-0.0026824277554365,-0.9975,NEGATIVE,0.4479,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001172 when this feature was dropped, mean_rank 19.67/38, stability 0.8875, agreement Low"
away_fb_velo,,,-0.0005575631168451,35,0.0066538772810634,12,0.00058,-0.002941,14,20.33,0.466,9.878,4,-0.0184,0.0002859394692586,-0.9621,NEGATIVE,0.3113,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000580 when this feature was dropped, mean_rank 20.33/38, stability 0.466, agreement Low"
away_bat_iso,,,-0.0003037364501577,30,0.0039398290464311,21,0.000366,-0.00157,16,22.33,0.844,2.887,4,-0.0334,0.0011578593729508,-0.9469,NEGATIVE,0.6165,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000366 when this feature was dropped, mean_rank 22.33/38, stability 0.844, agreement Low"
away_bat_woba,,,-0.0014210822981323,38,0.0187280031659615,5,2.6e-05,0.006227,24,22.33,0.2187,14.454,4,-0.0461,-0.0009079139041591,-0.9917,NEGATIVE,0.1047,3,Low,INVESTIGATE,"rank stability 0.2187 < 0.5 across 4 walk-forward folds (fold ranks [38, 28, 6, 35]), mean_rank 22.33/38, agreement Low"
away_bat_hard_hit_pct,,,4.7896982237738414e-05,17,0.0013434130568221,33,0.000284,-0.001004,19,23.0,0.5556,8.221,4,-0.023,-0.0009147826814196,-0.3505,NEGATIVE,0.5288,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000284 when this feature was dropped, mean_rank 23.0/38, stability 0.5556, agreement Low"
away_L10_wr,,,-0.000328343615325,31,0.0023188115138533,27,0.000563,-0.003003,15,24.33,0.1206,16.269,4,-0.0316,1.3250105617292896e-05,-0.8897,NEGATIVE,0.5499,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000563 when this feature was dropped, mean_rank 24.33/38, stability 0.1206, agreement Low"
away_k_rate,,,-0.0002644578062907,29,0.0024083243316447,26,0.000257,-0.001551,20,25.0,0.3583,11.871,4,-0.0421,-0.000122864430902,0.1391,POSITIVE,0.7523,3,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000257 when this feature was dropped, mean_rank 25.0/38, stability 0.3583, agreement Medium"
away_L10_rs,,,-0.0010870311731499,37,0.0050206738685663,16,0.000138,0.002568,22,25.0,0.2453,13.961,4,-0.021,0.0002529604372162,-0.9383,NEGATIVE,0.4153,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000138 when this feature was dropped, mean_rank 25.0/38, stability 0.2453, agreement Low"
away_days_rest,,,-8.502990209842131e-05,25,0.0008501862843698,34,0.000357,-0.001377,17,25.33,0.6716,6.076,4,0.0084,0.0001284842770677,-0.9662,NEGATIVE,0.5403,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000357 when this feature was dropped, mean_rank 25.33/38, stability 0.6716, agreement Low"
home_days_rest,,,-0.0008159009358345,36,0.005540978143378,15,-0.000124,0.000817,28,26.33,0.7543,4.546,4,0.0067,-0.0013076819216283,-0.9814,NEGATIVE,0.4271,3,Low,KEEP,"mean_rank 26.33/38, stability 0.7543, agreement Low, walk-forward ablation delta -0.000124"
home_bat_woba,,,-1.3019511512646354e-05,24,0.0021796685915517,29,-9.1e-05,-0.000207,27,26.67,0.4203,10.724,4,0.0714,-0.0007687403994771,-0.8801,NEGATIVE,0.864,3,High,RE-ENCODE,"point-biserial correlation with outcome +0.0714 exceeds 0.05 but mean_rank 26.67/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.000091)"
is_coors,,,0.0003689581506419,11,0.000769280290606,35,-0.000485,0.005133,34,26.67,0.3949,11.195,4,-0.0713,-0.000769280290606,-0.9965,NEGATIVE,0.2661,3,Low,RE-ENCODE,"point-biserial correlation with outcome -0.0713 exceeds 0.05 but mean_rank 26.67/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.000485)"
home_L10_rs,,,3.453407989032486e-05,20,0.0014722681493343,32,-0.000214,0.005266,31,27.67,0.7838,4.0,4,0.0395,-0.000169619695211,-0.9274,NEGATIVE,0.6401,3,Low,KEEP,"mean_rank 27.67/38, stability 0.7838, agreement Low, walk-forward ablation delta -0.000214"
wind_out_factor,,,-0.0005286431978253,34,0.0022501221226351,28,0.000159,0.002268,21,27.67,0.3568,11.899,4,-0.0696,-0.0002778382738985,0.9362,POSITIVE,0.6483,3,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000159 when this feature was dropped, mean_rank 27.67/38, stability 0.3568, agreement Low"
temp_f,,,-0.0003895818093549,33,0.0043014701691613,20,-0.000296,-0.002372,32,28.33,0.5118,9.032,4,0.0109,-0.0003058428369876,-0.9923,NEGATIVE,0.609,3,Low,KEEP,"mean_rank 28.33/38, stability 0.5118, agreement Low, walk-forward ablation delta -0.000296"
home_hard_hit_pct,,,1.1418756502190596e-05,21,0.0006599570094734,36,-0.000136,0.002198,29,28.67,0.4246,10.646,4,0.0022,-9.18334269503285e-05,0.5723,POSITIVE,0.5943,3,Low,INVESTIGATE,"rank stability 0.4246 < 0.5 across 4 walk-forward folds (fold ranks [15, 33, 29, 11]), mean_rank 28.67/38, agreement Low"
wind_mph,,,-5.881683320307918e-06,23,0.0015943116656353,31,-0.000392,-0.001275,33,29.0,0.3127,12.715,4,0.0259,-6.866352144027688e-06,0.963,POSITIVE,0.714,3,Medium,INVESTIGATE,"rank stability 0.3127 < 0.5 across 4 walk-forward folds (fold ranks [9, 16, 38, 15]), mean_rank 29.0/38, agreement Medium"
home_is_lefty,,,3.690710268480224e-05,19,0.0006505144224191,37,-0.001337,0.009137,36,30.67,0.4155,10.813,4,0.0182,0.0006505144224191,0.9367,POSITIVE,0.4532,3,Low,INVESTIGATE,"rank stability 0.4155 < 0.5 across 4 walk-forward folds (fold ranks [21, 26, 11, 37]), mean_rank 30.67/38, agreement Low"
park_factor,,,-0.0003688623285826,32,0.0025769922294477,25,-0.001284,0.005329,35,30.67,0.4722,9.764,4,-0.0668,-0.000980525462551,0.9382,POSITIVE,0.7226,3,Medium,RE-ENCODE,"point-biserial correlation with outcome -0.0668 exceeds 0.05 but mean_rank 30.67/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.001284)"
is_dome,,,-3.769176920831452e-06,22,0.000297739161149,38,-0.001423,0.009607,37,32.33,0.6716,6.076,4,0.0427,9.370437835129124e-05,0.7439,POSITIVE,0.5155,3,Low,KEEP,"mean_rank 32.33/38, stability 0.6716, agreement Low, walk-forward ablation delta -0.001423"
