feature,baseline_log_loss,log_loss_without,log_loss_delta,baseline_auc,auc_without,auc_delta
home_bat_iso,0.686942,0.693255,0.006313,0.553807,0.522078,-0.031729
away_bat_k_rate,0.686942,0.68997,0.003027,0.553807,0.550421,-0.003387
away_xwoba_against,0.686942,0.689719,0.002777,0.553807,0.54548,-0.008327
away_L10_ra,0.686942,0.689557,0.002614,0.553807,0.543688,-0.01012
home_bb_rate,0.686942,0.688554,0.001612,0.553807,0.548152,-0.005655
home_L10_wr,0.686942,0.688531,0.001588,0.553807,0.549298,-0.004509
home_L10_ra,0.686942,0.688497,0.001554,0.553807,0.549449,-0.004358
away_is_lefty,0.686942,0.688114,0.001172,0.553807,0.551153,-0.002654
home_k_rate,0.686942,0.68804,0.001098,0.553807,0.546103,-0.007704
home_hr_rate,0.686942,0.687843,0.000901,0.553807,0.552809,-0.000998
away_fip,0.686942,0.687842,0.0009,0.553807,0.551212,-0.002595
home_bat_k_rate,0.686942,0.687785,0.000842,0.553807,0.551422,-0.002385
home_bat_hard_hit_pct,0.686942,0.68759,0.000648,0.553807,0.555373,0.001566
away_fb_velo,0.686942,0.687523,0.00058,0.553807,0.550866,-0.002941
away_L10_wr,0.686942,0.687506,0.000563,0.553807,0.550804,-0.003003
away_bat_iso,0.686942,0.687308,0.000366,0.553807,0.552237,-0.00157
away_days_rest,0.686942,0.6873,0.000357,0.553807,0.55243,-0.001377
away_hard_hit_pct,0.686942,0.687295,0.000352,0.553807,0.555707,0.0019
away_bat_hard_hit_pct,0.686942,0.687226,0.000284,0.553807,0.552803,-0.001004
away_k_rate,0.686942,0.687199,0.000257,0.553807,0.552256,-0.001551
wind_out_factor,0.686942,0.687102,0.000159,0.553807,0.556075,0.002268
away_L10_rs,0.686942,0.68708,0.000138,0.553807,0.556375,0.002568
home_fb_velo,0.686942,0.687004,6.2e-05,0.553807,0.552561,-0.001246
away_bat_woba,0.686942,0.686968,2.6e-05,0.553807,0.560034,0.006227
home_fip,0.686942,0.686936,-7e-06,0.553807,0.552499,-0.001308
home_xwoba_against,0.686942,0.686913,-2.9e-05,0.553807,0.552915,-0.000892
home_bat_woba,0.686942,0.686851,-9.1e-05,0.553807,0.5536,-0.000207
home_days_rest,0.686942,0.686818,-0.000124,0.553807,0.554625,0.000817
home_hard_hit_pct,0.686942,0.686807,-0.000136,0.553807,0.556006,0.002198
away_hr_rate,0.686942,0.686732,-0.00021,0.553807,0.557808,0.004001
home_L10_rs,0.686942,0.686729,-0.000214,0.553807,0.559073,0.005266
temp_f,0.686942,0.686646,-0.000296,0.553807,0.551435,-0.002372
wind_mph,0.686942,0.686551,-0.000392,0.553807,0.552532,-0.001275
is_coors,0.686942,0.686457,-0.000485,0.553807,0.55894,0.005133
park_factor,0.686942,0.685659,-0.001284,0.553807,0.559136,0.005329
home_is_lefty,0.686942,0.685606,-0.001337,0.553807,0.562945,0.009137
is_dome,0.686942,0.685519,-0.001423,0.553807,0.563414,0.009607
away_bb_rate,0.686942,0.685412,-0.00153,0.553807,0.561555,0.007747
