fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0027,0.6448
0.0,0.0054,0.6388
0.0045,0.0054,0.62
0.0045,0.0082,0.6153
0.0112,0.0082,0.6026
0.0112,0.0109,0.6005
0.0201,0.0109,0.5932
0.0201,0.0136,0.5926
0.0224,0.0136,0.5907
0.0224,0.0245,0.5778
0.0291,0.0245,0.5729
0.0291,0.0272,0.5712
0.0313,0.0272,0.5701
0.0313,0.0327,0.5684
0.0336,0.0327,0.5681
0.0336,0.0381,0.5656
0.0358,0.0381,0.5636
0.0358,0.0436,0.5632
0.038,0.0436,0.5631
0.038,0.0463,0.5626
0.0403,0.0463,0.5622
0.0403,0.0599,0.5552
0.047,0.0599,0.553
0.047,0.0627,0.5528
0.0515,0.0627,0.5516
0.0515,0.0763,0.5492
0.0537,0.0763,0.5491
0.0537,0.079,0.5467
0.0604,0.079,0.5463
0.0604,0.0817,0.5459
0.0626,0.0817,0.5434
0.0626,0.0872,0.5419
0.0671,0.0872,0.5393
0.0671,0.0954,0.537
0.0761,0.0954,0.5363
0.0761,0.1008,0.5361
0.0783,0.1008,0.536
0.0783,0.1063,0.5355
0.0805,0.1063,0.5354
0.0805,0.1117,0.5343
0.085,0.1117,0.5336
0.085,0.1199,0.5309
0.0872,0.1199,0.5301
0.0872,0.1226,0.5296
0.0917,0.1226,0.5276
0.0917,0.1281,0.5272
0.0962,0.1281,0.5265
0.0962,0.1308,0.5261
0.1007,0.1308,0.5253
0.1007,0.1362,0.525
0.1029,0.1362,0.5249
0.1029,0.1417,0.524
0.1074,0.1417,0.5228
0.1074,0.1471,0.5211
0.1119,0.1471,0.5203
0.1119,0.1499,0.5203
0.1141,0.1499,0.5202
0.1141,0.1526,0.5199
0.1186,0.1526,0.5192
0.1186,0.158,0.5185
0.123,0.158,0.517
0.123,0.1608,0.5166
0.132,0.1608,0.5154
0.132,0.1689,0.5142
0.1342,0.1689,0.5139
0.1342,0.1717,0.5139
0.1409,0.1717,0.5133
0.1409,0.1771,0.5116
0.1499,0.1771,0.51
0.1499,0.1798,0.5084
0.1521,0.1798,0.5083
0.1521,0.1935,0.5064
0.1566,0.1935,0.5059
0.1566,0.1989,0.5058
0.1588,0.1989,0.5057
0.1588,0.2016,0.5054
0.1611,0.2016,0.5051
0.1611,0.2044,0.505
0.1678,0.2044,0.5048
0.1678,0.2098,0.5045
0.179,0.2098,0.5021
0.179,0.2207,0.5005
0.1879,0.2207,0.5
0.1879,0.2234,0.499
0.1946,0.2234,0.4982
0.1946,0.2262,0.498
0.1969,0.2262,0.4979
0.1969,0.2289,0.4979
0.1991,0.2289,0.4978
0.1991,0.2316,0.4977
0.2013,0.2316,0.4976
0.2013,0.2425,0.4966
0.2036,0.2425,0.4966
0.2036,0.2452,0.4965
0.2081,0.2452,0.496
0.2081,0.2507,0.4958
0.217,0.2507,0.4948
0.217,0.2534,0.4947
0.2192,0.2534,0.4946
0.2192,0.2561,0.4944
0.2237,0.2561,0.4941
0.2237,0.267,0.4934
0.226,0.267,0.4934
0.226,0.2725,0.4929
0.2304,0.2725,0.4926
0.2304,0.2752,0.4918
