bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.20-0.40,0.2,0.4,222,81,78.83442,0.3551,0.3649,0.3043,0.43,0.1257,True
0.40-0.50,0.4,0.5,427,205,191.820001,0.4492,0.4801,0.4331,0.5274,0.0944,True
0.50-0.70,0.5,0.7,165,81,88.74363,0.5378,0.4909,0.4157,0.5665,0.1508,True
