feature,mean_abs_shap
away_k_rate,0.06611510548693786
away_bat_woba,0.05584140963390439
home_L10_ra,0.03952357375236671
away_hard_hit_pct,0.026913065430510433
home_bat_k_rate,0.0251954829105203
home_fb_velo,0.02189674839679628
home_bat_iso,0.018860664397766187
wind_mph,0.013562260998454355
home_bat_hard_hit_pct,0.013044732006989263
away_L10_rs,0.012244525571188863
away_xwoba_against,0.011876104881656142
home_fip,0.011193256778891722
away_fb_velo,0.01105633291208139
home_k_rate,0.010797498602227094
wind_out_factor,0.0106292030030506
temp_f,0.010575553224422338
away_bb_rate,0.010461170828363153
away_L10_wr,0.009483983289661315
away_fip,0.009463060970764556
away_L10_ra,0.009431004344885323
home_days_rest,0.00921468112121987
home_bb_rate,0.00796325567353841
away_bat_hard_hit_pct,0.007270874000017426
park_factor,0.0063644076206089495
home_hard_hit_pct,0.005819289245978459
away_bat_iso,0.0055887008543708955
away_bat_k_rate,0.005543780473925276
home_hr_rate,0.00529121579576401
home_xwoba_against,0.004898397291772171
home_L10_wr,0.004826783209395697
home_bat_woba,0.004667740218549392
away_hr_rate,0.004045081306110105
home_L10_rs,0.0029359336905057714
away_days_rest,0.0011745125978496153
is_dome,0.0001770596080651552
home_is_lefty,0.0
away_is_lefty,0.0
is_coors,0.0
