game_pk,pitcher,pitch_group,pitches,game_date
744802,640448,offspeed,10,2024-09-24
744802,663460,breaking,9,2024-09-24
744802,663460,fastball,10,2024-09-24
744802,663460,offspeed,4,2024-09-24
744802,666142,breaking,21,2024-09-24
744802,666142,fastball,46,2024-09-24
744802,666142,offspeed,22,2024-09-24
744802,668674,breaking,4,2024-09-24
744802,668674,fastball,5,2024-09-24
744802,668674,offspeed,3,2024-09-24
744802,669674,breaking,4,2024-09-24
744802,669674,fastball,6,2024-09-24
744802,669674,offspeed,1,2024-09-24
744802,672582,breaking,3,2024-09-24
744802,672582,fastball,9,2024-09-24
744802,672582,offspeed,2,2024-09-24
744802,678606,breaking,2,2024-09-24
744802,678606,fastball,16,2024-09-24
744802,678606,offspeed,4,2024-09-24
744802,680730,breaking,33,2024-09-24
744802,680730,fastball,40,2024-09-24
744802,680730,offspeed,18,2024-09-24
744803,571578,breaking,33,2024-09-14
744803,571578,fastball,61,2024-09-14
744803,571882,breaking,7,2024-09-14
744803,571882,fastball,7,2024-09-14
744803,571882,offspeed,2,2024-09-14
744803,640448,breaking,1,2024-09-14
744803,640448,fastball,10,2024-09-14
744803,640448,offspeed,2,2024-09-14
744803,657508,breaking,17,2024-09-14
744803,657508,fastball,12,2024-09-14
744803,666277,breaking,4,2024-09-14
744803,666277,fastball,4,2024-09-14
744803,666277,offspeed,5,2024-09-14
744803,676395,breaking,6,2024-09-14
744803,676395,fastball,10,2024-09-14
744803,676395,offspeed,5,2024-09-14
744803,678368,breaking,19,2024-09-14
744803,678368,fastball,53,2024-09-14
744803,678368,offspeed,20,2024-09-14
744804,571882,breaking,8,2024-09-11
744804,571882,fastball,8,2024-09-11
744804,571882,offspeed,1,2024-09-11
744804,607481,breaking,3,2024-09-11
744804,607481,fastball,1,2024-09-11
744804,608331,breaking,50,2024-09-11
744804,608331,fastball,32,2024-09-11
744804,608331,offspeed,12,2024-09-11
744804,640448,breaking,4,2024-09-11
744804,640448,fastball,15,2024-09-11
744804,640448,offspeed,1,2024-09-11
744804,663623,breaking,10,2024-09-11
744804,663623,fastball,74,2024-09-11
744804,678226,breaking,21,2024-09-11
744804,678226,fastball,19,2024-09-11
744804,678606,breaking,1,2024-09-11
744804,678606,fastball,14,2024-09-11
744804,678606,offspeed,1,2024-09-11
744805,571882,breaking,5,2024-09-12
744805,571882,fastball,10,2024-09-12
744805,622786,breaking,11,2024-09-12
744805,622786,fastball,9,2024-09-12
744805,622786,offspeed,2,2024-09-12
744805,663432,breaking,2,2024-09-12
744805,663432,fastball,9,2024-09-12
744805,669622,breaking,3,2024-09-12
744805,669622,fastball,1,2024-09-12
744805,670766,breaking,33,2024-09-12
744805,670766,fastball,43,2024-09-12
744805,670766,offspeed,8,2024-09-12
744805,676395,fastball,3,2024-09-12
744805,676395,offspeed,3,2024-09-12
744805,680730,breaking,22,2024-09-12
744805,680730,fastball,28,2024-09-12
744805,680730,offspeed,26,2024-09-12
744805,685107,breaking,13,2024-09-12
744805,685107,fastball,11,2024-09-12
744805,685107,offspeed,2,2024-09-12
744805,686747,breaking,1,2024-09-12
744805,686747,fastball,4,2024-09-12
744806,542888,breaking,1,2024-09-01
744806,542888,fastball,10,2024-09-01
744806,606930,breaking,3,2024-09-01
744806,606930,fastball,18,2024-09-01
744806,624522,breaking,9,2024-09-01
744806,624522,fastball,14,2024-09-01
744806,624522,offspeed,4,2024-09-01
744806,678606,breaking,1,2024-09-01
744806,678606,fastball,8,2024-09-01
744806,678606,offspeed,3,2024-09-01
744806,680730,breaking,25,2024-09-01
744806,680730,fastball,42,2024-09-01
744806,680730,offspeed,22,2024-09-01
744806,681799,breaking,4,2024-09-01
744806,681799,fastball,4,2024-09-01
744806,687377,breaking,8,2024-09-01
744806,687377,fastball,10,2024-09-01
744806,687377,offspeed,6,2024-09-01
744806,694350,breaking,1,2024-09-01
744806,694350,fastball,20,2024-09-01
744806,694350,offspeed,5,2024-09-01
744806,696136,breaking,11,2024-09-01
744806,696136,fastball,33,2024-09-01
744806,696136,offspeed,25,2024-09-01
744807,445926,breaking,2,2024-09-10
744807,445926,fastball,28,2024-09-10
744807,445926,offspeed,9,2024-09-10
744807,545121,breaking,2,2024-09-10
744807,545121,fastball,5,2024-09-10
744807,592426,breaking,26,2024-09-10
744807,592426,fastball,11,2024-09-10
744807,605154,breaking,25,2024-09-10
744807,605154,fastball,17,2024-09-10
744807,606930,fastball,10,2024-09-10
744807,625643,breaking,8,2024-09-10
744807,625643,fastball,13,2024-09-10
744807,625643,offspeed,4,2024-09-10
744807,663432,breaking,8,2024-09-10
744807,663432,fastball,17,2024-09-10
744807,669022,breaking,20,2024-09-10
744807,669022,fastball,53,2024-09-10
744807,669022,offspeed,6,2024-09-10
744807,686747,breaking,3,2024-09-10
744807,686747,fastball,15,2024-09-10
744807,686747,offspeed,8,2024-09-10
744807,694350,breaking,5,2024-09-10
744807,694350,fastball,6,2024-09-10
744807,694350,offspeed,5,2024-09-10
744808,605347,breaking,2,2024-08-31
744808,605347,fastball,9,2024-08-31
744808,605347,offspeed,4,2024-08-31
744808,606930,fastball,5,2024-08-31
744808,663432,breaking,2,2024-08-31
744808,663432,fastball,8,2024-08-31
744808,665871,breaking,22,2024-08-31
744808,665871,fastball,59,2024-08-31
744808,665871,offspeed,9,2024-08-31
744808,668338,breaking,10,2024-08-31
744808,668338,fastball,9,2024-08-31
744808,674285,breaking,4,2024-08-31
744808,674285,fastball,5,2024-08-31
744808,676395,breaking,8,2024-08-31
744808,676395,fastball,12,2024-08-31
744808,676395,offspeed,7,2024-08-31
744808,686747,breaking,2,2024-08-31
744808,686747,fastball,2,2024-08-31
744808,687792,breaking,22,2024-08-31
744808,687792,fastball,45,2024-08-31
744808,687792,offspeed,20,2024-08-31
744808,687863,breaking,8,2024-08-31
744808,687863,fastball,9,2024-08-31
744809,596133,breaking,1,2024-08-28
744809,596133,fastball,8,2024-08-28
744809,596133,offspeed,7,2024-08-28
744809,606930,fastball,14,2024-08-28
744809,607074,breaking,45,2024-08-28
744809,607074,fastball,39,2024-08-28
744809,607074,offspeed,16,2024-08-28
744809,640448,breaking,1,2024-08-28
744809,640448,fastball,11,2024-08-28
744809,640448,offspeed,10,2024-08-28
744809,664776,breaking,14,2024-08-28
744809,664776,fastball,4,2024-08-28
744809,669022,breaking,20,2024-08-28
744809,669022,fastball,72,2024-08-28
744809,669022,offspeed,10,2024-08-28
744809,678606,breaking,1,2024-08-28
744809,678606,fastball,5,2024-08-28
744809,678606,offspeed,4,2024-08-28
744810,592767,breaking,8,2024-08-30
744810,592767,fastball,3,2024-08-30
744810,624522,breaking,3,2024-08-30
744810,624522,fastball,2,2024-08-30
744810,663432,breaking,5,2024-08-30
744810,663432,fastball,6,2024-08-30
744810,663623,breaking,32,2024-08-30
744810,663623,fastball,60,2024-08-30
744810,663623,offspeed,11,2024-08-30
744810,663878,breaking,10,2024-08-30
744810,663878,fastball,7,2024-08-30
744810,668338,breaking,12,2024-08-30
744810,668338,fastball,6,2024-08-30
744810,668338,offspeed,3,2024-08-30
744810,674285,breaking,2,2024-08-30
744810,674285,fastball,9,2024-08-30
744810,676395,breaking,2,2024-08-30
744810,676395,fastball,2,2024-08-30
744810,684007,breaking,14,2024-08-30
744810,684007,fastball,57,2024-08-30
744810,684007,offspeed,25,2024-08-30
744810,686747,breaking,3,2024-08-30
744810,686747,fastball,7,2024-08-30
744810,686747,offspeed,1,2024-08-30
744810,687377,breaking,2,2024-08-30
744810,687377,fastball,10,2024-08-30
744810,687377,offspeed,6,2024-08-30
744811,543037,breaking,45,2024-08-27
744811,543037,fastball,42,2024-08-27
744811,543037,offspeed,4,2024-08-27
744811,571578,breaking,39,2024-08-27
744811,571578,fastball,65,2024-08-27
744811,606930,fastball,15,2024-08-27
744811,640448,breaking,1,2024-08-27
744811,640448,fastball,21,2024-08-27
744811,640448,offspeed,8,2024-08-27
744811,641360,breaking,5,2024-08-27
744811,641360,fastball,11,2024-08-27
744811,641835,breaking,4,2024-08-27
744811,641835,fastball,11,2024-08-27
744811,657612,fastball,6,2024-08-27
744811,674285,breaking,2,2024-08-27
744811,674285,fastball,7,2024-08-27
744811,678606,fastball,2,2024-08-27
744812,663432,breaking,3,2024-08-21
744812,663432,fastball,12,2024-08-21
744812,663562,breaking,6,2024-08-21
744812,663562,fastball,21,2024-08-21
744812,676105,breaking,5,2024-08-21
744812,676105,fastball,6,2024-08-21
744812,676105,offspeed,3,2024-08-21
744812,680730,breaking,21,2024-08-21
744812,680730,fastball,41,2024-08-21
744812,680730,offspeed,21,2024-08-21
744812,683627,breaking,8,2024-08-21
744812,683627,fastball,3,2024-08-21
744812,685299,breaking,17,2024-08-21
744812,685299,fastball,45,2024-08-21
744812,685299,offspeed,21,2024-08-21
744812,686747,breaking,4,2024-08-21
744812,686747,fastball,10,2024-08-21
744812,686747,offspeed,6,2024-08-21
744813,605280,breaking,13,2024-08-26
744813,605280,fastball,6,2024-08-26
744813,641482,breaking,18,2024-08-26
744813,641482,fastball,62,2024-08-26
744813,641482,offspeed,11,2024-08-26
744813,643410,breaking,3,2024-08-26
744813,643410,fastball,5,2024-08-26
744813,643410,offspeed,6,2024-08-26
744813,663432,breaking,2,2024-08-26
744813,663432,fastball,8,2024-08-26
744813,664776,breaking,9,2024-08-26
744813,664776,fastball,4,2024-08-26
744813,678606,fastball,12,2024-08-26
744813,678606,offspeed,5,2024-08-26
744813,680730,breaking,32,2024-08-26
744813,680730,fastball,34,2024-08-26
744813,680730,offspeed,17,2024-08-26
744813,686747,breaking,10,2024-08-26
744813,686747,fastball,24,2024-08-26
744813,686747,offspeed,6,2024-08-26
744814,596295,breaking,41,2024-08-20
744814,596295,fastball,39,2024-08-20
744814,596295,offspeed,16,2024-08-20
744814,641755,breaking,13,2024-08-20
744814,641755,fastball,4,2024-08-20
744814,663432,breaking,5,2024-08-20
744814,663432,fastball,8,2024-08-20
744814,674285,breaking,5,2024-08-20
744814,674285,fastball,4,2024-08-20
744814,676395,breaking,1,2024-08-20
744814,676395,fastball,4,2024-08-20
744814,676395,offspeed,4,2024-08-20
744814,678606,breaking,1,2024-08-20
744814,678606,fastball,13,2024-08-20
744814,678606,offspeed,1,2024-08-20
744814,683409,fastball,8,2024-08-20
744814,683409,offspeed,11,2024-08-20
744814,687792,breaking,18,2024-08-20
744814,687792,fastball,50,2024-08-20
744814,687792,offspeed,25,2024-08-20
744815,571578,breaking,39,2024-08-22
744815,571578,fastball,56,2024-08-22
744815,606930,fastball,7,2024-08-22
744815,615698,breaking,25,2024-08-22
744815,615698,fastball,35,2024-08-22
744815,615698,offspeed,24,2024-08-22
744815,656458,breaking,7,2024-08-22
744815,656458,fastball,9,2024-08-22
744815,663567,breaking,9,2024-08-22
744815,663567,fastball,18,2024-08-22
744815,663567,offspeed,20,2024-08-22
744815,664875,breaking,4,2024-08-22
744815,664875,fastball,7,2024-08-22
744815,672851,breaking,8,2024-08-22
744815,672851,fastball,12,2024-08-22
744815,672851,offspeed,4,2024-08-22
744815,676395,breaking,2,2024-08-22
744815,676395,fastball,14,2024-08-22
744815,676395,offspeed,5,2024-08-22
744816,606930,breaking,1,2024-08-11
744816,606930,fastball,10,2024-08-11
744816,607179,breaking,6,2024-08-11
744816,607179,fastball,26,2024-08-11
744816,657508,breaking,10,2024-08-11
744816,657508,fastball,5,2024-08-11
744816,663432,breaking,5,2024-08-11
744816,663432,fastball,23,2024-08-11
744816,669022,breaking,10,2024-08-11
744816,669022,fastball,74,2024-08-11
744816,669022,offspeed,2,2024-08-11
744816,676395,breaking,1,2024-08-11
744816,676395,fastball,6,2024-08-11
744816,676395,offspeed,9,2024-08-11
744816,678606,breaking,2,2024-08-11
744816,678606,fastball,21,2024-08-11
744816,678606,offspeed,4,2024-08-11
744816,686799,breaking,22,2024-08-11
744816,686799,fastball,69,2024-08-11
744816,686799,offspeed,2,2024-08-11
744816,690829,fastball,29,2024-08-11
744817,571882,breaking,11,2024-08-06
744817,571882,fastball,13,2024-08-06
744817,571882,offspeed,4,2024-08-06
744817,573124,breaking,6,2024-08-06
