game_pk,pitcher,game_date,team,bf,k,bb,hbp,hr,hits,fb,bip,outs,runs,close_outs,pitches,is_starter
744801,669199,2024-09-15,MIA,4,1,1,0,0,0,0,2,3.0,0,3.0,19,False
744801,669622,2024-09-15,MIA,4,0,0,0,0,1,0,3,3.0,0,3.0,14,False
744801,670124,2024-09-15,MIA,21,2,2,0,1,6,6,17,15.0,3,15.0,76,True
744801,674285,2024-09-15,WSH,3,1,0,0,1,2,1,2,1.0,1,1.0,8,False
744801,676395,2024-09-15,WSH,2,1,0,0,0,0,1,1,2.0,0,2.0,5,False
744801,678606,2024-09-15,WSH,5,0,0,0,0,2,1,5,3.0,1,3.0,16,False
744801,686539,2024-09-15,MIA,5,1,1,0,1,1,1,3,3.0,1,3.0,17,False
744802,571882,2024-09-24,WSH,8,3,1,0,0,2,1,4,6.0,0,6.0,32,False
744802,640448,2024-09-24,WSH,5,2,1,0,0,1,0,2,3.0,1,3.0,24,False
744802,663460,2024-09-24,KC,4,0,0,0,0,1,3,4,3.0,0,3.0,23,False
744802,666142,2024-09-24,KC,23,6,3,0,0,3,4,14,18.0,0,18.0,89,True
744802,668674,2024-09-24,KC,3,2,0,0,0,0,0,1,3.0,0,3.0,12,False
744802,669674,2024-09-24,KC,3,1,0,0,0,1,0,2,3.0,0,3.0,11,False
744802,672582,2024-09-24,KC,3,0,0,0,0,0,0,3,3.0,0,3.0,14,False
744802,678606,2024-09-24,WSH,6,2,0,0,0,0,2,4,6.0,0,6.0,22,False
744802,680730,2024-09-24,WSH,22,5,2,0,0,5,2,15,15.0,0,15.0,91,True
744803,571578,2024-09-14,WSH,23,6,1,0,0,3,3,15,18.0,1,18.0,94,True
744803,571882,2024-09-14,WSH,4,2,0,0,0,1,0,2,3.0,0,3.0,16,False
744803,640448,2024-09-14,WSH,3,1,0,0,0,1,0,2,3.0,0,0.0,13,False
744803,657508,2024-09-14,MIA,6,4,0,0,0,1,0,2,5.0,0,5.0,29,False
744803,666277,2024-09-14,MIA,4,1,0,0,1,1,2,3,3.0,1,0.0,13,False
744803,676395,2024-09-14,WSH,4,2,0,0,0,1,0,2,3.0,0,3.0,21,False
744803,678368,2024-09-14,MIA,23,4,1,0,2,6,4,18,16.0,3,16.0,92,True
744804,571882,2024-09-11,WSH,5,1,0,0,0,2,1,4,3.0,0,0.0,17,False
744804,607481,2024-09-11,ATL,1,1,0,0,0,0,0,0,1.0,0,0.0,4,False
744804,608331,2024-09-11,ATL,27,6,0,1,1,11,1,20,18.0,4,11.0,94,True
744804,640448,2024-09-11,WSH,3,1,0,0,0,0,1,2,3.0,0,0.0,20,False
744804,663623,2024-09-11,WSH,21,5,1,0,0,2,2,15,18.0,1,12.0,84,True
744804,678226,2024-09-11,ATL,7,3,0,0,0,2,2,4,5.0,1,0.0,40,False
744804,678606,2024-09-11,WSH,5,1,0,0,0,2,1,4,3.0,0,0.0,16,False
744805,571882,2024-09-12,WSH,6,0,1,0,0,3,0,5,3.0,3,3.0,15,False
744805,622786,2024-09-12,MIA,6,2,0,0,0,0,0,4,6.0,0,3.0,22,False
744805,663432,2024-09-12,WSH,2,0,0,0,0,0,1,2,2.0,1,1.0,11,False
744805,669622,2024-09-12,MIA,1,1,0,0,0,0,0,0,1.0,0,1.0,4,False
744805,670766,2024-09-12,MIA,23,1,2,0,0,6,8,20,15.0,3,10.0,84,True
744805,676395,2024-09-12,WSH,2,1,0,0,0,0,0,1,2.0,0,2.0,6,False
744805,680730,2024-09-12,WSH,25,5,0,1,0,3,5,19,19.0,2,15.0,76,True
744805,685107,2024-09-12,MIA,5,3,0,0,0,0,1,2,5.0,0,5.0,26,False
744805,686747,2024-09-12,WSH,3,0,0,0,0,2,0,3,1.0,0,1.0,5,False
744806,542888,2024-09-01,CHC,3,0,1,0,0,0,0,2,3.0,0,0.0,11,False
744806,606930,2024-09-01,WSH,5,1,0,0,0,3,1,4,1.0,3,0.0,21,False
744806,624522,2024-09-01,CHC,7,1,1,0,0,0,4,5,6.0,0,0.0,27,False
744806,678606,2024-09-01,WSH,4,1,0,0,0,0,1,3,5.0,0,0.0,12,False
744806,680730,2024-09-01,WSH,27,8,1,0,0,7,7,18,18.0,4,9.0,89,True
744806,681799,2024-09-01,CHC,3,1,0,0,0,1,0,2,3.0,0,0.0,8,False
744806,687377,2024-09-01,WSH,6,0,1,0,0,4,1,5,1.0,4,0.0,24,False
744806,694350,2024-09-01,WSH,7,1,2,0,0,3,1,4,2.0,3,0.0,27,False
744806,696136,2024-09-01,CHC,18,0,0,0,0,4,7,18,15.0,1,9.0,69,True
744807,445926,2024-09-10,ATL,10,3,0,0,0,1,2,7,9.0,0,3.0,39,False
744807,545121,2024-09-10,WSH,4,0,0,1,1,1,1,3,3.0,1,0.0,11,False
744807,592426,2024-09-10,ATL,8,3,1,0,0,1,0,4,6.0,0,0.0,37,False
744807,605154,2024-09-10,ATL,11,2,2,0,0,0,3,7,9.0,0,0.0,42,False
744807,606930,2024-09-10,WSH,4,1,0,0,1,2,2,3,2.0,1,0.0,10,False
744807,625643,2024-09-10,ATL,5,1,0,1,0,1,0,3,3.0,0,3.0,25,True
744807,663432,2024-09-10,WSH,7,1,1,0,0,3,2,5,3.0,1,0.0,25,False
744807,669022,2024-09-10,WSH,23,3,3,1,1,6,5,15,11.0,7,8.0,79,True
744807,686747,2024-09-10,WSH,7,2,0,0,1,2,1,5,5.0,2,0.0,26,False
744807,694350,2024-09-10,WSH,4,1,0,0,0,1,1,3,3.0,0,0.0,16,False
744808,605347,2024-08-31,CHC,4,1,1,0,0,0,1,2,3.0,0,3.0,15,False
744808,606930,2024-08-31,WSH,2,0,0,0,0,1,1,2,1.0,1,1.0,5,False
744808,663432,2024-08-31,WSH,3,2,0,0,0,0,1,1,3.0,0,3.0,10,False
744808,665871,2024-08-31,CHC,25,4,2,0,1,8,6,19,18.0,3,18.0,90,True
744808,668338,2024-08-31,CHC,4,2,0,0,0,1,1,2,3.0,0,3.0,19,False
744808,674285,2024-08-31,WSH,4,0,0,1,0,1,2,3,2.0,0,2.0,9,False
744808,676395,2024-08-31,WSH,7,0,0,0,0,1,4,7,6.0,1,6.0,27,False
