batter,p_throws,game_pk,game_date,woba_sum,woba_denom,iso_sum,iso_n,pa,k,bb,hard,bip
444482,R,745408,2024-06-06,0.9,2.0,0.0,2,2,0,0,0,2
444482,R,745410,2024-06-08,2.85,3.0,1.0,3,3,0,1,2,2
444482,R,745411,2024-05-25,0.0,4.0,0.0,4,4,3,0,0,1
444482,R,745413,2024-05-26,0.7,2.0,0.0,2,2,1,1,0,0
444482,R,745415,2024-05-24,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745416,2024-05-27,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,745466,2024-08-08,2.9,4.0,3.0,4,4,1,0,2,3
444482,R,745467,2024-08-06,0.9,3.0,0.0,3,3,0,0,0,3
444482,R,745469,2024-08-07,1.4,2.0,0.0,2,2,0,2,0,0
444482,R,745563,2024-06-18,0.7,3.0,0.0,3,3,2,1,0,0
444482,R,745567,2024-06-17,0.9,1.0,0.0,1,1,0,0,1,1
444482,R,745805,2024-06-15,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,745807,2024-06-16,1.8,3.0,0.0,3,3,0,0,2,3
444482,R,745810,2024-06-14,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,746025,2024-08-11,1.25,3.0,1.0,3,3,1,0,1,2
444482,R,746026,2024-08-10,3.4,4.0,2.0,4,4,1,0,2,3
444482,R,746032,2024-08-09,0.9,4.0,0.0,4,4,1,0,3,3
444482,R,746088,2024-09-26,0.7,2.0,0.0,2,2,0,1,0,1
444482,R,746095,2024-09-25,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,746221,2024-06-05,0.0,3.0,0.0,3,3,0,0,0,3
444482,R,746222,2024-06-04,0.0,1.0,0.0,1,1,0,0,0,1
444482,R,746224,2024-06-03,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,746303,2024-05-31,0.0,2.0,0.0,2,2,1,0,1,1
444482,R,746515,2024-08-17,0.9,3.0,0.0,3,3,0,0,0,3
444482,R,746516,2024-08-18,1.25,4.0,1.0,4,4,1,0,1,3
444482,R,746518,2024-08-16,2.8499999999999996,4.0,1.0,4,4,1,1,1,2
444482,R,746610,2024-07-21,0.7,4.0,0.0,4,4,2,1,0,1
444482,R,746613,2024-07-20,3.6,4.0,3.0,4,4,0,1,2,3
444482,R,746618,2024-07-19,0.0,3.0,0.0,3,3,0,0,2,3
444482,R,746712,2024-05-22,0.9,2.0,0.0,2,2,1,0,0,1
444482,R,746714,2024-05-23,2.7,4.0,0.0,5,5,0,0,1,4
444482,R,746938,2024-06-30,0.0,1.0,0.0,1,1,0,0,1,1
444482,R,746939,2024-06-28,0.0,1.0,0.0,1,1,1,0,0,0
444482,R,746940,2024-06-29,0.9,1.0,0.0,1,1,0,0,1,1
444482,R,747006,2024-07-27,0.9,4.0,0.0,4,4,2,0,1,2
444482,R,747008,2024-07-28,1.8,4.0,0.0,4,4,0,0,2,4
444482,R,747010,2024-07-26,0.0,4.0,0.0,4,4,3,0,0,1
444482,R,747145,2024-09-27,1.8,3.0,0.0,3,3,0,0,3,3
444482,R,747147,2024-09-29,0.0,3.0,0.0,3,3,2,0,1,1
444482,R,775317,2024-10-11,0.0,3.0,0.0,3,3,0,0,1,3
444482,R,775320,2024-10-09,0.0,2.0,0.0,2,2,0,0,0,2
444482,R,775321,2024-10-08,1.25,2.0,1.0,2,2,0,0,0,2
444482,R,775322,2024-10-06,2.0,2.0,3.0,2,2,0,0,1,2
444482,R,775323,2024-10-05,0.0,1.0,0.0,1,1,0,0,1,1
453568,L,744812,2024-08-21,0.9,4.0,0.0,4,4,0,0,1,4
453568,L,744814,2024-08-20,0.9,4.0,0.0,4,4,0,0,0,4
453568,L,744952,2024-04-14,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,744953,2024-04-13,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,745167,2024-06-09,0.0,2.0,0.0,2,2,0,0,0,2
453568,L,745169,2024-06-07,1.6,2.0,0.0,2,2,0,0,0,1
453568,L,745174,2024-06-06,0.9,1.0,0.0,1,1,0,0,1,1
453568,L,745305,2024-07-28,0.0,1.0,0.0,1,1,1,0,0,0
453568,L,745310,2024-07-27,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,745336,2024-05-19,0.7,1.0,0.0,1,1,0,1,0,0
453568,L,745418,2024-05-14,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,745420,2024-05-13,0.0,2.0,0.0,2,2,0,0,0,2
453568,L,745510,2024-05-03,0.0,3.0,0.0,3,3,0,0,0,3
453568,L,745593,2024-04-16,0.9,4.0,0.0,4,4,1,0,0,3
453568,L,745597,2024-04-15,0.0,1.0,0.0,1,1,0,0,1,1
453568,L,745661,2024-05-22,0.7,1.0,0.0,1,1,0,1,0,0
453568,L,745662,2024-05-21,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,745703,2024-08-24,0.7,2.0,0.0,2,2,0,1,0,1
453568,L,745706,2024-08-25,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,745797,2024-07-14,1.8,4.0,0.0,4,4,1,0,1,3
453568,L,745800,2024-07-12,2.0,4.0,3.0,4,4,2,0,1,2
453568,L,745896,2024-06-12,1.25,1.0,1.0,1,1,0,0,0,1
453568,L,745899,2024-06-11,0.9,1.0,0.0,1,1,0,0,1,1
453568,L,745942,2024-09-07,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746140,2024-05-31,0.7,2.0,0.0,2,2,0,1,0,1
453568,L,746141,2024-06-02,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746197,2024-07-30,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746425,2024-09-11,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746427,2024-09-12,0.9,1.0,0.0,1,1,0,0,0,1
453568,L,746495,2024-09-26,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746496,2024-09-29,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746499,2024-09-28,0.0,2.0,0.0,2,2,1,0,0,1
453568,L,746502,2024-09-16,0.0,1.0,0.0,1,1,1,0,0,0
453568,L,746504,2024-09-24,1.25,1.0,1.0,1,1,0,0,1,1
453568,L,746507,2024-08-31,1.6,2.0,2.0,2,2,0,0,0,2
453568,L,746508,2024-09-14,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746510,2024-08-27,0.9,2.0,0.0,2,2,0,0,0,2
