feature,importance_mean,importance_std
home_L10_ra,0.0013374417923311178,0.001251790730443163
home_hr_rate,0.0012355639125585349,0.0005058778026599491
away_bat_k_rate,0.0008719066016467548,0.0008729117602151884
away_bat_hard_hit_pct,0.0008445513467103316,0.0010012161916514654
away_fip,0.000745199543140429,0.0007665023928333356
away_k_rate,0.0007031014445690653,0.0013097371988797567
away_L10_ra,0.0005501890728470294,0.0008922404918845811
away_hard_hit_pct,0.0005460671590221677,0.0007797635742340297
wind_out_factor,0.0005385863453750029,0.0008073856774503653
home_bat_hard_hit_pct,0.00036085372726530897,0.000698733930838478
away_bb_rate,0.00029242289014517195,0.0008760825748362459
away_L10_rs,0.0002542655729522725,0.0005703712111547169
home_fb_velo,0.00016761518506344108,0.0010304316887868416
home_hard_hit_pct,0.00014947135348069017,0.0007763094106456515
home_L10_wr,9.86055891937232e-05,0.00030728845020233224
temp_f,4.606565611461333e-05,0.0008228711521150652
away_hr_rate,1.9511755586743008e-05,0.0005383348282847436
is_coors,0.0,0.0
away_is_lefty,-1.096271646062741e-05,6.178625084622896e-05
home_fip,-3.9526016214330714e-05,0.0004364209585392036
home_bat_iso,-4.3702283199542616e-05,0.000541523469949356
home_is_lefty,-6.242377530870646e-05,0.00010540454272337812
home_days_rest,-9.436145579511113e-05,0.00044864619354520615
park_factor,-9.71856345805766e-05,0.0006764886140540223
home_xwoba_against,-0.00019544274788074745,0.0003964264819263703
home_L10_rs,-0.0002027843276190211,0.000672168367643608
wind_mph,-0.00021364147641182995,0.0002812421369019608
is_dome,-0.00025170655289886713,0.00011797171483671993
away_bat_iso,-0.0002804900641084629,0.0006735556305755667
away_L10_wr,-0.00043220784124806675,0.00039045691730267774
home_bb_rate,-0.0004938015174922539,0.0008903619505455023
away_days_rest,-0.0005384083160807296,0.0005064124446803194
home_bat_k_rate,-0.0006614106143540521,0.001152038472437028
home_bat_woba,-0.0006782624551865291,0.0005762735428961106
home_k_rate,-0.000801701314569947,0.0007422198476323384
away_fb_velo,-0.000825226264871215,0.000982375341821102
away_bat_woba,-0.0012355890744994546,0.0012927513363447118
away_xwoba_against,-0.0012740864822886277,0.0007881368164220257
