bin,bin_lower,bin_upper,n,successes,predicted_sum,avg_predicted,actual_rate,actual_ci_lower,actual_ci_upper,ci_width,reliable
0.30-0.40,0.3,0.4,73,26,28.256762,0.3871,0.3562,0.256,0.4707,0.2146,True
0.40-0.50,0.4,0.5,709,325,314.634117,0.4438,0.4584,0.422,0.4952,0.0732,True
0.50-0.60,0.5,0.6,32,16,16.391446,0.5122,0.5,0.3363,0.6637,0.3274,True
