precision,recall,threshold
0.4774,0.7766,0.4229
0.4782,0.7766,0.4229
0.479,0.7766,0.4233
0.4781,0.7738,0.4237
0.4789,0.7738,0.4238
0.478,0.7711,0.424
0.4772,0.7684,0.4241
0.4763,0.7657,0.4242
0.4771,0.7657,0.4242
0.4779,0.7657,0.4244
0.4787,0.7657,0.4245
0.4795,0.7657,0.4246
0.4803,0.7657,0.4246
0.4812,0.7657,0.4246
0.4803,0.7629,0.4248
0.4794,0.7602,0.4248
0.4802,0.7602,0.4248
0.481,0.7602,0.4252
0.4801,0.7575,0.4253
0.4792,0.7548,0.4253
0.4801,0.7548,0.4255
0.4792,0.752,0.4255
0.48,0.752,0.4255
0.4791,0.7493,0.4256
0.4782,0.7466,0.4257
0.479,0.7466,0.4258
0.4799,0.7466,0.4261
0.4807,0.7466,0.4262
0.4798,0.7439,0.4263
0.4789,0.7411,0.4263
0.4797,0.7411,0.4264
0.4788,0.7384,0.4266
0.4779,0.7357,0.4267
0.4787,0.7357,0.4268
0.4778,0.733,0.4268
0.4769,0.7302,0.427
0.4777,0.7302,0.4272
0.4768,0.7275,0.4273
0.4776,0.7275,0.4273
0.4785,0.7275,0.4275
0.4794,0.7275,0.4275
0.4802,0.7275,0.4276
0.4811,0.7275,0.4278
0.4819,0.7275,0.4279
0.481,0.7248,0.428
0.4801,0.7221,0.4281
0.4791,0.7193,0.4283
0.4782,0.7166,0.4283
0.4772,0.7139,0.4283
0.4763,0.7112,0.4284
0.4771,0.7112,0.4285
0.4762,0.7084,0.4287
0.4752,0.7057,0.4287
0.4743,0.703,0.4288
0.4751,0.703,0.4288
0.4742,0.7003,0.4288
0.4732,0.6975,0.4288
0.4741,0.6975,0.4288
0.4731,0.6948,0.4289
0.474,0.6948,0.4289
0.473,0.6921,0.4291
0.4739,0.6921,0.4295
0.4729,0.6894,0.4295
0.4719,0.6866,0.4296
0.4728,0.6866,0.4296
0.4737,0.6866,0.4297
0.4746,0.6866,0.4299
0.4736,0.6839,0.43
0.4745,0.6839,0.43
0.4754,0.6839,0.4301
0.4763,0.6839,0.4301
0.4772,0.6839,0.4301
0.4781,0.6839,0.4302
0.479,0.6839,0.4302
0.478,0.6812,0.4304
0.477,0.6785,0.4304
0.4779,0.6785,0.4306
0.4769,0.6757,0.4306
0.4759,0.673,0.4306
0.4749,0.6703,0.4307
0.4758,0.6703,0.4308
0.4767,0.6703,0.4308
0.4757,0.6676,0.431
0.4747,0.6649,0.4312
0.4756,0.6649,0.4314
0.4746,0.6621,0.4314
0.4736,0.6594,0.4315
0.4725,0.6567,0.4316
0.4735,0.6567,0.4317
0.4724,0.654,0.4318
0.4734,0.654,0.4319
0.4743,0.654,0.4319
0.4733,0.6512,0.4319
0.4722,0.6485,0.432
0.4732,0.6485,0.4321
0.4741,0.6485,0.4322
0.4731,0.6458,0.4322
0.474,0.6458,0.4323
0.4729,0.6431,0.4323
0.4739,0.6431,0.4324
0.4748,0.6431,0.4324
0.4738,0.6403,0.4326
0.4727,0.6376,0.4328
0.4737,0.6376,0.4329
0.4746,0.6376,0.433
0.4756,0.6376,0.4331
0.4745,0.6349,0.4331
0.4735,0.6322,0.4332
0.4744,0.6322,0.4332
0.4754,0.6322,0.4332
0.4743,0.6294,0.4333
0.4753,0.6294,0.4334
0.4742,0.6267,0.4335
0.4731,0.624,0.4335
0.4741,0.624,0.4336
0.4751,0.624,0.4339
0.474,0.6213,0.4342
0.4729,0.6185,0.4342
0.4739,0.6185,0.4345
0.4749,0.6185,0.4346
0.4738,0.6158,0.4346
0.4748,0.6158,0.4347
0.4758,0.6158,0.4348
0.4768,0.6158,0.4349
0.4778,0.6158,0.4349
0.4767,0.6131,0.4349
0.4777,0.6131,0.4349
0.4787,0.6131,0.435
0.4797,0.6131,0.4351
0.4786,0.6104,0.4351
0.4797,0.6104,0.4351
0.4785,0.6076,0.4352
0.4796,0.6076,0.4353
0.4784,0.6049,0.4353
0.4795,0.6049,0.4354
0.4805,0.6049,0.4356
0.4794,0.6022,0.4356
0.4804,0.6022,0.4356
0.4793,0.5995,0.4357
0.4803,0.5995,0.4358
0.4814,0.5995,0.4358
0.4825,0.5995,0.4359
0.4813,0.5967,0.4361
0.4802,0.594,0.4362
0.4812,0.594,0.4362
0.4823,0.594,0.4362
0.4812,0.5913,0.4364
0.4822,0.5913,0.4365
0.4833,0.5913,0.4365
0.4844,0.5913,0.4366
0.4832,0.5886,0.4367
0.4843,0.5886,0.4367
0.4854,0.5886,0.4367
0.4842,0.5858,0.4367
0.4853,0.5858,0.4367
0.4864,0.5858,0.4369
0.4853,0.5831,0.4369
0.4864,0.5831,0.4371
0.4852,0.5804,0.4373
0.4863,0.5804,0.4374
0.4851,0.5777,0.4377
0.4862,0.5777,0.4377
0.4874,0.5777,0.4377
0.4862,0.5749,0.4378
0.485,0.5722,0.4378
0.4861,0.5722,0.4378
0.4849,0.5695,0.438
0.4837,0.5668,0.438
0.4848,0.5668,0.438
0.486,0.5668,0.4381
0.4848,0.564,0.4382
0.4859,0.564,0.4385
0.4871,0.564,0.4385
0.4858,0.5613,0.4385
0.487,0.5613,0.4388
0.4882,0.5613,0.4388
0.4893,0.5613,0.4388
0.4905,0.5613,0.4391
0.4893,0.5586,0.4392
0.4904,0.5586,0.4392
0.4916,0.5586,0.4392
0.4904,0.5559,0.4394
0.4916,0.5559,0.4395
0.4928,0.5559,0.4396
0.4915,0.5531,0.4397
0.4903,0.5504,0.4399
0.4915,0.5504,0.4399
0.4902,0.5477,0.4399
0.4914,0.5477,0.4401
0.4926,0.5477,0.4401
0.4939,0.5477,0.4402
0.4926,0.545,0.4402
0.4938,0.545,0.4402
0.495,0.545,0.4403
0.4938,0.5422,0.4403
0.4925,0.5395,0.4403
0.4913,0.5368,0.4404
0.4925,0.5368,0.4404
0.4937,0.5368,0.4404
0.4925,0.5341,0.4405
0.4912,0.5313,0.4405
0.4924,0.5313,0.4407
0.4937,0.5313,0.4408
0.4949,0.5313,0.4409
0.4936,0.5286,0.4409
0.4949,0.5286,0.441
0.4962,0.5286,0.441
0.4949,0.5259,0.4412
0.4961,0.5259,0.4413
0.4948,0.5232,0.4415
0.4935,0.5204,0.4415
0.4948,0.5204,0.4415
0.4935,0.5177,0.4415
0.4948,0.5177,0.4415
0.4961,0.5177,0.4416
0.4974,0.5177,0.4416
0.4987,0.5177,0.4417
0.5,0.5177,0.4418
0.4987,0.515,0.442
0.4974,0.5123,0.4421
0.496,0.5095,0.4421
0.4973,0.5095,0.4422
0.4987,0.5095,0.4422
0.5,0.5095,0.4422
0.4987,0.5068,0.4422
0.4973,0.5041,0.4422
0.4987,0.5041,0.4423
0.5,0.5041,0.4424
0.5014,0.5041,0.4426
0.5,0.5014,0.4426
0.5014,0.5014,0.4429
0.5027,0.5014,0.443
0.5041,0.5014,0.4431
0.5027,0.4986,0.4432
0.5041,0.4986,0.4436
0.5055,0.4986,0.4437
0.5042,0.4959,0.4438
0.5028,0.4932,0.4439
0.5042,0.4932,0.4439
0.5028,0.4905,0.4439
0.5014,0.4877,0.4441
0.5028,0.4877,0.4442
0.5014,0.485,0.4443
0.5,0.4823,0.4444
0.4986,0.4796,0.4444
0.5,0.4796,0.4447
0.4986,0.4768,0.4447
0.5,0.4768,0.4451
0.5014,0.4768,0.4451
0.5029,0.4768,0.4453
0.5043,0.4768,0.4453
0.5029,0.4741,0.4453
0.5043,0.4741,0.4454
0.5058,0.4741,0.4455
0.5044,0.4714,0.4456
0.5058,0.4714,0.4458
0.5073,0.4714,0.4459
