feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_bullpen_era_season,83.91441059112549,60,4.558633709622617e-05,59,0.005176607984464508,39,,,,52.67
home_lineup_bb_rate_vs_pitcher_hand,117.2619400024414,51,9.72979619613623e-05,44,0.0027276472316944337,63,,,,52.67
away_lineup_k_rate_vs_pitcher_hand,118.8890609741211,50,-5.052592149625834e-05,57,0.00399224492658644,52,,,,53.0
home_bullpen_xfip_30d,146.79246044158936,39,-4.884140445449159e-06,77,0.0046990708815870755,44,,,,53.33
away_L10_wr,68.97241973876953,65,-0.00012709751612289822,34,0.002795724267249543,62,,,,53.67
home_L10_rs,59.70038080215454,70,0.0001713576456712218,23,0.0022651447034597256,69,,,,54.0
wind_out_factor,120.23896980285645,49,-3.0184014442913297e-05,68,0.003248738421609625,54,,,,57.0
home_bullpen_pitches_7d,108.78762006759644,56,-4.6979066047092564e-05,58,0.0029485248568510572,59,,,,57.67
away_xwoba_against,130.2351098060608,46,-7.96481612730382e-07,80,0.004465194376947724,48,,,,58.0
home_bullpen_k_rate_season,80.0937716960907,61,7.918872349339523e-05,47,0.002572900309517445,66,,,,58.0
away_pitch_mix_x_lineup_matchup,51.722710609436035,72,8.258503037669173e-05,46,0.003045171188959917,57,,,,58.33
home_bullpen_whip_season,63.283159255981445,67,-3.820505681595421e-07,81,0.005957553506585595,34,,,,60.67
away_hr_rate,79.88052034378052,62,-7.159725979652976e-05,51,0.0020504573478187385,70,,,,61.0
home_lineup_strength_vs_pitcher_hand,40.1412296295166,75,-0.00010090988460050853,43,0.002540066411738752,67,,,,61.67
away_bullpen_pitches_7d,112.58306121826172,52,-2.708956852504052e-07,82,0.003168646338946093,55,,,,63.0
home_bullpen_era_30d,67.5098192691803,66,-4.331413202224299e-05,60,0.0019636633366060356,71,,,,65.67
home_fb_rate_x_wind_out,63.013330936431885,68,-3.5157033447974495e-05,65,0.0026973995450477,64,,,,65.67
