feature,importance_mean,importance_std
away_bullpen_bb_rate_season,0.0022496243774210445,0.0007363341227988416
home_pitch_mix_x_lineup_matchup,0.0007731704474906564,0.00029287344403837185
home_bullpen_whip_30d,0.0007228766189195212,0.0002898365192034233
home_bullpen_era_season,0.0005935194943153088,0.0004195278073576828
home_L10_ra,0.0004523422067675309,0.0007445920260562564
home_bullpen_bb_rate_season,0.0003922136142756605,0.0004167405217485768
away_L10_rs,0.0003745677233762179,0.00019705492355050213
away_bullpen_xfip_season,0.0003089127009125225,0.0001283762662903195
home_bullpen_xfip_season,0.0002704020733242607,0.00016188223000569707
home_bat_k_rate,0.0002388631030886823,0.00013932587686276955
away_lineup_bb_rate_vs_pitcher_hand,0.00019707210034068944,0.00022273203719449969
home_lineup_k_rate_vs_pitcher_hand,0.0001878411601038632,0.00037882072688763486
home_L10_rs,0.0001713576456712218,6.700994324096868e-05
home_lineup_woba_vs_pitcher_hand,0.00015336214129155757,0.0001494154009568264
away_fip,0.00015313144479460749,0.00011862497758721702
away_lineup_iso_vs_pitcher_hand,0.00013356719052947107,6.824210501163649e-05
away_bat_k_rate,0.00012853746725920433,7.254796568284851e-05
home_bullpen_fatigue_x_sp_innings_remaining_x_rest,0.00012770347027865058,0.0001316102748690317
home_bb_rate,0.0001184930117451355,0.00015454967591822683
away_L10_ra,0.00011568791991368732,0.00010200016657205999
away_bullpen_whip_season,0.00011458412775652293,0.0002118034491218422
home_lineup_bb_rate_vs_pitcher_hand,9.72979619613623e-05,7.418773398063136e-05
home_lineup_iso_vs_pitcher_hand,9.200138204166209e-05,0.00012698931703821156
away_pitch_mix_x_lineup_matchup,8.258503037669173e-05,9.909495459328193e-05
home_bullpen_k_rate_season,7.918872349339523e-05,6.286028221440665e-05
away_bullpen_fatigue_x_sp_innings_remaining_x_rest,7.264778628214285e-05,9.676896019240312e-05
away_hard_hit_pct,6.985478299765812e-05,0.00025251158039232233
away_bullpen_era_season,4.558633709622617e-05,0.0001527059746408925
away_is_lefty,4.314292344800297e-05,3.160590093951897e-05
away_bullpen_availability_score,3.9573862491093514e-05,3.0484325884223878e-05
home_bullpen_fip_30d,3.675013776966995e-05,7.316977049240655e-05
home_bullpen_fip_season,3.405965264862143e-05,7.840317940958796e-05
away_bullpen_fip_season,3.313276156986511e-05,0.00022604326016155453
home_bullpen_availability_score,2.018852411578287e-05,1.4380568852549483e-05
away_bullpen_hr_rate_season,1.5526801875598294e-05,0.00012715969317755792
temp_f,1.0724159495456575e-05,9.477762156915372e-05
