fpr,tpr,threshold
0.4787,0.5613,0.4391
0.4877,0.5613,0.4385
0.4877,0.564,0.4385
0.4922,0.564,0.4382
0.4922,0.5668,0.4381
0.4966,0.5668,0.438
0.4966,0.5722,0.4378
0.4989,0.5722,0.4378
0.4989,0.5777,0.4377
0.5034,0.5777,0.4377
0.5034,0.5804,0.4374
0.5056,0.5804,0.4373
0.5056,0.5831,0.4371
0.5078,0.5831,0.4369
0.5078,0.5858,0.4369
0.5123,0.5858,0.4367
0.5123,0.5886,0.4367
0.5168,0.5886,0.4367
0.5168,0.5913,0.4366
0.5235,0.5913,0.4364
0.5235,0.594,0.4362
0.528,0.594,0.4362
0.528,0.5995,0.4359
0.5347,0.5995,0.4357
0.5347,0.6022,0.4356
0.5369,0.6022,0.4356
0.5369,0.6049,0.4356
0.5414,0.6049,0.4353
0.5414,0.6076,0.4353
0.5436,0.6076,0.4352
0.5436,0.6104,0.4351
0.5459,0.6104,0.4351
0.5459,0.6131,0.4351
0.5526,0.6131,0.4349
0.5526,0.6158,0.4349
0.5615,0.6158,0.4346
0.5615,0.6185,0.4346
0.566,0.6185,0.4342
0.566,0.624,0.4339
0.5705,0.624,0.4335
0.5705,0.6294,0.4334
0.5727,0.6294,0.4333
0.5727,0.6322,0.4332
0.5772,0.6322,0.4332
0.5772,0.6376,0.4331
0.5839,0.6376,0.4328
0.5839,0.6431,0.4324
0.5884,0.6431,0.4323
0.5884,0.6458,0.4323
0.5906,0.6458,0.4322
0.5906,0.6485,0.4322
0.5951,0.6485,0.432
0.5951,0.654,0.4319
0.5996,0.654,0.4318
0.5996,0.6567,0.4317
0.6018,0.6567,0.4316
0.6018,0.6649,0.4314
0.604,0.6649,0.4312
0.604,0.6703,0.4308
0.6085,0.6703,0.4307
0.6085,0.6785,0.4306
0.6107,0.6785,0.4304
0.6107,0.6839,0.4302
0.6242,0.6839,0.43
0.6242,0.6866,0.4299
0.6309,0.6866,0.4296
0.6309,0.6921,0.4295
0.6331,0.6921,0.4291
0.6331,0.6948,0.4289
0.6353,0.6948,0.4289
0.6353,0.6975,0.4288
0.6376,0.6975,0.4288
0.6376,0.703,0.4288
0.6398,0.703,0.4288
0.6398,0.7112,0.4285
0.6421,0.7112,0.4284
0.6421,0.7275,0.4279
0.6555,0.7275,0.4273
0.6555,0.7302,0.4272
0.6577,0.7302,0.427
0.6577,0.7357,0.4268
0.66,0.7357,0.4267
0.66,0.7411,0.4264
0.6622,0.7411,0.4263
0.6622,0.7466,0.4262
0.6689,0.7466,0.4257
0.6689,0.752,0.4255
0.6711,0.752,0.4255
0.6711,0.7548,0.4255
0.6734,0.7548,0.4253
0.6734,0.7602,0.4252
0.6779,0.7602,0.4248
0.6779,0.7657,0.4246
0.6913,0.7657,0.4242
0.6913,0.7738,0.4238
0.6935,0.7738,0.4237
0.6935,0.7766,0.4233
0.7002,0.7766,0.4228
0.7002,0.782,0.4227
0.7025,0.782,0.4226
0.7025,0.7875,0.4224
0.7069,0.7875,0.4223
0.7069,0.7902,0.4223
0.7159,0.7902,0.4221
0.7159,0.7956,0.4218
0.7181,0.7956,0.4215
0.7181,0.7984,0.4214
0.7204,0.7984,0.4214
0.7204,0.8093,0.4212
0.7248,0.8093,0.4211
0.7248,0.812,0.421
0.7271,0.812,0.421
0.7271,0.8174,0.4209
0.7383,0.8174,0.4206
0.7383,0.8229,0.4206
0.745,0.8229,0.4201
0.745,0.8256,0.4201
0.7472,0.8256,0.4201
0.7472,0.8283,0.42
0.7517,0.8283,0.4199
0.7517,0.8311,0.4196
0.7606,0.8311,0.4189
0.7606,0.8365,0.4187
0.7673,0.8365,0.4182
0.7673,0.8392,0.4173
0.7785,0.8392,0.4163
0.7785,0.8474,0.4158
0.7808,0.8474,0.4155
0.7808,0.8501,0.4154
0.7875,0.8501,0.4151
0.7875,0.8529,0.4151
0.7919,0.8529,0.4145
0.7919,0.8556,0.4145
0.8009,0.8556,0.4135
0.8009,0.8583,0.4135
0.8031,0.8583,0.4134
0.8031,0.861,0.4134
0.8076,0.861,0.4132
0.8076,0.8638,0.4132
0.8098,0.8638,0.4132
0.8098,0.8665,0.4131
0.8121,0.8665,0.4131
0.8121,0.8692,0.413
0.8255,0.8692,0.4113
0.8255,0.8747,0.4112
0.8345,0.8747,0.4105
0.8345,0.8774,0.4099
0.8412,0.8774,0.4091
0.8412,0.8801,0.409
0.8456,0.8801,0.4086
0.8456,0.8856,0.4084
0.8479,0.8856,0.4083
0.8479,0.8883,0.4082
0.8523,0.8883,0.408
0.8523,0.891,0.408
0.8568,0.891,0.4076
0.8568,0.8937,0.4076
0.8613,0.8937,0.4072
0.8613,0.8965,0.4071
0.8658,0.8965,0.4068
0.8658,0.8992,0.4067
0.868,0.8992,0.4063
0.868,0.9019,0.4061
0.8702,0.9019,0.4057
0.8702,0.9046,0.4047
0.8725,0.9046,0.4047
0.8725,0.9074,0.4045
0.8747,0.9074,0.4042
0.8747,0.9155,0.4034
0.8792,0.9155,0.4024
0.8792,0.9183,0.4019
0.8837,0.9183,0.4015
0.8837,0.921,0.4015
0.8859,0.921,0.4015
0.8859,0.9237,0.4012
0.8904,0.9237,0.4005
0.8904,0.9292,0.4003
0.8971,0.9292,0.3997
0.8971,0.9373,0.3979
0.915,0.9373,0.397
0.915,0.9401,0.3969
0.9172,0.9401,0.3967
0.9172,0.9428,0.3964
0.9195,0.9428,0.3962
0.9195,0.9482,0.396
0.9262,0.9482,0.3955
0.9262,0.951,0.3955
0.9418,0.951,0.3938
0.9418,0.9564,0.3926
0.9463,0.9564,0.3914
0.9463,0.9619,0.3894
0.9597,0.9619,0.3878
0.9597,0.9646,0.3875
0.9642,0.9646,0.3866
0.9642,0.9673,0.3863
0.9687,0.9673,0.3858
0.9687,0.9728,0.3851
0.9732,0.9728,0.3846
0.9732,0.9782,0.3836
0.9776,0.9782,0.3819
0.9776,0.9891,0.3787
0.9843,0.9891,0.3764
0.9843,0.9918,0.3737
0.9911,0.9918,0.372
0.9911,0.9973,0.3681
0.9955,0.9973,0.3643
0.9955,1.0,0.3622
1.0,1.0,0.3534
